Unnamed: 0,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,"[[8039934], [8084130], [8024510], [8092730], [8083566]]","[[32991232], [32958464], [32964608], [33003520], [32944128]]","[1343931.5490741793, 1460669.9260264405, 1519415.0752230936, 1304102.3850067127, 1389538.7675972865]","[19590091.97217358, 19534494.83711302, 19153035.46433171, 19594700.023514517, 19699616.17325797]","[19506043.306491837, 19446971.157334648, 19061962.88345793, 19510553.67218449, 19610703.291028444]","[54620354.46512592, 54775030.08213381, 53846351.42607622, 54638789.43559926, 54955903.93335323]","[109722388.09465133, 109742914.5116103, 107907727.1358832, 109119909.06069098, 110139373.98620042]","[1608922973.381238, 1595996152.6254382, 1563810858.5681474, 1601998909.4214652, 1609603396.3256922]","[5362017577.754065, 5319477758.059181, 5213007083.252418, 5339524093.187617, 5364227963.971795]","[5530137166.244288, 5502833484.54717, 5424333251.854446, 5483976170.911512, 5523447798.789365]","[0.06860261559686114, 0.07477387760503312, 0.07933024914263162, 0.06655383258951306, 0.07053633712333804]","[0.06819617216606948, 0.06876139038999657, 0.06900305528936242, 0.0681148460332584, 0.06842640506202963]","[0.3571204086371516, 0.35503350939605866, 0.3540065831503446, 0.35708246602316956, 0.35684434041538043]","[0.9695993818170698, 0.9666797610716588, 0.9610410793750952, 0.9736592440918858, 0.9711738318858616]"
1,1,"[[7704902], [7761625], [7715686], [7702902], [7735806]]","[[32897024], [33009664], [32935936], [33949696], [32894976]]","[1530293.5884411358, 1298458.0099999607, 1386387.2632538814, 1423486.5599193221, 1400036.484819243]","[21470817.41300288, 21444297.602056976, 21314059.659527995, 21648887.64915793, 21239186.211309128]","[21383101.336681396, 21366477.998724386, 21225880.00093164, 21563285.947533574, 21157499.311773926]","[53024917.899676844, 52588910.19476751, 54419053.53576818, 54160517.154890686, 52227422.0499053]","[106562624.99870354, 105371370.52027003, 107319746.73477282, 107400392.25135873, 104701661.81740986]","[1564703438.226383, 1564529435.2215636, 1552279008.3533368, 1567450657.2096372, 1546435488.6565702]","[5215361219.34156, 5212646182.569587, 5173301818.88389, 5223515423.006848, 5153590874.333819]","[5540745665.225515, 5497595291.655475, 5493669178.994178, 5560918815.518592, 5456194893.412414]","[0.07127318718263513, 0.06055027001096134, 0.06504566869944584, 0.06575333490516272, 0.06591761430453358]","[0.06810403965079416, 0.06735020009728848, 0.06913689237388966, 0.06851915354232077, 0.06770515975960109]","[0.40326514747534786, 0.40629246583722334, 0.3900450048617703, 0.3981366331097969, 0.40510326723683826]","[0.9412742497952734, 0.9481684092828008, 0.9416842642554346, 0.9393259632616524, 0.9445393676380685]"
2,2,"[[7450718], [7442805], [7434238], [7433722], [7439594]]","[[32966656], [32970752], [32940032], [32964608], [32919552]]","[1603443.2160709328, 1528649.4113560987, 1512007.9059903424, 1491361.53804803, 1634335.156995604]","[22234706.98814052, 22398834.232655834, 22362705.575352628, 22139881.816497587, 22404131.92969835]","[22151570.200536907, 22314656.113560747, 22279904.76426654, 22056881.82482629, 22318046.05263824]","[51387061.62742653, 51661604.54712053, 51428506.160741806, 51978417.423270226, 51389315.15705514]","[102895980.56830235, 103521981.36849837, 102909395.41749953, 103355166.71601392, 103153188.53184925]","[1514875777.543169, 1538581045.4774306, 1529558232.8802772, 1517374989.395599, 1528481443.4630878]","[5049140186.61457, 5128077342.5883875, 5097254022.186026, 5058503202.08171, 5095705256.758382]","[5495867746.510463, 5531615821.474653, 5521463695.230218, 5470662666.1390705, 5529444648.277019]","[0.07211442979330343, 0.0682468290750347, 0.06761292370887462, 0.06736086264637323, 0.07294793487754687]","[0.0679237083948754, 0.06728406129322548, 0.06728046909578142, 0.06811445255017837, 0.0674873672644233]","[0.4310729101644931, 0.4319388898036947, 0.43322092021552844, 0.4243469293267024, 0.434293509933538]","[0.9187157368953178, 0.9270487156176569, 0.9231707937497351, 0.9246600477473339, 0.9215582361144007]"
3,3,"[[7107926], [7170558], [7149102], [7109650], [7089866]]","[[32186368], [32999424], [33003520], [32942080], [33075200]]","[2022413.8162014277, 1886103.9530134469, 1947077.352289871, 1983335.7308744532, 2081556.8337351275]","[22197106.33214959, 22298516.851693306, 22434314.683272213, 22348842.375210352, 22071864.45665202]","[22111302.756673012, 22216642.4290784, 22351038.98838007, 22267940.618950658, 21988289.5858712]","[49428727.31132152, 49153465.79523379, 49671171.91814681, 49042979.22798258, 48889248.5479127]","[98849503.57150316, 99095983.1987112, 99866256.88815285, 98802452.73412934, 98104819.35216458]","[1471022445.6621692, 1488477668.8009055, 1496273204.6925147, 1485124553.943535, 1470150093.313261]","[4902741510.146789, 4960543303.235451, 4986342214.612178, 4949567840.469775, 4899653923.703685]","[5488769160.22413, 5491067552.988421, 5535800116.969177, 5516464472.134939, 5470124177.867569]","[0.0911115974280047, 0.08458427820818136, 0.0867901417885378, 0.08874445027516938, 0.09430815587977154]","[0.06719782139490525, 0.06657539127109739, 0.06674333041249339, 0.06652805818325043, 0.06673115881050405]","[0.4473370843114643, 0.45198526837618547, 0.44998010164149893, 0.45404950860418325, 0.4497571600905692]","[0.8932315000011021, 0.9033841334797927, 0.900744627561115, 0.8972355147887379, 0.8957116446328515]"
4,4,"[[6365129], [6382558], [6401894], [6317994], [6294678]]","[[32921600], [32952320], [32944128], [32956416], [32966656]]","[3211649.0181485005, 3190002.5784248537, 3238551.293115305, 3377503.9847965287, 3260850.604305933]","[20722952.44544758, 20757323.35425069, 20381081.650195643, 20574811.53809739, 20551257.51325807]","[20637733.9728806, 20671633.408932522, 20293018.068289507, 20487352.313566837, 20464239.748625886]","[46082061.76018214, 45241598.724611394, 44945821.26445253, 44980769.22261059, 44971130.556975506]","[92363176.29753275, 91908462.20771931, 91023375.11354464, 91316281.41367327, 91451905.98653087]","[1401198306.5221334, 1408677675.8182557, 1381964125.0137868, 1393954260.6574712, 1399166900.9547954]","[4670261943.801851, 4695089238.75959, 4606647782.77352, 4646712732.64017, 4663758931.530743]","[5527206530.977599, 5532626710.261018, 5449956357.091359, 5519070255.81587, 5515366635.18721]","[0.15498028220655574, 0.1536808250265853, 0.15889987335800781, 0.16415722586535322, 0.15866915210430732]","[0.06591727656792867, 0.06524449402829688, 0.06586522288531663, 0.06550880756345843, 0.0653616848169606]","[0.4478474526656905, 0.45691651028430985, 0.4514995498444518, 0.4554691408716152, 0.45505281933481795]","[0.8449588264210963, 0.848618474485528, 0.8452632426642197, 0.841937594061893, 0.8455936368357929]"
5,5,"[[5557441], [5531534], [5661053], [5524642], [5577126]]","[[32966656], [32929792], [32931840], [32980992], [32956416]]","[4495543.868985157, 4237607.362882267, 4402805.774239878, 4393214.898491031, 4516910.959760579]","[18393825.0762758, 18568312.705795757, 18476498.493232206, 18014478.725884914, 18426986.9335657]","[18309667.66690057, 18487091.058591474, 18392275.84827017, 17931619.577922802, 18342910.393210422]","[40579787.25992407, 41129781.270797275, 40411359.78616255, 39661533.7622627, 40139852.99055783]","[83250737.0867914, 84390733.22599654, 83338258.49708815, 81413374.94238557, 82527166.141136]","[1304261284.42311, 1316158803.2462225, 1312954379.9308207, 1265176480.0602026, 1304452602.7547061]","[4347161246.3109455, 4387081123.817808, 4376050429.914984, 4217504690.7797585, 4347754468.713596]","[5526798947.474692, 5539343953.403602, 5530805049.388635, 5426195467.394046, 5513450899.840675]","[0.24440505715059083, 0.2282171476765132, 0.2382922162363497, 0.24387133068571348, 0.24512477140431435]","[0.06382980011832075, 0.06411895967101548, 0.0634738417198313, 0.06434942178067646, 0.06326574531482207]","[0.45120166721482297, 0.44948187146615265, 0.45512637895862046, 0.45211614067695094, 0.4569750267278074]","[0.786560410035768, 0.7919856865219941, 0.7912140078773351, 0.7772489428592652, 0.788572265845196]"
6,6,"[[4735454], [4922598], [4902130], [4879334], [5011570]]","[[32931840], [32960512], [32993280], [32974848], [32864256]]","[5236969.671208476, 5407994.660937039, 5157358.0564964, 5065317.321071816, 4850521.996601006]","[16207470.931937573, 16074886.665369531, 16295062.18307699, 16380034.273189314, 16324576.615933554]","[16128155.299974127, 15997874.760421844, 16223108.34150849, 16305101.420303233, 16252187.733407667]","[36651863.39708806, 35647619.432167664, 36768286.684903115, 36999673.66333314, 37481991.62937909]","[75859859.73787114, 74927711.460785, 76429679.56333126, 77129006.90706366, 77420374.98303798]","[1235777177.8615603, 1210481942.1073043, 1239381431.6748533, 1247146076.4419348, 1249001190.8247173]","[4118949541.416865, 4034135540.483212, 4130508840.36825, 4156309128.1143355, 4162735856.70748]","[5551438346.739715, 5503419028.269668, 5538323187.170321, 5559447582.373082, 5520552592.944808]","[0.32312071964841743, 0.3364250568924754, 0.3164982126826434, 0.3092372846473636, 0.2971300334899141]","[0.06138635758684439, 0.06189907412443082, 0.061667600958041684, 0.06184440488888847, 0.06198582959870294]","[0.4400364348530091, 0.4487782077808455, 0.4412255724760115, 0.4406823035431707, 0.4335998976284092]","[0.7419607828007077, 0.7330235113410193, 0.7458049486777312, 0.7476118924643572, 0.7540433292905135]"
