Unnamed: 0,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,"[[3729894], [3733226], [3783790], [3823206], [3784566]]","[[32980992], [32970752], [32921600], [32999424], [32954368]]","[5927360.11654791, 6060686.390629179, 6136438.455781247, 6030639.013164647, 5996789.097606188]","[9416509.85230382, 9477040.86062679, 9538064.541207189, 9527073.80044156, 9551152.538173186]","[9345284.60852683, 9403445.063334191, 9464586.865508368, 9455299.599389503, 9481430.338767312]","[26500180.8242798, 26224565.548044585, 26234746.51152401, 26010458.85858, 26600604.621853657]","[72223717.52499299, 71608959.86561805, 72041114.09822854, 71951343.73164038, 72234433.12955542]","[1154534091.8415706, 1156895702.9929857, 1160872754.071225, 1161849819.2628627, 1168698022.9965599]","[3756008655.72978, 3763805482.578191, 3777284597.1899695, 3779624677.447078, 3801360006.688359]","[5450929415.107755, 5475380812.873177, 5510382225.342711, 5474020319.905879, 5490743569.109471]","[0.6294646540509631, 0.6395125313650213, 0.6433630669272642, 0.633000136189261, 0.6278602580828608]","[0.06255659147300761, 0.06189750699251427, 0.062057718079417075, 0.06192826520151289, 0.061807611297523386]","[0.35264984305180896, 0.3585739121628786, 0.36076532553310187, 0.36351913862029034, 0.3564366477210773]","[0.6890583916422868, 0.6874052438013264, 0.6854850430915518, 0.6904659567489632, 0.692321533293694]"
1,1,"[[4709346], [4692234], [4680678], [4645722], [4546546]]","[[32923648], [33089536], [32929792], [32964608], [32958464]]","[7455260.199051678, 7433637.684763134, 7581529.447623801, 7424655.061816112, 7722797.447135293]","[10731562.540531542, 11254011.89715769, 11398335.23031563, 11275533.62597705, 11275523.973539833]","[10661756.033406992, 11174655.17045694, 11321352.720275043, 11198135.802640712, 11193691.853745408]","[30187306.48731567, 31211875.985730037, 30924247.097496264, 31148839.35116527, 30047172.253951445]","[81591271.4921865, 83879050.34323885, 83134344.25374886, 83159077.92748839, 81637228.58441058]","[1225725178.0534384, 1294474914.641142, 1288704557.310437, 1289927632.9531276, 1267859845.2235925]","[3973541073.1877904, 4198020588.2843637, 4179695247.6390977, 4183224034.489659, 4112823543.0741334]","[5336021418.899868, 5546562802.154679, 5537568279.334417, 5526255119.68477, 5507097370.574184]","[0.6947040723002127, 0.6605322397642543, 0.6651435753055899, 0.6584748277199829, 0.6849169462331249]","[0.0665657138754062, 0.06479774107209489, 0.06451001029068494, 0.06446801805238182, 0.06438978952757472]","[0.35318672892816483, 0.3580257455708832, 0.36609954268512035, 0.3595041110968969, 0.372537281017296]","[0.7446636288066135, 0.7568688461714621, 0.754788932036694, 0.7569726594034406, 0.7468223759852134]"
2,2,"[[5299539], [5290610], [5338642], [5173630], [5313245]]","[[32927744], [32927744], [33019904], [32927744], [32964608]]","[9031520.17202477, 9174515.250195205, 9127860.013953898, 9237924.856429301, 9134847.674037533]","[12961655.498152565, 12631846.4562538, 13215873.569620946, 13242790.744653312, 13133713.109372545]","[12879290.790547576, 12560625.534071079, 13134017.067777483, 13159992.82169134, 13048242.034751223]","[33894459.67357532, 34577314.07753312, 34915128.236285865, 34884823.84207454, 35649338.624240145]","[86532997.25800182, 88125562.60204585, 89042050.06242609, 88517612.07037231, 89502778.36507925]","[1351833257.2952511, 1336824416.3106134, 1387709997.6996062, 1384550486.1369605, 1379303400.3142066]","[4375883126.806108, 4323633417.339347, 4491073166.293314, 4481808304.851639, 4465035079.344822]","[5454662931.57679, 5440167852.864878, 5572141615.537179, 5588946978.352362, 5558478597.693981]","[0.6967875495002964, 0.7263004092052645, 0.6906739812444876, 0.6975814263439186, 0.6955266646961153]","[0.06401159077202842, 0.06592156870178659, 0.06416473918183933, 0.0639323830778794, 0.06488984102025011]","[0.37998218335926104, 0.36326203666098067, 0.3761698075084781, 0.37724120039325204, 0.3660163845474242]","[0.8022279619652252, 0.7947610320630922, 0.8059869034502912, 0.8019056760085581, 0.8032836685198732]"
3,3,"[[5659490], [5598326], [5621482], [5602973], [5537064]]","[[32966656], [32944128], [32980992], [32985088], [32964608]]","[9750401.552018529, 9639296.01912772, 9708157.143395599, 10066037.623210358, 9978620.447448052]","[13687237.12886128, 13521544.428404711, 13754844.932382034, 13836903.88171461, 13865366.287871407]","[13602504.002031129, 13436321.72000491, 13669802.493350698, 13747253.826399423, 13777450.103423528]","[36125989.90699495, 35238637.52176963, 36232795.39488102, 35132388.805652626, 35254718.87878643]","[89889783.39712021, 88508214.06225058, 90675909.32330884, 88502231.04715271, 89171407.15368257]","[1374802932.6159928, 1365805429.9761453, 1396813329.0178845, 1370847734.158613, 1390504055.1770184]","[4445602088.90571, 4416410876.56137, 4516311700.953828, 4433731029.720402, 4497128532.995728]","[5449714222.788317, 5376127860.097026, 5492538653.982931, 5447665718.614442, 5493581297.949238]","[0.7123717854977881, 0.7128842470745019, 0.7057990977812035, 0.7274775997044085, 0.7196795411150986]","[0.06538375883885901, 0.06480294492883693, 0.06491626865206399, 0.06456021981279551, 0.0641288364616316]","[0.37652958540514136, 0.38129515398273434, 0.3772770592048212, 0.3912985792809955, 0.3907973327143373]","[0.8157495801002097, 0.8214854615607421, 0.8222630709533215, 0.813877219846756, 0.8186150871517115]"
4,4,"[[5737710], [5614058], [5635609], [5628922], [5637426]]","[[32946176], [33044480], [32976896], [32958464], [32954368]]","[9729060.814519968, 9860877.623842314, 10023652.036338862, 9669178.911639439, 9983832.14015829]","[13569459.656052606, 13817170.124895176, 13849234.926925778, 13690141.220751323, 13772273.66072767]","[13478510.009432731, 13729433.07760259, 13757780.79311763, 13603697.851287453, 13681900.930768047]","[35384609.9996306, 36254855.98061093, 36426031.57261331, 35955262.43595846, 35693151.06087649]","[90843253.1357149, 92321168.92841393, 92450788.79673351, 91551209.50933126, 91441504.41834207]","[1380681064.1206017, 1405849500.8074667, 1397906570.2146673, 1400544937.7433405, 1395627973.0588098]","[4459953275.044567, 4541665759.448053, 4517098233.175468, 4524494112.231529, 4510122914.366729]","[5411261704.040115, 5505629144.761701, 5504889642.468892, 5467062371.702164, 5490442361.893844]","[0.716982183603778, 0.7136683948093984, 0.723769369876946, 0.7062877406248399, 0.7249225789513382]","[0.06579597236207174, 0.0656693115979969, 0.06613517009404746, 0.06536827704853598, 0.06551997106931652]","[0.38091447127927763, 0.37869225256183836, 0.37769090398146293, 0.37835067608024314, 0.38332006348873116]","[0.8241984067624581, 0.8249131280063052, 0.8205610877876912, 0.8275914567301402, 0.821449824456591]"
5,5,"[[5513661], [5439189], [5572342], [5480806], [5462013], [5471201]]","[[32956416], [32919552], [32952320], [32987136], [32948224], [33026048]]","[9413000.606656829, 9204400.837292593, 9130287.556165356, 9425543.51867651, 9481405.733379677, 9435173.115039708]","[13349762.141448377, 13162182.09729199, 13073039.942904305, 13363283.040328326, 13318874.854431449, 13412388.93653871]","[13264527.679469256, 13079170.646711264, 12989181.748053718, 13280459.979468921, 13229415.794961924, 13327477.802124528]","[35552029.922827974, 36084575.79473736, 35807930.1001775, 35803698.9496308, 35445750.80137558, 35629620.3318841]","[92780959.8229954, 93915972.08360688, 92998226.72839397, 92749862.89614622, 92750760.50509784, 93333965.66357175]","[1375872137.3057654, 1374534721.2062957, 1362067046.464958, 1368619700.2009437, 1373797395.6952083, 1387765993.2549613]","[4440517063.151699, 4435767200.833047, 4395118310.244713, 4417249930.807137, 4434542990.9809, 4478216164.051913]","[5489842246.154424, 5472858185.384831, 5422680508.088537, 5475403910.44208, 5488279265.236929, 5530102594.592151]","[0.7051062413637558, 0.6993066019946892, 0.6984058486810507, 0.7053314286789911, 0.7118773798092284, 0.7034670079791626]","[0.06743428935531698, 0.06832564549638, 0.06827727531457208, 0.06776890825298547, 0.06751414786178236, 0.06725482978917784]","[0.3731018371739189, 0.36245876135860666, 0.362745953528024, 0.3709242443958676, 0.3732299498773352, 0.3740561274013376]","[0.8088605945393484, 0.8105028580273983, 0.8105065942367248, 0.8067441239144112, 0.8080024314851371, 0.8097889844631689]"
6,6,"[[5058658], [4996578], [4981681], [5014974], [5009266]]","[[32970752], [32925696], [33001472], [32942080], [32968704]]","[8472554.916523594, 8263685.7119601285, 8083211.9782863045, 8281638.514168327, 8127884.972313194]","[12301244.884587629, 11944474.22304536, 11957709.254097156, 12173564.0937136, 11989573.141878674]","[12217441.699965553, 11862406.839262946, 11880283.004335357, 12090852.6648353, 11908881.765964096]","[35561629.040086, 35567998.44000986, 36274138.83238613, 36684374.60795337, 35594398.51820118]","[99120343.0204381, 98950971.46488844, 99702993.35606627, 101158515.26035348, 99557323.64310072]","[1313649002.8753862, 1295266903.7397249, 1298483384.3471315, 1322675801.4477582, 1310279524.2400048]","[4231512289.0782156, 4171460880.2590485, 4180496568.8343563, 4260346614.244252, 4219207428.953755]","[5534529120.799606, 5478047407.64765, 5448187820.367016, 5547285848.333358, 5512014690.365639]","[0.6887558938964752, 0.6918417301296014, 0.6759833180855016, 0.6802969492266399, 0.6779127893989074]","[0.0754542064154718, 0.07639427146574569, 0.07678418881439615, 0.0764802041056687, 0.07598174420137298]","[0.34355686254400025, 0.33351347727003716, 0.3275138538569095, 0.32959135310470683, 0.33457179392635317]","[0.7645659091711245, 0.7614868163490999, 0.7673187317820365, 0.7680056032310364, 0.7654564920388255]"
