exp_id,packet_num,llc_load_misses,llc_loads,l2_rqsts_demand_data_rd_miss,l2_rqsts_all_demand_data_rd,l1_dcache_load_misses,l1_dcache_loads,l1_miss_rate,l2_miss_rate,llc_miss_rate,instructions,cycles,cuckoo_hash_entry_size,cuckoo_hash_key_size,cuckoo_hash_level,worker_core_id,worker_num_interleave,worker_port_id,worker_queue_id,worker_tx_mode,traffic_generator_batch_size,traffic_generator_concurrency,traffic_generator_packet_size,traffic_generator_port_id,traffic_generator_queue_id
0,8623445.0,34919441.0,120188092.0,119485662.0,243217637.0,515081454.0,7881383303.0,0.0653541940796024,0.4912705487719215,0.2905399396805467,26240547244.0,29617327577.0,16384.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1024,16384,128,0,0
1,8138468.2,31711968.0,128760421.0,128075618.0,231184855.0,494963862.0,7689722801.0,0.0643669316578788,0.5539965755974802,0.2462866131821672,25606698356.0,29533358928.0,32768.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1024,32768,128,0,0
2,7626290.4,32988882.0,129265851.0,128598370.0,219029868.0,470319074.0,7389521743.0,0.0636467541956321,0.5871270944654909,0.2552018320755108,24613480776.0,29458534657.0,65536.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1024,65536,128,0,0
3,6804287.2,42385191.0,119984865.0,119351597.0,198712428.0,427634107.0,6881070460.0,0.0621464508299774,0.6006247228784302,0.3532544792211918,22925707646.0,29730169398.0,131072.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1024,131072,128,0,0
4,6056143.2,47099359.0,109920479.0,109322394.0,182556869.0,393856581.0,6467674490.0,0.0608961662509394,0.5988402112658933,0.4284857510491743,21552620698.0,29508343082.0,262144.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1024,262144,128,0,0
5,5459683.2,51505808.0,101212439.0,100650914.0,165970744.0,362685695.0,6133683233.0,0.0591301639198947,0.6064376863912835,0.5088881219431932,20443809853.0,29664784399.0,524288.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1024,524288,128,0,0
6,4971553.0,54651395.0,92501805.0,91943261.0,155004745.0,339550636.0,5859803024.0,0.0579457423072588,0.5931641705549079,0.590814363027835,19538558357.0,29788336885.0,1048576.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,1024,1048576,128,0,0
