,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
39,39,[[1326761]],[[32993280]],[5028228.331875669],[7981535.928837168],[7908702.9724695925],[17703193.33171536],[47052940.92207432],[1157337730.873852],[3702281006.1551623],[5517783667.267044],[0.6299825468064055],[0.04065618848056291],[0.44673877894679664],[0.6709724826868576]
40,40,[[1049726]],[[33001472]],[4915391.039458269],[7478770.077166639],[7405786.688367253],[15473609.208147904],[43444554.220399454],[1137484192.2726092],[3637875746.4747577],[5521174793.585178],[0.6572459092525658],[0.03819354547125657],[0.47860758202860676],[0.6588952319896579]
41,41,[[863518]],[[32972800]],[4864032.543601169],[7086397.398929976],[7015869.186823397],[14221209.390494872],[40670253.66880384],[1105601861.0463424],[3536401840.8543625],[5458337367.527061],[0.6863900328727857],[0.036785623380113965],[0.49333843516238796],[0.6478899347433621]
42,42,[[5689034]],[[32903168]],[7040096.05837968],[13641137.770923914],[13564111.288104502],[35350903.925540395],[86020479.56677495],[1369722362.199378],[4415406453.72743],[5454392622.678765],[0.5160930251276873],[0.06280139825464405],[0.383699135860135],[0.8095138650944663]
43,43,[[3293373]],[[32974848]],[6409159.985106335],[11212580.847860392],[11141104.934091534],[26554747.2941882],[66800937.54267567],[1334432804.15511],[4263258410.961684],[5477220899.141236],[0.5716043497986767],[0.05005942399997457],[0.4195522861002668],[0.7783615978734969]
44,44,[[2208374]],[[32974848]],[6017989.426615924],[10075602.561519409],[10005591.457499852],[22659495.2489924],[56973615.177941464],[1314394672.3939557],[4185568488.6539884],[5517201144.947117],[0.59728332770883],[0.043345896308430186],[0.4415628568754095],[0.7586398209329936]
45,45,[[1615852]],[[32940032]],[5958655.587297285],[8989226.328104017],[8917936.284770738],[18942437.64130997],[48794909.087408006],[1215384560.8143191],[3869230785.3615794],[5353626033.604457],[0.6628663435325994],[0.04014771181124348],[0.47079137614909505],[0.7227308670935552]
46,46,[[1271139]],[[32942080]],[5927751.682341984],[8635404.604430037],[8562681.259424593],[16999087.88426212],[45983758.93142611],[1218615252.9335744],[3877494103.6744237],[5459567355.802554],[0.6864474745399881],[0.037734435721799256],[0.5037141591197953],[0.7102200322802746]
47,47,[[1055906]],[[32929792]],[5822131.14553268],[8277945.03352129],[8207934.17630706],[16628699.941574046],[44275975.53096126],[1200730755.9916818],[3820391245.058499],[5431583485.412818],[0.7033304910767267],[0.03687419124564174],[0.4936004741889708],[0.7033660175377267]
48,48,[[6171493]],[[32954368]],[8357071.354986631],[15514808.07796119],[15435776.545695998],[38647236.281459115],[87808465.8009436],[1438455282.0381415],[4629862936.9312725],[5482356595.493747],[0.5386512880464094],[0.061043583973307905],[0.3994018209550798],[0.8445023333098788]
49,49,[[3503850]],[[32950272]],[7640417.110704553],[13131075.314647466],[13060515.36609411],[29729441.656470794],[66727454.3808681],[1389239478.031033],[4428509327.534884],[5430895719.253901],[0.5818576870229213],[0.048031642806063084],[0.43931250095480384],[0.8154289009517707]
50,50,[[2407342]],[[32845824]],[8073828.9723974895],[12137565.144943422],[12060850.721803097],[25194377.32471021],[57392576.78860849],[1353236483.4434927],[4300819571.643354],[5523289168.544138],[0.6651934614547541],[0.04241134309545464],[0.4787119985685863],[0.77866999905366]
51,51,[[1828870]],[[32983040]],[7440950.887357961],[11113015.505813926],[11039259.504544158],[21976278.774362322],[51435648.87876954],[1334500496.4810812],[4233662147.320829],[5481747084.652513],[0.669570818421438],[0.03854299718463891],[0.5023261498403739],[0.7723198611577682]
52,52,[[1477358]],[[32976896]],[7366862.759380482],[10538508.245884335],[10466856.7486224],[21182561.39199036],[49050325.15597506],[1319548364.3608403],[4181361995.0935836],[5485581190.0012245],[0.699042273108958],[0.03717205559171295],[0.49412611416200936],[0.7622459408157352]
53,53,[[1221793]],[[32956416]],[7395817.699143114],[10148512.927278187],[10073336.114122035],[19410941.33104234],[46472677.065508984],[1308516058.375666],[4144902353.381581],[5489166146.795466],[0.7287587602380537],[0.03551555731245524],[0.518951448171788],[0.755106011101767]
54,54,[[6364837]],[[32935936]],[8470446.528120667],[15883512.996166158],[15807100.907498075],[40118175.149606876],[90429085.06277163],[1458068046.9814136],[4689174494.099172],[5476860057.478259],[0.5332854595935546],[0.06201979753275833],[0.39401345770466756],[0.856179351834349]
55,55,[[3694022]],[[32960512]],[7982464.580596906],[13715002.940165916],[13643678.765426902],[31139619.957379464],[69075503.68622528],[1425692869.941131],[4539411327.135884],[5495932040.748947],[0.582024270459277],[0.04845047986322433],[0.438145320466367],[0.8259584167851691]
56,56,[[2521090]],[[33001472]],[7954786.883997541],[12473050.68360454],[12398701.51232585],[25748031.033532184],[58261436.889132686],[1393563682.3796005],[4420414837.239621],[5489113967.077012],[0.6377579219215292],[0.041807516675267754],[0.4815397921564864],[0.8053057130445263]
57,57,[[1947122]],[[32976896]],[7527929.101972456],[11418624.06144667],[11345712.00022244],[22706578.959963296],[51537161.53515437],[1345336626.0578341],[4258755478.131037],[5360999407.637056],[0.6592676194139203],[0.03830800450751934],[0.4996662870363445],[0.7943958121062635]
