,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
67,67,[[3535334]],[[32968704]],[7328730.215741486],[11991679.7063488],[11922080.279456029],[31831194.628680874],[72379367.36741622],[1385898177.7542307],[4396725363.325722],[5481235494.42761],[0.61115126447727],[0.05222560252204305],[0.37454077418488946],[0.802141299675149]
68,68,[[2465690]],[[33003520]],[7726888.872008247],[11053138.899596673],[10978937.469461111],[28045789.93353533],[62560135.21725862],[1348540363.6845312],[4260306829.141861],[5428796946.731511],[0.6990673818719676],[0.04639099941089604],[0.3914647259171407],[0.784760762088706]
69,69,[[1881458]],[[32966656]],[7533648.387062906],[10482027.09236644],[10410603.793609792],[26164569.925032478],[58200833.88003397],[1351068809.4705014],[4257176019.3254805],[5485241819.804731],[0.7187205605058303],[0.04307762378353143],[0.3978893527942011],[0.7761145559626451]
70,70,[[1514862]],[[32956416]],[7438238.786072838],[10132509.517739145],[10064814.76208966],[25299138.6164007],[55783172.17706958],[1347075259.2360525],[4238886197.551982],[5507867830.792302],[0.7340964025793013],[0.04141058325776475],[0.397832310210156],[0.7696056491867964]
71,71,[[1266066]],[[32983040]],[7535704.525064924],[9988563.614890229],[9919126.812066823],[24574822.376635984],[53894640.50816543],[1345745220.907852],[4232182056.1748047],[5545305293.271544],[0.7544332514267857],[0.040048175294137484],[0.4036296441962174],[0.763200911825354]
72,72,[[4341766]],[[32997376]],[6322189.172480294],[10827443.588356184],[10754567.212503176],[29471130.138439998],[76259286.07108092],[1205618974.0301652],[3904405055.687295],[5540679838.494745],[0.5839041432900344],[0.06325322321044764],[0.36491872425603733],[0.7046797810912708]
73,73,[[4125930]],[[32985088]],[5907919.512274186],[10539005.34143922],[10465352.2343879],[28727316.837414376],[72923900.66811788],[1262028622.075028],[4082515290.490519],[5516094484.84241],[0.5605765744367099],[0.057783079870420355],[0.3642996766324468],[0.7401097464354172]
74,74,[[3835886]],[[32956416]],[5255144.334234784],[9821329.656152327],[9755938.670246137],[27169092.07605123],[74339396.77628487],[1288713025.1633961],[4169914374.393295],[5516071964.686492],[0.5350746302404004],[0.05768498907416519],[0.359082248421754],[0.7559572103280733]
75,75,[[3753982]],[[32993280]],[5348943.797743124],[9527603.938749824],[9459614.030647922],[25660950.166878667],[70625811.80050214],[1290085797.8726192],[4174189735.8393226],[5507403658.754763],[0.5614154232407138],[0.054745050226090164],[0.3686384942541107],[0.7579233327493408]
76,76,[[3461102]],[[32974848]],[4763538.207555367],[8989183.650561653],[8925946.60051082],[26290870.272801533],[70193337.04657117],[1324834959.3370645],[4284958830.602747],[5490715553.116803],[0.5299188883806747],[0.052982702903382986],[0.339507460494562],[0.7804008037113471]
77,77,[[3288450]],[[32925696]],[5109344.441529276],[8834071.299263937],[8761587.536614813],[24541837.513740618],[66680830.56055691],[1328575877.2855275],[4298072958.653721],[5513387660.468213],[0.5783680330896799],[0.050189704404987004],[0.357006174933288],[0.7795702430778676]
78,78,[[5279078]],[[32972800]],[7160134.943512],[12758636.656434169],[12682652.835879084],[35484995.67819523],[86231768.10045241],[1355412802.7307308],[4372526409.994626],[5540971255.082885],[0.5611990635301265],[0.06362029923778387],[0.3574088877139783],[0.7891263478372293]
79,79,[[4964069]],[[32956416]],[6855661.593999349],[12148496.183795828],[12076895.241418364],[34153053.10986729],[82666760.8438275],[1365256642.108286],[4401482126.549698],[5513718514.685383],[0.5643218296552388],[0.06055034511033036],[0.35361099936126006],[0.7982783515021078]
80,80,[[4846574]],[[32925696]],[6624967.5175524745],[11664574.010345886],[11593334.194242487],[33462970.562739152],[80736918.59650643],[1416595028.3252075],[4568625093.714184],[5526675201.636197],[0.5679562332646236],[0.05699364813665834],[0.34645263105098045],[0.8266498259860868]
81,81,[[4514550]],[[32956416]],[5881360.644805305],[11064853.765834065],[10995796.20935982],[31422062.89156666],[77399031.19504169],[1461189763.5283818],[4710664390.608157],[5518751364.612389],[0.5315353252083372],[0.05296986957268559],[0.3499387117677424],[0.8535743104525624]
82,82,[[4306286]],[[32935936]],[5723990.818600249],[10654880.271016737],[10584814.572346274],[29596313.19316761],[73582359.7056922],[1482438743.098211],[4779836636.476143],[5524368622.24622],[0.5372177512093281],[0.04963602040777033],[0.3576396324522545],[0.8652276781871684]
83,83,[[4075120]],[[32907264]],[5309257.348879377],[10167288.683820039],[10099880.60713462],[28738070.85844858],[71419949.22341833],[1510281358.5531335],[4868653191.177385],[5549210963.248728],[0.5221900856743049],[0.04728916821951602],[0.35144601935468467],[0.8773595423604301]
84,84,[[5828397]],[[33011712]],[9229266.731465477],[14812976.872151814],[14731016.371560777],[38980226.72170615],[87163015.22292261],[1406943629.5546126],[4531567444.2324295],[5506679066.685313],[0.6230528010083083],[0.06195203090724769],[0.37790997155380335],[0.8229220169462605]
85,85,[[5543865]],[[32937984]],[8648094.50766441],[13998205.227738716],[13918412.850966195],[35976069.73911744],[82719714.65935667],[1446548566.7609308],[4658656094.618909],[5507669861.986594],[0.6178002370280602],[0.05718419454424557],[0.3868797495639844],[0.8458488274274578]
86,86,[[5191662]],[[32897024]],[7274952.302390595],[12954291.769735858],[12883294.69244259],[35369973.822163634],[81010338.78019395],[1505248428.329668],[4844870074.2642145],[5544495259.697867],[0.5615862628157351],[0.05381858386664377],[0.36424382888204526],[0.8738162532991728]
87,87,[[4998507]],[[32940032]],[7232094.987725379],[11971057.0734671],[11910103.650293604],[33425676.85816541],[77843615.58700122],[1490450741.7169373],[4793305787.839886],[5478288584.304434],[0.6041316939132088],[0.05222823767884379],[0.3563160052324905],[0.874964090349848]
88,88,[[4595989]],[[32989184]],[7234152.524458082],[11838535.653328575],[11761032.741224296],[31563307.631283168],[72348714.53933802],[1505256956.0845375],[4847498179.559874],[5463330745.591338],[0.6110681875105133],[0.04806402936514635],[0.3726172452714572],[0.8872789156086854]
89,89,[[4467266]],[[32927744]],[6250281.283856644],[11153091.059102004],[11087247.348621601],[31431181.08540124],[71623883.39306562],[1540125448.5589604],[4955312389.076839],[5375499847.757138],[0.5604079847223885],[0.04650522686972122],[0.3527467618380802],[0.9218328582307342]
90,90,[[6074094]],[[32960512]],[9620570.321733853],[15307574.089250518],[15224631.684479423],[39486419.00752647],[88528178.05926268],[1424156606.5054476],[4583071921.827326],[5475638894.65152],[0.6284843219207238],[0.06216182802851327],[0.3855662799297518],[0.836993090670016]
91,91,[[5644413]],[[32972800]],[8796529.001678145],[14340124.511338212],[14264156.865859114],[36664508.469122835],[83651675.626973],[1465392127.1554642],[4714607216.441221],[5504745237.563158],[0.613420685066092],[0.05708484034874193],[0.38904535916175537],[0.8564623816320852]
92,92,[[5462251]],[[32946176]],[8021926.378084583],[13487913.906437732],[13412880.414950192],[35569335.07787884],[81830216.03411195],[1516555778.9899032],[4876513370.123187],[5524785852.243271],[0.5947492276219043],[0.053957933607041264],[0.37709112035923004],[0.8826610660652375]
