,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[5229025]],[[14184448]],[2947556.3717050194],[12981188.409693515],[1812703.2550587805],[9011145.626952583],[9201425.83208703],[37928375.13719972],[93991034.26826426],[1946360767.555444],[6496958335.835446],[6555199606.159024],[90782825.33390173],[33754508.609319516],[8041759.845208107],[1262937.3492439797],[0.201162352724268],[0.048290653939923725],[0.24260005335853094],[0.9911152560070243]
1,[[4872168]],[[14182400]],[2747319.3207519706],[12120691.506477179],[1836929.5566026943],[8727671.809182376],[8677272.548525276],[38541675.955159545],[92313138.83329286],[1951146191.7728667],[6545484664.643847],[6452728024.985417],[89499086.17909403],[34366648.24589143],[7406325.671620109],[1179620.9107964092],[0.21047188720708568],[0.04731226149149517],[0.22513999024382478],[1.0143747945518964]
2,[[4598883]],[[14182400]],[2675359.532669151],[11831665.702554375],[1853106.1635096062],[8460176.838100594],[8411985.164813872],[35086729.14545959],[86840854.45027298],[2024775965.4659033],[6831039004.369039],[6599770385.193049],[84073073.3710984],[31278169.568326693],[7288414.973632183],[1191779.9057640934],[0.21903870320583627],[0.04288911757715911],[0.23974834274064635],[1.035041918987796]
3,"[[4846639, 4995677]]","[[7196672, 7196672]]",[6619908.089715039],[23516878.01622336],[5364626.078419488],[16956634.78901478],[16995400.624615803],[64193663.09362529],[158965718.0132893],[3040285367.816356],[10091529689.112566],[9834114167.973331],[157101376.36772507],[58567566.88993742],[15218634.904228356],[4051405.919047677],[0.3163732748372288],[0.05228644642902856],[0.2647519989602139],[1.0261757710702157]
4,"[[4591663, 4721828]]","[[7200768, 7198720]]",[6231865.076595701],[22251842.991626736],[4883399.097284991],[15990795.272383008],[15880446.988037482],[61799546.69201667],[152635419.2550535],[3127228268.2168593],[10443172686.886915],[9809444759.31397],[150804462.89826527],[56356258.66894547],[14389562.857002622],[3782559.845619307],[0.30538813199108944],[0.04880853144183362],[0.2569670464927364],[1.0646038530337028]
5,"[[4328252, 4450728]]","[[7198720, 7198720]]",[5920807.819463252],[21141247.280784965],[4623523.112895837],[15306530.510122387],[15078506.688177811],[58079842.89050077],[144344975.33723557],[3194006973.542413],[10740606542.623245],[9833433412.28022],[142760939.1169962],[53047236.143883035],[13539548.879726741],[3550174.0236987816],[0.30206212373458813],[0.045192442137076884],[0.25961686426400393],[1.092253955694674]
6,"[[4462659, 4592835, 4586292]]","[[4792320, 4790272, 4794368]]",[11919593.697198465],[32425805.006538108],[11035938.19299167],[26773627.22386316],[26792479.599413976],[85373192.51736766],[210374631.37397102],[4028583747.0942626],[13345465802.598242],[13053754324.323689],[209543510.81817564],[79242717.12821923],[24643974.59162302],[9158752.950239485],[0.412194362038305],[0.052220493498666885],[0.3138277814076535],[1.02234694104293]
7,"[[4308359, 4451963, 4427663]]","[[4790272, 4794368, 4794368]]",[10505065.57241454],[30949324.248418413],[8974207.708117055],[23809272.36996224],[23609355.97139397],[85973746.73552144],[208117147.25365087],[4138906499.902286],[13794348122.221548],[13077651836.451523],[207107734.00048712],[79584564.58280686],[21575183.678179756],[7566766.8102336405],[0.3769207041975339],[0.050283123636294814],[0.27461122572711355],[1.0548031324532106]
8,"[[4095082, 4221272, 4194680]]","[[4798464, 4798464, 4798464]]",[9914229.934617274],[29435092.963357985],[8576616.039510785],[22476458.23998649],[22286744.63129311],[79945471.08453605],[196127984.30335274],[4247096523.695238],[14266631434.729675],[13064363213.396778],[195403082.08566988],[73823894.30142142],[20400870.573356785],[7042791.555640043],[0.38158218469904],[0.046179309372679195],[0.2787743236602688],[1.0920265459322225]
9,"[[3462213, 3460291, 3457340, 3460592]]","[[3579904, 3579904, 3577856, 3579904]]",[14296482.302872475],[32599728.524247207],[16488384.45853268],[43761063.96882214],[43882509.77146271],[87206470.81254293],[212122424.33344308],[6637038440.77485],[22139160467.75059],[16402730104.153288],[211385587.11068025],[80788915.88641077],[41345179.84188112],[14942654.051662594],[0.3767820743636384],[0.03196040315666434],[0.5032024500313923],[1.3497241207513864]
10,"[[3457223, 3456451, 3451075, 3454083]]","[[3584000, 3581952, 3577856, 3581952]]",[14358889.603182772],[32487595.512815464],[16846011.127187077],[43404781.654364005],[43371904.72045689],[86498442.22621375],[211213014.5216693],[6450888481.213141],[21540006629.428394],[16341011156.196198],[210810205.06418523],[80544334.7515779],[41231175.92487399],[15052324.094119053],[0.38811417740407744],[0.03274169366542033],[0.5014183331421064],[1.3181562893224534]
11,"[[3446343, 3444291, 3442371, 3442368]]","[[3577856, 3577856, 3575808, 3577856]]",[14191973.312793482],[32284408.21672358],[16602360.51173834],[43194141.11239424],[43208979.46726983],[88528978.70469797],[212762133.07211855],[6220050803.199256],[20903928244.98038],[16319113929.470304],[212228120.94253245],[81807665.60808626],[41053892.365055524],[14875215.205694163],[0.3843660293774058],[0.034205851335279334],[0.48807723865650854],[1.2809475033586517]
