# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627451637
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    28.56%  rte-worker-2  nflr                         [.] write_variable
    19.52%  rte-worker-2  nflr                         [.] read_variable
    17.54%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    14.25%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
     4.05%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.57%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     1.21%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.14%  rte-worker-2  nflr                         [.] HandleNAS
     1.11%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.08%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.03%  rte-worker-2  nflr                         [.] Registered
     0.96%  rte-worker-2  nflr                         [.] send_packet
     0.75%  rte-worker-2  nflr                         [.] HandleRegistrationComplete
     0.58%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.57%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.54%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.43%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.41%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.37%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.37%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.34%  rte-worker-2  nflr                         [.] Decode
     0.34%  rte-worker-2  nflr                         [.] ClearRegistrationRequestData
     0.33%  rte-worker-2  nflr                         [.] ranUeFind
     0.31%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.31%  rte-worker-2  nflr                         [.] Stop
     0.28%  rte-worker-2  nflr                         [.] UpdateLocation
     0.28%  rte-worker-2  nflr                         [.] ContextSetup
     0.22%  rte-worker-2  nflr                         [.] StopT3550
     0.19%  rte-worker-2  nflr                         [.] Dispatch
     0.19%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.13%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.13%  rte-worker-2  nflr                         [.] GetBearerType
     0.10%  rte-worker-2  nflr                         [.] dispatchMain
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.09%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.04%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] x86_pmu_disable
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] read_tsc
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] invoke_rcu_core
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.01%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] rcu_segcblist_ready_cbs
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_enable.part.0
     0.01%  rte-worker-2  nflr                         [.] cuckoo_hash_second_hash
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_mux_hrtimer_handler
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.00%  perf          libc-2.31.so                 [.] sched_setaffinity@@GLIBC_2.3.4
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] native_apic_mem_write
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
