,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[7924928]],[[30521344]],[262811.9746579266],[12101366.709195843],[697354.6941713588],[34028006.11200483],[33784724.79732228],[74387146.79780962],[142911540.71962592],[1682512934.368547],[5729768185.255879],[6493188641.783043],[136750504.84656462],[0.02049355145511559],[0.0849393415054257],[0.45417422567842186],[0.8824274946188031]
1,[[7699462]],[[30480384]],[334650.8533846052],[11986913.031573407],[1109755.742827956],[34602463.69002401],[34619049.92755992],[74543764.09004933],[142907125.88356772],[1673630076.7905252],[5704555670.23453],[6582960310.6007805],[136511388.87297127],[0.032071581745432245],[0.08538752252685182],[0.46441242067867533],[0.8665638863184815]
2,[[6884952]],[[30513152]],[416466.5636704823],[10959131.30390952],[2758267.66875175],[31423181.82377946],[31307866.296481855],[66385611.062900044],[128451069.24423242],[1563873241.4791355],[5320932498.62553],[6548844036.751819],[123395883.25795622],[0.08777811503049109],[0.08213649664006106],[0.47160620796000213],[0.8124994989596173]
3,[[5852009]],[[30492672]],[483140.81507990754],[9637393.562045772],[4980768.990789169],[27338981.78909036],[27214492.38699621],[59363363.60132568],[114083817.32029411],[1434977939.2162564],[4887903041.491494],[6577899192.264632],[109802939.50252806],[0.18218560695544075],[0.0795021402089313],[0.45843919104321884],[0.7430796518194576]
4,[[5262625]],[[30527488]],[499590.2134151426],[8740280.782568263],[6197123.64527643],[24151379.308932584],[24118372.17726401],[53219222.21811796],[103167977.9116197],[1342915578.959096],[4574928129.13166],[6511582113.218215],[99586595.8613092],[0.25659501952273067],[0.07682387450712723],[0.45318911423423897],[0.7025831893979751]
5,[[4963121]],[[30531584]],[467826.9138794797],[8418098.453171786],[6890586.976325029],[23276582.98776545],[23194234.933585703],[50589524.82003511],[98521418.8749124],[1317947943.0323472],[4491643058.2341],[6547179320.4544],[95135416.12545827],[0.2960308641498983],[0.07475364971414074],[0.4584790036296215],[0.6860424678153405]
6,[[4806157]],[[30517248]],[469304.5031442532],[8204758.263164461],[7333375.174658362],[22915766.90538818],[22531334.77428604],[48964573.52732775],[95458335.70030372],[1295644505.8851235],[4418920821.074148],[6540625892.92441],[92137832.45978604],[0.32001439030757756],[0.07367633271835708],[0.4601558463837332],[0.6756113089810712]
