,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[2367356, 2424560, 2415579, 2422997, 2423025, 2413932, 2413407, 2420056]]","[[3256320, 3256320, 3256320, 3256320, 3256320, 3256320, 3256320, 3256320]]",[25820694.441232447],[44968630.69614173],[80882647.27978054],[93509419.78494732],[93370744.68744132],[174794000.7380268],[401103823.70946854],[5795231767.843896],[17002674051.050209],[29382084748.688923],[400699155.37590027],[140262447.99006855],[74604219.77754264],[62759943.77372274],[0.8649679087496661],[0.0692127320834829],[0.5341759116056911],[0.5786748692775756]
1,"[[2218698, 2272932, 2264409, 2271176, 2269720, 2260252, 2252828, 2265152]]","[[3256320, 3256320, 3254272, 3254272, 3254272, 3254272, 3254272, 3256320]]",[24884079.35725131],[42164792.609768264],[77594572.45832393],[87346696.17063046],[87301739.43927133],[166092405.37823486],[398477058.3526755],[5723095200.45599],[16734888646.430685],[29273986031.531937],[398082135.6231724],[131849661.0563425],[68934214.93598853],[60012824.09960296],[0.8883515445935597],[0.069626145362902],[0.5256215011183862],[0.5716641604052488]
2,"[[2092991, 2145056, 2133101, 2141420, 2142903, 2132316, 2132423, 2137091]]","[[3262464, 3270656, 3262464, 3264512, 3262464, 3262464, 3262464, 3262464]]",[23872192.65176142],[40090002.266352214],[74832219.6312174],[81694075.65407827],[81933053.05810441],[159008343.3446071],[400064076.2486573],[5735183335.137999],[16717960271.870157],[29446063923.58597],[400046881.4654213],[126587632.49519312],[64199708.746840164],[57539011.20372357],[0.9160054634571495],[0.06975610941634022],[0.5152751820106504],[0.5677485559786228]
3,"[[1978183, 2026348, 2017248, 2022704, 2024068, 2013900, 2016367, 2019648]]","[[3264512, 3264512, 3264512, 3264512, 3264512, 3264512, 3264512, 3264512]]",[23032943.315361194],[37925991.08600485],[71218507.0993902],[77373855.1656233],[77238619.75978386],[151755743.88640368],[399824153.9934468],[5711432494.549951],[16602910554.436314],[29497741829.519207],[399426984.32039624],[120345872.38995779],[60652757.13820617],[55441174.013383456],[0.9204466669903261],[0.07000418097823498],[0.5089666972842927],[0.562853612672863]
4,"[[2292764, 2352071, 2347526, 2351557, 2354020, 2339388, 2346097, 2355106, 2360248]]","[[2895872, 2895872, 2895872, 2895872, 2895872, 2895872, 2895872, 2902016, 2902016]]",[32920282.25492286],[48448937.1350215],[103431821.94381844],[121521027.39468467],[121436648.22396763],[190898696.8718774],[433906749.0894389],[6237133073.568967],[18288873405.86264],[32590915632.245903],[433487959.354167],[153267863.2659956],[101348469.39013283],[84064199.73384696],[0.8511434124720257],[0.06956830068741053],[0.6361313629368064],[0.5611647617462878]
5,"[[2188227, 2240957, 2235488, 2241352, 2240992, 2227904, 2233936, 2239415, 2244716]]","[[2899968, 2899968, 2895872, 2893824, 2895872, 2895872, 2895872, 2895872, 2895872]]",[29655585.12202844],[46649879.94726543],[90163465.84689431],[100504369.54909393],[100633566.67686711],[184085087.93455568],[441039890.23939306],[6300172210.899689],[18392067336.879635],[32577355581.682457],[440799642.17085373],[146797672.91075298],[79932519.24364734],[70153331.78526258],[0.8971099092647077],[0.07000441820881764],[0.5466687595718969],[0.5645660001704097]
6,"[[2063794, 2115552, 2110153, 2114293, 2116340, 2102772, 2109596, 2113544, 2116995]]","[[2897920, 2895872, 2897920, 2897920, 2897920, 2897920, 2899968, 2899968, 2897920]]",[28492996.565730043],[44394464.6568823],[85570541.34916309],[93471850.02276102],[93362338.38492252],[175789431.52409595],[442415360.01260513],[6302792439.257167],[18332604656.40912],[32717866965.502968],[442029331.74923414],[139586283.45177767],[74211932.42490788],[66677211.21153824],[0.9154685750664622],[0.07019354742780443],[0.5311032499250393],[0.5603239561961246]
7,"[[1956949, 2004808, 1997124, 2001672, 2007803, 1994327, 1998301, 2003795, 2009647]]","[[2895872, 2895872, 2893824, 2893824, 2895872, 2895872, 2895872, 2893824, 2895872]]",[27418940.431725595],[42211981.939502716],[81502834.33430843],[86706638.58840974],[86875134.39250454],[169126347.6638878],[444354822.8959475],[6298030282.528707],[18270895043.825638],[32724632462.76559],[444325484.5407705],[133835285.24613671],[68640630.16823891],[63214253.44534948],[0.9399837851078117],[0.0705545707089766],[0.5136700200323329],[0.558322391080005]
8,"[[2262510, 2313315, 2311749, 2318950, 2319885, 2306585, 2310754, 2312961, 2322301, 2315731]]","[[2609152, 2609152, 2607104, 2609152, 2607104, 2607104, 2607104, 2607104, 2607104, 2607104]]",[38338179.16599978],[52655668.11975542],[114718821.97140577],[130705624.35575809],[130475025.4860313],[206046412.27444962],[466330089.3408613],[6842849396.133209],[20157541162.610634],[35765229575.52494],[466080117.9665446],[164841793.24466145],[108055545.76624234],[92555028.55434753],[0.8776884892050322],[0.06814852444427279],[0.6332312416691886],[0.5636072073868346]
9,"[[2128892, 2182388, 2175581, 2182476, 2180215, 2167587, 2170432, 2174070, 2183327, 2177947]]","[[2613248, 2613248, 2621440, 2621440, 2619392, 2621440, 2621440, 2621440, 2619392, 2615296]]",[37933364.552246645],[49819575.15085497],[113007791.06498992],[126172925.55124822],[126088422.60273574],[197409701.09285498],[469162623.95476884],[6703892611.767688],[19600732719.396614],[35730594297.34387],[468816127.65134925],[156685817.69704515],[103795024.43611102],[91192764.19999298],[0.8956580072250845],[0.06998361267470538],[0.6387144193254612],[0.5485700169519343]
