,hotspot,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694228689,[[447316]],[[29429760]],[1615654.754252148],[3267786.202240221],[3151383.1196138742],[14110632.312942114],[40136740.82303053],[2204510076.707132],[5765843631.543149],[6547913647.784522],[40128522.76749215],[0.49441874537096114],[0.018206648836453777],[0.22333394065717813],[0.8805619532710262]
1,1694228704,[[466565]],[[29440000]],[2800084.429421414],[4484195.977421701],[4284621.807815754],[16099896.273040714],[38980153.92201225],[2176007085.0774536],[5856340583.577972],[6581802370.066921],[38978324.247353055],[0.6244339996556957],[0.01791361535048714],[0.26612729269506885],[0.8897776405763498]
2,1694228718,[[281344]],[[29411328]],[2540436.317871782],[4121131.5884472835],[4018920.2492611906],[13068701.53694641],[32051849.54939715],[2525438001.0411053],[5984613119.131733],[6584543580.272851],[32053924.96983484],[0.6164414465661217],[0.01269160024367411],[0.30752253679520775],[0.9088880719176198]
3,1694228732,[[639860]],[[29433856]],[3257454.3281863704],[5004076.2035344755],[4903558.838242459],[15354657.901350759],[40132759.95258322],[1976718139.1094122],[5707367171.351777],[6581785014.371212],[40127650.80192131],[0.6509601764029028],[0.020302722557432786],[0.3193531806274297],[0.8671457908287555]
4,1694228747,[[611865]],[[29448192]],[1985098.988111476],[3681001.652981075],[3581893.5680596475],[15437405.832268525],[39089328.38074486],[1957153883.9515553],[5839176361.466609],[6582692890.012351],[39097333.592623584],[0.5392822865221576],[0.01997253700962046],[0.23202690963610487],[0.8870497923921304]
