# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 551193052
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
     0.11%  swapper          [kernel.kallsyms]        [k] native_sched_clock
     0.11%  swapper          [kernel.kallsyms]        [k] invoke_rcu_core
     0.11%  swapper          [kernel.kallsyms]        [k] error_entry
     0.11%  rte-worker-2     [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.11%  swapper          [kernel.kallsyms]        [k] schedule_idle
     0.11%  rte-worker-2     [kernel.kallsyms]        [k] update_rt_rq_load_avg
     0.10%  rte-worker-2     [kernel.kallsyms]        [k] tty_ldisc_deref
     0.10%  swapper          [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.10%  rte-worker-2     [kernel.kallsyms]        [k] aa_label_is_subset
     0.10%  rte-worker-2     nflr                     [.] worker_fsm_amac_thread
     0.10%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     0.10%  rte-worker-2     librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.10%  rte-worker-2     libc-2.31.so             [.] __memcmp_avx2_movbe
     0.10%  rte-worker-2     [kernel.kallsyms]        [k] tty_write_room
     0.10%  rte-worker-2     [kernel.kallsyms]        [k] sched_clock
     0.10%  rte-worker-2     [kernel.kallsyms]        [k] perf_event_task_tick
     0.10%  rte-worker-2     [kernel.kallsyms]        [k] update_load_avg
     0.10%  rte-worker-2     [kernel.kallsyms]        [k] add_wait_queue
     0.10%  swapper          [kernel.kallsyms]        [k] enqueue_hrtimer
     0.09%  kworker/2:1-mm_  [kernel.kallsyms]        [k] collect_percpu_times
     0.09%  rte-worker-2     [kernel.kallsyms]        [k] sched_clock_cpu
     0.09%  rte-worker-2     libc-2.31.so             [.] _IO_do_write@@GLIBC_2.2.5
     0.09%  rte-worker-2     [kernel.kallsyms]        [k] do_output_char
     0.09%  rte-worker-2     [kernel.kallsyms]        [k] native_write_msr
     0.09%  rte-worker-2     [kernel.kallsyms]        [k] __cond_resched
     0.09%  swapper          [kernel.kallsyms]        [k] native_irq_return_iret
     0.09%  rte-worker-2     librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.09%  rte-worker-2     [kernel.kallsyms]        [k] select_idle_sibling
     0.09%  rte-worker-2     [kernel.kallsyms]        [k] get_work_pool
     0.09%  swapper          [kernel.kallsyms]        [k] rcu_eqs_enter.constprop.0
     0.09%  rte-worker-2     librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.09%  swapper          [kernel.kallsyms]        [k] update_load_avg
     0.09%  rte-worker-2     [kernel.kallsyms]        [k] update_cfs_group
     0.08%  rte-worker-2     [kernel.kallsyms]        [k] tty_ldisc_ref_wait
     0.08%  rte-worker-2     nflr                     [.] 0x0000000000004634
     0.08%  swapper          [kernel.kallsyms]        [k] decay_load
     0.08%  rte-worker-2     [kernel.kallsyms]        [k] memcpy
     0.07%  swapper          [kernel.kallsyms]        [k] menu_select
     0.05%  perf             [kernel.kallsyms]        [k] check_same_owner
     0.00%  perf             [kernel.kallsyms]        [k] fill_pte
     0.00%  perf             [kernel.kallsyms]        [k] native_sched_clock
     0.00%  perf             [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
