,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[2514196, 2571060, 2566875, 2578871, 2571248]]","[[5210112, 5208064, 5206016, 5203968, 5199872]]",[12707142.47409266],[31589532.220651716],[46297946.21119041],[57369828.31109944],[57299842.226968326],[120927703.04908656],[276283615.051],[3875628767.9680786],[11625441412.151682],[19586510103.27656],[275944031.6683088],[97487088.91219151],[44715641.12849898],[34423576.23969077],[0.8070086241173754],[0.07128743014152268],[0.4738355296776734],[0.593543278044561]
1,"[[2342775, 2398148, 2396172, 2400252, 2397868]]","[[5199872, 5201920, 5199872, 5199872, 5199872]]",[12374554.581565248],[29268890.428796932],[44520331.4649069],[53203269.49592659],[53287420.33040434],[115298814.4425765],[273553509.3949459],[3800757814.651119],[11357411943.766647],[19382929128.57662],[272447192.87371016],[92520587.27323335],[41596653.05733601],[33155199.57034291],[0.8367969090379966],[0.07197341233910114],[0.46216798141444587],[0.5859492065635322]
2,"[[2195580, 2248624, 2247920, 2252655, 2250616]]","[[5199872, 5201920, 5201920, 5201920, 5201920]]",[12173081.479733016],[27861173.62417682],[43469682.86557621],[51202143.8666461],[51013281.77491978],[109564470.2235998],[273179492.8226024],[3826471006.6791806],[11391913028.271248],[19641629720.7752],[272530662.9916356],[87659588.16951998],[39463596.05604891],[32475814.018451486],[0.848981694571056],[0.0713920195255007],[0.46560058813602234],[0.579988177672542]
3,"[[2078816, 2120276, 2124359, 2129156, 2123799]]","[[5201920, 5201920, 5201920, 5201920, 5201920]]",[11851869.786286226],[26357265.451728437],[42111783.45945891],[48453792.7870465],[48301181.42062154],[105148281.32352965],[272294141.6134795],[3817133900.030909],[11327801282.280855],[19669602936.70124],[271846057.5222076],[83939490.95168272],[37348190.33001935],[31480960.89445688],[0.8691122208851514],[0.0713347104777421],[0.4593625384327884],[0.575903912180376]
4,"[[2463868, 2525673, 2522540, 2529496, 2526724, 2513297]]","[[4356096, 4354048, 4343808, 4339712, 4337664, 4335616]]",[16842919.796432067],[36763441.1730227],[55876433.3051578],[66753204.995954655],[66759128.69853869],[140200244.45286742],[320348403.08243215],[4438659326.029402],[13263668651.81115],[22815625648.442307],[319820251.60693985],[113443479.43579848],[52611973.717348486],[42233531.83412089],[0.8370599330555589],[0.07217233393061492],[0.4761698452029576],[0.5813414392480928]
5,"[[2304844, 2362453, 2357611, 2362092, 2361716, 2346944]]","[[4335616, 4349952, 4349952, 4349952, 4349952, 4349952]]",[16440547.182301918],[34413593.47518633],[54565147.72825007],[63548483.177662656],[63390916.11202446],[133437504.5570298],[318963515.6363502],[4402094313.091743],[13095478031.054108],[22799241775.70092],[318171431.6987372],[107291676.25008804],[49373360.9020421],[41052134.974542454],[0.8586380822922579],[0.07245721989366717],[0.4750607134213294],[0.5743821728760763]
6,"[[2173066, 2225524, 2219632, 2225515, 2226652, 2211168]]","[[4345856, 4347904, 4345856, 4345856, 4345856, 4335616]]",[16097704.828047987],[32591131.728037477],[52952768.52771148],[60700554.175267875],[60594380.01217366],[128098681.88831261],[318566094.2431697],[4399873106.122862],[13050675603.947538],[22855734165.416767],[318219970.0425293],[102330277.47855698],[46799236.02415102],[39935586.49421607],[0.8723605450918076],[0.0724034731364987],[0.4730289111405926],[0.5710022486914746]
7,"[[2040321, 2090815, 2085308, 2088679, 2089448, 2077484]]","[[4337664, 4335616, 4347904, 4347904, 4347904, 4345856]]",[15620709.85935276],[30799001.8530657],[50750449.622679606],[56929025.67808903],[56798081.101517566],[122460750.3173432],[318145098.776592],[4373689485.561598],[12925103864.392006],[22855665050.240475],[317777053.39309],[97921674.04319851],[44048783.53668743],[38431034.075752094],[0.8914687897462569],[0.07274066890821834],[0.46380641106911197],[0.5655098565708118]
8,"[[2423708, 2493959, 2485679, 2497227, 2496861, 2480095, 2485940]]","[[3731456, 3717120, 3717120, 3717120, 3719168, 3717120, 3717120]]",[21570678.904219184],[41898864.66273949],[65644527.396037094],[76917253.3926786],[76833520.63914573],[160573492.7690139],[365406139.7483995],[4982250182.563955],[14845483884.457035],[25935328997.988487],[364939265.16297144],[129658300.18242797],[60319384.487529166],[50130427.194248356],[0.8534434668501241],[0.07334158790885024],[0.4784944221750927],[0.5724039161257]
9,"[[2264448, 2328120, 2324485, 2330852, 2332180, 2315684, 2318980]]","[[3731456, 3731456, 3731456, 3731456, 3719168, 3719168, 3719168]]",[20756742.735619668],[39047137.031633705],[63937702.30012702],[72954380.97574548],[72792997.13881329],[151417371.34506744],[360005653.80172986],[4922620310.924334],[14614397393.268736],[25843471214.262867],[359786886.32528883],[121333135.55386198],[56308963.86523922],[48377063.95306357],[0.8764066180122047],[0.07313293145985712],[0.4807440288533617],[0.5654966885873726]
10,"[[2128659, 2189244, 2185139, 2192214, 2189555, 2179079, 2180336]]","[[3723264, 3725312, 3723264, 3725312, 3725312, 3725312, 3725312]]",[20198669.33079426],[37047459.16468088],[62363392.401572235],[69191535.16289194],[69023482.89429587],[146409979.1283648],[362152151.51963073],[4938797683.337646],[14600295570.396921],[26044354903.29851],[362575643.2563221],[117251474.39038657],[53384966.53625982],[46871529.03461885],[0.901315345218967],[0.07332799898676713],[0.4714397427362489],[0.5605934807987045]
11,"[[2012748, 2069685, 2065083, 2070056, 2069312, 2056304, 2059699]]","[[3719168, 3719168, 3719168, 3717120, 3719168, 3719168, 3719168]]",[19498958.008274466],[34909971.251043715],[59844501.594235525],[65663220.97420707],[65312054.525865965],[138421405.1698487],[359851117.34150267],[4913052736.156157],[14472460823.60999],[25925920191.926506],[359769567.68804604],[110350792.47525756],[50349779.681210995],[45091691.348503545],[0.9113854103767286],[0.07324389471606624],[0.47183493366308055],[0.5582236123721774]
12,"[[2368927, 2427328, 2418884, 2425377, 2425623, 2413112, 2415604, 2420812]]","[[3262464, 3260416, 3262464, 3260416, 3258368, 3256320, 3256320, 3254272]]",[25530927.724802807],[44805038.200377844],[79616243.73937085],[92719767.81735769],[92802369.87815948],[173098494.63341704],[398655695.3291734],[5768560963.188797],[16923045908.227484],[29207342156.0604],[398436310.5461165],[138877331.27739307],[73966611.2911073],[62110029.22609022],[0.8586760473365446],[0.06910834398269078],[0.5361246501576669],[0.5794106775551305]
13,"[[2222732, 2275757, 2268920, 2274522, 2275192, 2263628, 2265051, 2271104]]","[[3264512, 3264512, 3266560, 3266560, 3264512, 3266560, 3264512, 3264512]]",[25094708.879033793],[42609793.71918581],[78421237.30863377],[87736255.90766004],[87648023.0017498],[167013546.87663555],[401373746.69503486],[5785690747.719718],[16923456913.78761],[29552849970.390118],[401284097.95428246],[133289329.58668324],[69336273.79592168],[60543364.97039898],[0.893829312606751],[0.0693735224014913],[0.5247958901590837],[0.5726505880395198]
