,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8122968]],[[31258624]],[684797.5684537898],[35201878.39052734],[35039663.33539733],[77467888.20470577],[150934875.8578002],[1748917903.5526998],[5923616393.782423],[6629954036.146947],[150908366.0975816],[0.01945343827555707],[0.08630186445641364],[0.4523121017937966],[0.8934626637660646]
1,[[8070963]],[[31244288]],[806409.7277953831],[34678256.06259011],[34516775.723408945],[75041547.19795044],[146955717.68126184],[1728782062.2816439],[5855228074.836906],[6583700719.471661],[146928952.9951816],[0.023254045022907434],[0.08500534618418583],[0.4599688707424689],[0.889352102157339]
2,[[7882016]],[[31184896]],[1232212.2715274158],[34120814.170463294],[33960844.2126102],[75051722.81436935],[146080816.09707987],[1714525967.7831578],[5808621812.21463],[6630301977.726657],[146053477.46954355],[0.03611321422084005],[0.0852018685292699],[0.45249919574275355],[0.8760719846136242]
3,[[7537730]],[[23109632]],[1805667.6134002781],[33018538.43253528],[32863098.80768505],[72200365.71607582],[140547616.96742395],[1665701512.7415967],[5643362945.314843],[6615406859.397441],[140521643.1334078],[0.05468647914533486],[0.08437743250655698],[0.4551652679560859],[0.8530636233353098]
4,[[6996410]],[[13015040]],[2925009.886504132],[30497262.840058196],[30340052.706801806],[67250450.39416836],[130439237.44454005],[1564436635.4495223],[5301934021.867584],[6539493188.0475445],[130415016.65821567],[0.09591057078939318],[0.08337776966406817],[0.451150178608064],[0.8107561043963025]
5,[[7880475]],[[31272960]],[1109571.4167902505],[34794375.30761722],[34633585.03717212],[74521599.67125665],[145046130.23770607],[1691596650.0285246],[5730920805.571746],[6541927152.465659],[145018773.83671018],[0.031889390367854716],[0.08574510373691047],[0.46474559308917335],[0.8760294439249077]
6,[[7805512]],[[31315968]],[1245921.8216560222],[34861445.034607306],[34706174.087150425],[75512185.70054428],[146119058.08678523],[1703718529.2202451],[5771459323.692343],[6621023821.698195],[146091047.42777026],[0.035739247768392365],[0.08576478777492708],[0.45961024389869126],[0.8716868386394128]
7,[[7571633]],[[31160320]],[1763806.394772674],[33526316.432792857],[33369278.489477642],[72880804.78513739],[141294894.73548794],[1663022839.4271472],[5635325859.848599],[6588900585.855029],[141268629.29670978],[0.05260960888168002],[0.08496269046079911],[0.45786100452450895],[0.8552755936167026]
8,[[7156840]],[[23105536]],[2465385.3034028225],[32162202.63782389],[32007913.236644946],[68347417.56468911],[133311401.42418358],[1601987603.7313447],[5429247727.684132],[6557731260.211571],[133286299.04680532],[0.07665474069563388],[0.08321625030910043],[0.4683119622822656],[0.8279155568062985]
9,[[6800624]],[[13015040]],[3054533.059812453],[30493140.738493532],[30339322.930512488],[65348569.716909125],[127312763.02890731],[1541622314.2168741],[5225063926.625286],[6504285321.671146],[127289759.10209587],[0.10017115278507575],[0.08258362755574195],[0.4642691196141375],[0.8033263714948485]
10,[[7040988]],[[31266816]],[2708851.715708989],[32199317.862883046],[32044103.90665503],[67023542.80786246],[131814861.80298564],[1599535183.016322],[5420731447.205245],[6596401088.82883],[131791511.18087704],[0.08412761187191328],[0.08240822909216407],[0.47810220952533666],[0.8217710497297366]
11,[[6937931]],[[31238144]],[2968293.485162943],[31700265.403128862],[31547443.121015567],[67263158.96022542],[131528336.90081154],[1580593019.3197916],[5356522519.049813],[6593727348.116557],[131504808.47337185],[0.09363623450515239],[0.08321455004110721],[0.46901518764039096],[0.8123663955531706]
12,[[6732524]],[[31162368]],[3411491.395594533],[30457404.67849263],[30305687.75651827],[65101292.77366111],[126996176.81470382],[1545076249.7390065],[5237913168.333172],[6554885967.394831],[126972884.17730053],[0.11200860452839383],[0.08219411620375108],[0.4655159132074785],[0.7990853226718946]
13,[[6363675]],[[23105536]],[4111550.266003984],[29571051.225630876],[29420913.640864283],[61867298.3292924],[121998634.4201625],[1509097539.6167486],[5116350596.274047],[6606673353.370429],[121976717.70796524],[0.13903970591482642],[0.0808421133939065],[0.47554870562263296],[0.7744216071563329]
14,[[6063463]],[[13017088]],[4242017.128302442],[28666282.14047121],[28528149.522570036],[61193132.18119941],[119199249.98125806],[1483766067.0214005],[5028922604.361331],[6609382195.516563],[119178061.09995545],[0.14797932663592742],[0.08033560857780342],[0.4661985504859456],[0.7608763505570417]
15,[[5958812]],[[31250432]],[5065860.525118473],[27762046.960949227],[27603339.94871863],[61215960.39723846],[119091333.62967303],[1460687074.2486184],[4954589544.123748],[6617018291.86171],[119068796.13478957],[0.18247431582563908],[0.08153103818689843],[0.4509173713782632],[0.7487646739948433]
16,[[5917733]],[[31219712]],[5110930.478189788],[27520892.4236631],[27365114.818016432],[58939133.48368556],[115881565.06219247],[1453943482.0119045],[4931162998.54801],[6607028243.259661],[115861573.27353753],[0.1857109282471993],[0.07970156095877987],[0.4642944882382965],[0.7463511304917865]
17,[[5775746]],[[31160320]],[5459349.185826911],[26713817.402286395],[26557579.98476243],[57740566.46598825],[112720521.2735747],[1431295109.0403423],[4855372088.578784],[6594729534.825864],[112699353.09897333],[0.20436424729621958],[0.0787542139713953],[0.45994664774212113],[0.7362503743236517]
18,[[5493784]],[[23103488]],[6031314.362414141],[25941438.504382182],[25788498.044485185],[55812653.93874005],[109260129.24035066],[1393631256.5287838],[4728711217.256794],[6611237362.943693],[109240914.54194368],[0.23249729815080594],[0.07839959725967442],[0.46205468159228963],[0.7152535838089025]
19,[[5205536]],[[13019136]],[6410907.813105876],[24946250.216257274],[24796364.013308402],[52549052.79685088],[103425853.0269236],[1358413997.0565655],[4608828779.043657],[6614858734.582418],[103408112.18458632],[0.2569888362992502],[0.07613721093203434],[0.47187080819836164],[0.6967388063706855]
20,[[5346126]],[[31285248]],[6364814.400486411],[25126293.045628086],[24968367.775878254],[54801197.53166163],[107189996.14885564],[1382633858.9369745],[4692426437.754867],[6611892554.240925],[107170209.71939585],[0.25331290966511566],[0.07752594474380058],[0.45561719269825574],[0.7096949019150506]
21,[[5313594]],[[31234048]],[6453470.29732995],[25030239.242775954],[24877608.299673975],[53160069.95719229],[105426059.96179381],[1381236656.8539672],[4687428642.191612],[6625603664.483959],[105407301.72881854],[0.2578269522211021],[0.07632729658501967],[0.4679754620283031],[0.7074719345677458]
22,[[5237269]],[[31084544]],[6572578.200599437],[24224210.903412327],[24070152.253658105],[52875695.356313415],[103402013.88985232],[1350485115.2316806],[4583473003.380562],[6538952290.706145],[103383351.80031455],[0.27132269557947064],[0.07656657057794622],[0.4552214791967573],[0.7009491428611708]
23,[[5021731]],[[23119872]],[7139360.717402875],[23722299.215987705],[23568175.79232474],[50560216.98209149],[99930056.98955378],[1323840447.6268895],[4493747526.279604],[6582334639.953493],[99911834.42022987],[0.3009556810830244],[0.07548497038951178],[0.46614071693309045],[0.6826981264373022]
24,[[4780736]],[[13019136]],[7600871.293448183],[23031520.382723894],[22876907.636552554],[48261406.51578884],[95830148.10831976],[1299847113.4931877],[4412737508.711274],[6633014860.187624],[95813636.33384818],[0.3300203880222189],[0.07372416887612837],[0.4740207401346315],[0.6652687505944248]
25,[[5075283]],[[31244288]],[7007545.196777689],[23882615.302894156],[23731714.485452857],[51023743.6046258],[101073639.00656523],[1345970012.104072],[4568663648.894905],[6617167374.179152],[101056020.45836936],[0.2934161568112893],[0.07509352964600083],[0.46511119743282314],[0.6904258862670283]
26,[[5041536]],[[31244288]],[7012586.654223428],[23651557.331359264],[23500291.598755043],[51075557.88600697],[100712934.1919523],[1337109948.5473363],[4539542055.958507],[6577153303.623316],[100693642.53428726],[0.2964957679520553],[0.075321355810245],[0.4601083682963226],[0.6901986081817036]
27,[[4994796]],[[31166464]],[7231223.880584006],[23377616.41451197],[23223228.89001744],[50760596.742387146],[100070572.54300208],[1332993347.4682086],[4525744691.656964],[6617430755.891416],[100051864.5121497],[0.30932254821732497],[0.07507207198975817],[0.4575050409252795],[0.6839126631778882]
