# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627695798
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    30.51%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    17.55%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    13.04%  rte-worker-2  nflr                         [.] write_variable
    11.41%  rte-worker-2  nflr                         [.] read_variable
     4.20%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     2.55%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     2.02%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     1.45%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.14%  rte-worker-2  nflr                         [.] HandleNAS
     0.99%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.96%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.96%  rte-worker-2  nflr                         [.] BuildSecurityModeCommand
     0.81%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.79%  rte-worker-2  nflr                         [.] Dispatch
     0.70%  rte-worker-2  nflr                         [.] SecurityMode
     0.70%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.68%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.64%  rte-worker-2  nflr                         [.] UpdateLocation
     0.55%  rte-worker-2  nflr                         [.] Authentication
     0.51%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.51%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.45%  rte-worker-2  nflr                         [.] Decode
     0.43%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.39%  rte-worker-2  nflr                         [.] SendDownlinkNasTransport
     0.37%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.37%  rte-worker-2  nflr                         [.] ranUeFind
     0.37%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.33%  rte-worker-2  nflr                         [.] SendSecurityModeCommand
     0.33%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.28%  rte-worker-2  nflr                         [.] HandleAuthenticationResponse
     0.28%  rte-worker-2  nflr                         [.] Stop
     0.28%  rte-worker-2  nflr                         [.] StopT3560
     0.27%  rte-worker-2  nflr                         [.] SendToRanUe
     0.25%  rte-worker-2  nflr                         [.] BuildDownlinkNasTransport
     0.24%  rte-worker-2  nflr                         [.] DerivateAlgKey
     0.24%  rte-worker-2  nflr                         [.] GetNgapIEMobilityRestrictionList
     0.24%  rte-worker-2  nflr                         [.] SendAuth5gAkaConfirmRequest
     0.22%  rte-worker-2  nflr                         [.] send_packet
     0.19%  rte-worker-2  nflr                         [.] Encode
     0.19%  rte-worker-2  nflr                         [.] SecurityContextIsValid
     0.19%  rte-worker-2  nflr                         [.] SelectSecurityAlg
     0.18%  rte-worker-2  nflr                         [.] GetBearerType
     0.16%  rte-worker-2  nflr                         [.] DerivateKamf
     0.16%  rte-worker-2  nflr                         [.] NewTimer
     0.15%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.15%  rte-worker-2  nflr                         [.] SendToRan
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.04%  rte-worker-2  nflr                         [.] dispatchMain
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] sync_regs
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_interrupt
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __sysvec_apic_timer_interrupt
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.01%  rte-worker-2  librte_net_mlx5.so.23.0      [.] 0x000000000000a944
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.01%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] tick_program_event
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_update_next_event
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] change_pte_range
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] vma_migratable
     0.00%  perf          [kernel.kallsyms]            [k] syscall_return_via_sysret
     0.00%  perf          [kernel.kallsyms]            [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]            [k] native_apic_mem_write
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
