,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694234459,[[501455]],[[29458432]],[11501935.789337905],[14302142.52960905],[729320.8148854325],[2149141.878986373],[1995431.3273902785],[11362414.5177529],[40682233.0151237],[1429823179.130934],[5331113166.085214],[6539374921.925377],[40466608.91444914],[0.33935442886135153],[0.02845263219180075],[0.17561683956104313],[0.8152328364307307]
1,1694234474,[[565796]],[[29442048]],[8683218.27746076],[11474243.477122882],[756496.671811551],[2198269.247580292],[2041034.117573682],[12648954.136850942],[38757054.51684227],[1552211477.3842168],[5854590234.424727],[6564833547.632215],[38675386.69278199],[0.34413285481032496],[0.024968926645327714],[0.16135991130107882],[0.8918109182732202]
2,1694234488,[[429325]],[[29440000]],[7863375.4438815955],[10526144.855337285],[582768.8048516376],[2145225.4797941586],[2154965.567915719],[11593937.927499898],[36309155.16534767],[1548018082.630467],[5775112642.932513],[6555157221.52721],[36522369.72443473],[0.2716585320940511],[0.02345525260509193],[0.18587002806046704],[0.8810029184299315]
3,1694234502,[[680247]],[[29431808]],[8664290.418923622],[11581493.410487304],[805401.4938701432],[2345515.30101811],[2177840.2973783943],[12724283.380128162],[39157977.437314324],[1503920543.778011],[5652993821.105681],[6582181772.365539],[39128612.12189071],[0.3433793390819259],[0.026037264800536104],[0.17115622407306513],[0.8588328333378856]
4,1694234517,[[654593]],[[29421568]],[6644800.519941006],[9501798.211949188],[777078.1772681859],[2436237.8020039015],[2448753.4662543414],[13371081.566110661],[37633971.82870355],[1590014620.1045835],[5912405068.9605255],[6622142312.140688],[37880024.26038156],[0.3189664722503725],[0.02366894703536007],[0.1831380247100405],[0.8928236196496461]
