,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[2419724, 2476100, 2472975, 2479828, 2474977]]","[[2891776, 2891776, 2887680, 2889728, 2889728]]",[15775897.781829389],[30284524.722413443],[49570230.33178941],[58632514.32218351],[58818230.22657961],[118281714.5137306],[267377836.96273422],[3759007567.396323],[11290167487.2468],[19668182521.08313],[266693311.55725846],[95448352.24049844],[46540691.332520045],[37793174.1577313],[0.8454392738370866],[0.07112990122228817],[0.49727238456415646],[0.574032068044132]
1,"[[2262717, 2318800, 2315233, 2321751, 2319000]]","[[2885632, 2885632, 2883584, 2885632, 2885632]]",[14623341.869048765],[28239846.104597017],[45811304.08148502],[52655048.42233549],[52746899.62993376],[110594193.34342219],[262415025.22159594],[3693711553.896181],[11044676658.880325],[19426824710.637222],[261923685.12205803],[88830067.26419728],[41505772.45346433],[35159599.32796958],[0.8700268151695886],[0.07104372428453345],[0.4769409499298182],[0.5685271177040464]
2,"[[2131216, 2182260, 2181499, 2184280, 2183485]]","[[2893824, 2893824, 2889728, 2893824, 2891776]]",[14155379.085849602],[26986265.635130886],[45034300.91159006],[50218242.539699905],[50035376.54500673],[106505652.04092798],[264608114.7270925],[3721149177.2166176],[11088786055.97109],[19615064466.561737],[264036743.87889507],[84984778.54958265],[38615082.08488108],[34004907.7958427],[0.8967717433756928],[0.07110924666691722],[0.46979081002930384],[0.5653198884395412]
3,"[[2009195, 2051384, 2056736, 2060024, 2056499]]","[[2891776, 2891776, 2887680, 2891776, 2885632]]",[13597621.735270059],[25299367.152899254],[43437682.164106764],[47344519.10826966],[47130677.25108848],[100832623.96975476],[260676146.51276574],[3673821870.793934],[10916057497.60655],[19430179806.12103],[260242597.20880353],[80092790.0386512],[36104068.89793547],[32441379.605656173],[0.9174806922163775],[0.07095503148508181],[0.4674149634866743],[0.561809391705562]
4,"[[2307010, 2308005, 2304968, 2303867, 2302233, 2302963]]","[[2412544, 2412544, 2410496, 2408448, 2406400, 2406400]]",[23395841.940512173],[32684125.47359555],[67154420.4449944],[81237810.82442325],[80654020.07071157],[131401763.731396],[294526580.3511426],[4742712729.956486],[14486811576.598503],[22750430522.82281],[293960548.94000655],[104823868.56205362],[66512684.08041965],[53532806.712901376],[0.826639956979308],[0.06210086866337461],[0.6137970890221833],[0.6367708761408098]
5,"[[2188763, 2235882, 2232035, 2236591, 2236051, 2223122]]","[[2406400, 2406400, 2410496, 2410496, 2408448, 2412544]]",[23194517.303786688],[31875513.870770942],[67317249.59085834],[78634443.69874641],[78696612.94182011],[127967604.12188558],[301662013.60490596],[4258595510.1885066],[12724457931.555906],[22862697222.165756],[300911827.65945387],[102420509.1472558],[64962134.774289615],[54375322.7937127],[0.8560784107376028],[0.07083603335493886],[0.6149729338283444],[0.5565597885458299]
6,"[[2081440, 2130285, 2126248, 2131101, 2131478, 2119535]]","[[2416640, 2416640, 2412544, 2412544, 2408448, 2410496]]",[20529001.733565588],[31397981.99593737],[58078808.14059127],[65047983.525702834],[64893342.10626913],[123163561.0403565],[305253083.1716805],[4239461705.369786],[12589746160.794283],[22831103159.15259],[304957831.32602257],[98414477.2741012],[51407013.8450181],[44993174.91665179],[0.8928610080225194],[0.07200279289822124],[0.5268875108686228],[0.5514296034244527]
7,"[[1979889, 2026728, 2022026, 2028711, 2029143, 2015288]]","[[2406400, 2406400, 2406400, 2406400, 2406400, 2406400]]",[18082047.67672811],[29523216.33354161],[52043619.61839632],[56305863.696948685],[56317815.88851574],[118983570.98497969],[304770560.3578184],[4188346755.184835],[12394573187.963692],[22467925919.34119],[304571507.3073925],[94945074.67750882],[44012012.280142196],[39826800.16057056],[0.9243019501220555],[0.07276631524850159],[0.47332430370261136],[0.5516563136472692]
8,"[[1982151, 1981945, 1979989, 1979140, 1977552, 1978395, 1978389]]","[[2064384, 2064384, 2062336, 2064384, 2062336, 2064384, 2064384]]",[23931231.74430335],[32706847.477055393],[67683723.46698397],[81141707.24279019],[80730063.14378321],[130957040.96364014],[293774667.8158864],[7921301701.652413],[25077269602.861595],[26117052086.559273],[293814962.4646129],[104460666.039042],[66612283.038695686],[54474544.70151263],[0.8341422157222108],[0.03708666566185755],[0.6164621814125878],[0.9601876015619395]
9,"[[1978710, 1978808, 1977006, 1976442, 1974639, 1974921, 1974815]]","[[2064384, 2064384, 2062336, 2062336, 2062336, 2062336, 2062336]]",[24733302.14827465],[32320244.52190954],[70404234.28236645],[81321497.13173306],[81254746.02785233],[132246970.4926719],[309181416.7777191],[6819517425.763348],[21309387053.523144],[25915212433.97262],[308555244.2932185],[104636220.00118755],[65964251.49264375],[55800925.36996889],[0.8657518216655348],[0.04533772662705831],[0.6144166911736918],[0.8222732924847017]
10,"[[1988293, 1988321, 1987415, 1986252, 1984347, 1984684, 1984289]]","[[2064384, 2064384, 2062336, 2068480, 2068480, 2068480, 2068480]]",[26097476.35912324],[32913197.67071833],[73218662.00059922],[82541308.73358984],[82268439.87499619],[134453436.97075978],[329549714.62656516],[5755442649.699151],[17548513561.38988],[26092285262.49391],[329550201.125477],[106697094.53908592],[67019187.52167696],[58228757.70431085],[0.8870547744393007],[0.05725879566253543],[0.6118730895134163],[0.6725556379921545]
11,"[[1912407, 1960309, 1957808, 1961608, 1961211, 1950165, 1953311]]","[[2064384, 2064384, 2062336, 2064384, 2064384, 2062336, 2064384]]",[25939084.76857266],[32441460.556892674],[72878468.98322763],[79801698.59101462],[79732459.93985403],[131469242.03296849],[339351474.93975776],[4820812648.959571],[14271414039.877937],[26004910411.886295],[339917266.3181677],[105029741.87718207],[65837744.76040375],[59274033.245818265],[0.9132445833857661],[0.07039300210370064],[0.6064723482611967],[0.5487968931188771]
12,"[[1743037, 1743016, 1742506, 1741621, 1739616, 1740315, 1740225, 1740266]]","[[1812480, 1812480, 1812480, 1812480, 1808384, 1808384, 1808384, 1808384]]",[24066584.582832076],[32004643.095353782],[69218824.0991323],[80777812.81907873],[80861990.5808169],[127691530.27125527],[288920646.89257354],[11058199997.209984],[35421003707.106926],[29386394488.959194],[289081385.17082083],[101339384.55046836],[65863306.553155735],[55142393.49613851],[0.8569039156106448],[0.0261272763167124],[0.6332604081808846],[1.2053538490547047]
13,"[[1737009, 1736838, 1735802, 1734683, 1732822, 1733352, 1733417, 1733518]]","[[1806336, 1806336, 1808384, 1806336, 1806336, 1806336, 1808384, 1806336]]",[24917495.249148037],[31705508.322525512],[71516780.78615378],[81130899.535676],[80981538.56104325],[129396435.32768382],[305104477.39147836],[9983032421.291504],[31748993980.799206],[29215177619.25023],[304329524.31819504],[101743717.32637441],[65354814.59056447],[56463119.196256086],[0.8814986792387952],[0.03056230456997825],[0.6258405678329965],[1.0867294525664433]
14,"[[1744542, 1744353, 1743222, 1742421, 1739982, 1741015, 1741224, 1741140]]","[[1808384, 1810432, 1808384, 1808384, 1808384, 1810432, 1810432, 1808384]]",[25930676.226757646],[31903557.285807222],[72708397.48176165],[80848998.46661724],[80849160.57890676],[130230248.04877679],[321790036.65037745],[8986221216.400381],[28178757663.01575],[29212472744.16594],[322007043.03650695],[103245794.84333631],[65848451.359910436],[58199530.50431941],[0.8993110472702162],[0.0358092716505901],[0.6208170666205388],[0.9646139137140785]
15,"[[1733681, 1733214, 1733220, 1730931, 1730169, 1729879, 1730036, 1730169]]","[[1808384, 1806336, 1806336, 1806336, 1808384, 1806336, 1808384, 1808384]]",[26544036.53224909],[31869239.341672488],[74181857.34119031],[80699336.33810696],[80751307.81809525],[130299824.29471664],[337953792.5992141],[8065478358.045417],[24873394409.936867],[29134939247.623695],[338943113.9457706],[103334861.67291656],[66009614.257215396],[59520581.58045378],[0.9192375143011053],[0.041901270773617647],[0.619734587173726],[0.853730780027818]
