,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[4996608]],[[8763392]],[3137549.884042469],[12478310.313663054],[2525910.9928732505],[9412971.320864951],[9175409.233320246],[36215090.276385844],[90050112.29076776],[1876586122.027949],[6266662659.919985],[6506831599.787441],[87069383.14759046],[32214677.71844144],[7850282.151873551],[1660711.8569009425],[0.268343640575455],[0.04798613356122144],[0.2533587287314619],[0.9630897255931286]
1,[[4744048]],[[8765440]],[2890612.3156256066],[12183677.431025887],[1847599.4010558408],[8649213.433461856],[8643058.169535909],[37447222.357212186],[90600800.44395556],[1973359142.3811455],[6620377178.688246],[6578546303.381751],[87766091.87364927],[33498734.793768484],[7582450.519341222],[1338205.1641653567],[0.2136147310121745],[0.04591196731408581],[0.23080638897830805],[1.006358680683754]
2,[[4566272]],[[8767488]],[2749442.2818009173],[11540352.396976601],[1717144.4035100283],[8410029.456393821],[8327229.725309157],[34519021.65253747],[84952029.19126952],[1994394854.1710343],[6736692032.983276],[6535250636.784142],[82211819.41848215],[30876967.468006212],[7208477.726626119],[1239269.018562841],[0.20417816755737397],[0.04259539128553339],[0.2412359715501099],[1.0308238210582632]
3,"[[4204611, 4199808]]","[[4421632, 4421632]]",[7055287.148467214],[20721154.06285783],[5668019.497750515],[15288307.748935811],[15176223.90484139],[55334735.66039831],[138309285.3221913],[3437210964.37063],[11437340665.527102],[9868908375.78222],[136660084.98281756],[51276356.677973755],[14019804.729860751],[4961876.439294532],[0.3707421116078105],[0.04023881186109169],[0.2742621560168152],[1.1589266239003424]
4,"[[4209219, 4218816]]","[[4421632, 4419584]]",[7066738.866328455],[20778650.7735293],[5710467.0405553],[15296413.746631643],[15286518.249472965],[57141144.816267855],[140612706.12412155],[3262288454.307703],[10912683933.837177],[9849431660.842966],[138712503.4797668],[52445962.962428756],[14112148.402526159],[5081878.401865833],[0.3733206446388636],[0.04310247487111352],[0.2675220858564415],[1.1079506218842288]
5,"[[4035227, 4146312]]","[[4419584, 4421632]]",[6647094.718586534],[20155170.72683885],[6504827.168539283],[16247843.758309834],[16064886.324179094],[55531588.08974108],[136345714.43048564],[3106622920.4076567],[10451447955.176647],[9847237289.804754],[135115197.84469295],[51311895.28086965],[14114006.462239953],[5099217.772673427],[0.40035017970999626],[0.04388872351865417],[0.28929275889278816],[1.0613583939931515]
6,"[[2794947, 2790079, 2790656]]","[[2947072, 2947072, 2945024]]",[9206117.683511633],[20995777.040626865],[8585984.826202909],[16745923.99922911],[16573675.801635515],[57044147.48523288],[138564867.6919983],[6245384652.642031],[20897420248.32487],[13133353065.233063],[137896259.60135734],[52748279.578864776],[15208126.038220273],[7310616.03010504],[0.5127208762322198],[0.022186762769428492],[0.2905412129425893],[1.5911717399606837]
7,"[[2806915, 2802689, 2802947]]","[[2945024, 2949120, 2947072]]",[9228494.779483927],[20803372.975135762],[8561572.767229322],[16719172.584776452],[16536958.668259276],[56473562.56145351],[136798848.53220707],[6033950905.647632],[20223469657.257275],[12996722905.549],[136341968.53683534],[52281278.3589915],[15256694.291479],[7463869.311867378],[0.5120811286453861],[0.022671521640019753],[0.29282655313739164],[1.5560437661268278]
8,"[[2816451, 2812478, 2810308]]","[[2945024, 2945024, 2947072]]",[9211886.938847778],[20917278.430259433],[8767607.432441447],[16893652.777340658],[16751151.468195066],[57075056.83765459],[138382949.31779104],[5907089825.145415],[19869038002.08234],[13055891577.55913],[138019190.4993413],[52839853.46430585],[15219722.934161348],[7331549.364317271],[0.5189882583712967],[0.0234265862571989],[0.29349338215890647],[1.5218445928452606]
9,"[[2108808, 2106883, 2106634, 2106725]]","[[2211840, 2213888, 2211840, 2209792]]",[10074844.04276315],[20866385.40093872],[8896514.771466658],[16414826.89738198],[16447229.510480793],[57514493.06982221],[137159310.6128499],[9299954253.44187],[31173160536.708965],[16364038419.820412],[136773745.81852275],[52555693.53721398],[14588419.510034844],[7411839.578505101],[0.5419804197195386],[0.014748385516207014],[0.28596669522087187],[1.9049796717020344]
10,"[[2096891, 2096645, 2096719, 2096898]]","[[2209792, 2207744, 2207744, 2209792]]",[9935347.220148524],[20658516.39478865],[8786310.880998587],[16512556.43285165],[16165086.580521472],[59791365.38556477],[140266261.49873897],[9137538290.667742],[30673102442.41516],[16312826951.331419],[139905005.84368837],[54482573.834318206],[14427331.078985186],[7374754.571061202],[0.532098764762933],[0.015350552527040493],[0.2703582110273092],[1.8803057577896813]
11,"[[2109877, 2107811, 2107721, 2108328]]","[[2209792, 2207744, 2207744, 2207744]]",[10018748.147588473],[20716047.701858897],[9274428.623903524],[16377243.438161511],[16370160.794426002],[59005616.42770214],[138905932.5696831],[8915300334.86268],[30003367508.17642],[16267986810.774778],[138636406.9488599],[53597663.38047532],[14411949.384327631],[7399151.772243121],[0.5662997352956646],[0.015580622901339715],[0.2774339424872187],[1.8443196356849936]
