,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694902655,[[2841369]],[[13025280]],[1322146.5592200554],[8334348.272103498],[6688323.718192858],[13760236.270018166],[13470110.37382147],[33771573.65921848],[77268832.2059608],[1399336416.9023094],[4423946006.512941],[6567761065.75736],[75038206.04362358],[27085327.338546347],[10073682.140776092],[3917585.672291768],[0.4860616915979763],[0.05521819576239549],[0.39885942271288244],[0.6735851018664905]
1,1694902670,[[2632476]],[[13025280]],[1368670.052451731],[7819799.851695182],[6848790.084502593],[12657259.064338539],[12622593.168496229],[32344707.12790074],[76542368.86123501],[1377744639.2980497],[4349323653.659191],[6545065175.075776],[74253310.7183233],[25867691.77686242],[9440332.077615079],[3942487.2249016254],[0.541095828859098],[0.05555628138769805],[0.39025220165335506],[0.6645195330096673]
2,1694902685,[[2445212]],[[13023232]],[1301992.1756811647],[7353130.549220469],[6698283.157405327],[12131934.780924143],[11897795.454213826],[30418154.536226433],[74840145.20653284],[1361598833.7357144],[4290412895.5772524],[6520920029.266171],[72799912.93502161],[24393544.263742976],[8709081.389304778],[3853897.618259019],[0.5521199444574568],[0.05496490107971058],[0.39114126532706556],[0.6579459457134413]
3,1694902701,[[2276072]],[[13035520]],[1420619.222634714],[7005094.998280691],[6881873.521570897],[11510363.690788865],[11219072.127179142],[29049932.759163275],[73833832.71200326],[1352540824.5950642],[4257310449.883374],[6532238220.644851],[71705837.06971124],[23143513.01852029],[8293678.707722884],[3993205.3372380896],[0.5978849762217414],[0.0545889864242052],[0.3861995902086998],[0.6517383944186745]
4,1694902716,"[[2668423, 2728964]]","[[6612992, 6615040]]",[3405347.2284299606],[14289705.65681355],[16478568.709036708],[24628551.01568322],[24558690.138590734],[56379040.547884315],[128504866.96899584],[2019294157.588045],[6217790306.412194],[9802628636.400192],[127538915.25979498],[45779040.28569833],[19057020.398785517],[11534865.826517966],[0.6690839708167694],[0.06363850778555664],[0.4355996466050596],[0.6342982619298272]
5,1694902732,"[[2469075, 2532786]]","[[6615040, 6615040]]",[3483344.6330710673],[13439659.558219936],[16534138.060719455],[23405961.156265445],[23377672.140895467],[52296331.02503746],[125508542.86918834],[2003391509.1407075],[6158530344.561722],[9843646841.962164],[124352026.28051463],[41986522.94302371],[17924041.76554519],[11463348.242717268],[0.7064071392040869],[0.06264803574166156],[0.44702317892440946],[0.6256350358191155]
6,1694902748,"[[2302793, 2356257]]","[[6610944, 6610944]]",[3399350.8441481427],[12521563.416172124],[16223672.644242024],[22046143.765032534],[21829900.735976044],[49768365.61076478],[123823279.3515958],[1970711683.001566],[6037433169.624842],[9775553972.04048],[122822278.27343518],[39997842.64178684],[16561660.320713976],[11139988.383773923],[0.7358961647512454],[0.06283175789722936],[0.4386300507978564],[0.6176052208286904]
7,1694902766,"[[2158713, 2207548]]","[[6615040, 6610944]]",[3478812.496595689],[11924294.827553494],[15706638.278586566],[20521777.190616127],[20504408.177200608],[47918871.52511164],[123908206.11732914],[1962707184.5247278],[6004215391.354123],[9820534141.54792],[122801055.26344684],[38621634.24973164],[15827105.369310847],[11203167.532967824],[0.765364428855053],[0.063131274544824],[0.4278983941943495],[0.6113939735672803]
8,1694902782,"[[2555897, 2611720, 2604976]]","[[4413440, 4411392, 4399104]]",[6621945.714628938],[20014155.56199593],[27140038.406830076],[35549266.39857251],[35382422.23773747],[77245313.41677375],[177045093.51282218],[2635579590.983673],[8015142546.197346],[13178069334.46211],[176127230.15477073],[62631595.50431923],[27643810.30636193],[19952047.24307584],[0.7634486209234373],[0.06717501308573418],[0.45805267235868585],[0.6082182710358687]
9,1694902798,"[[2376551, 2431144, 2424184]]","[[4407296, 4407296, 4407296]]",[6590087.355354694],[18724735.942046244],[26560042.276969574],[33473922.74467961],[33412208.04660581],[74855099.7620878],[176547868.54419374],[2607618513.877807],[7903806780.075445],[13190545995.833792],[175648164.21869686],[60562228.69280854],[25934524.728257336],[19538613.43298426],[0.7934547283135814],[0.06770463839116106],[0.4463584732743652],[0.5992023971238073]
10,1694902815,"[[2225904, 2275767, 2270700]]","[[4409344, 4411392, 4403200]]",[6471245.4102633335],[17444048.59320054],[26030361.644848254],[31713469.737357847],[31681400.57492983],[69399467.37547214],[171584295.02637088],[2569374195.8059196],[7771482654.381668],[13079115079.892353],[171145711.6786886],[55712751.558436655],[24113028.438895028],[18943051.846745096],[0.8207982873026661],[0.06678057844063896],[0.4565078346138286],[0.5941902496392463]
11,1694902836,"[[2090043, 2136215, 2130448]]","[[4409344, 4409344, 4407296]]",[6367169.952296361],[16521883.047931237],[25210000.716813847],[29711732.04149558],[29634043.652402945],[65600619.75270015],[170571329.05015692],[2557308686.231852],[7704638421.025147],[13115101680.629515],[169783304.79653555],[52481763.88133067],[22765643.981303208],[18480576.60994737],[0.8484864053568271],[0.0666995462724098],[0.4517342025748651],[0.5874631099814188]
12,1694902852,"[[2476900, 2535817, 2530417, 2540060]]","[[3307520, 3307520, 3303424, 3305472]]",[10607106.101712786],[25209569.659520663],[37530095.27631384],[45491993.89154416],[45648821.361923985],[97659297.6773022],[222061768.90556908],[3197884899.407304],[9647759440.081076],[16372890447.25617],[221495656.7720406],[78855019.16335995],[35764135.88914447],[28150331.652758162],[0.8249824214297575],[0.06944020059844118],[0.46742934311039597],[0.5892520609699604]
13,1694902869,"[[2315297, 2369748, 2363532, 2373204]]","[[3307520, 3307520, 3303424, 3307520]]",[10378363.512848636],[23508196.398055095],[36577764.386648834],[43258989.91269923],[43204678.344127506],[92640199.37930661],[218660398.44582072],[3152389572.286996],[9485324066.316593],[16285078530.090015],[218389294.88095754],[74618732.35149722],[33309079.635598693],[27251059.403480466],[0.8455529003443274],[0.06936338083595009],[0.4663707400631771],[0.5824549171679164]
14,1694902888,"[[2169868, 2221763, 2216628, 2223200]]","[[3307520, 3307520, 3305472, 3307520]]",[10227417.345535774],[22301911.542703267],[35927498.71094742],[41114649.02010699],[41005401.25350589],[88162862.59453495],[218188331.83488306],[3157048347.6303983],[9465589106.70008],[16385085482.590878],[217628891.9503018],[70559161.09026782],[31595298.16058863],[26772178.25114426],[0.8738369308072454],[0.06911149523530413],[0.4651096850392848],[0.5776954363013395]
15,1694902910,"[[2040704, 2090104, 2084995, 2090312]]","[[3317760, 3309568, 3307520, 3307520]]",[9910142.692825833],[21019924.930582687],[34196641.169061266],[38703135.487269655],[38473246.21794834],[83708743.44894023],[217110596.14835918],[3137852989.4498134],[9373220486.849365],[16364766533.307775],[216640650.31412247],[66822608.53145781],[29642035.49422447],[25771661.293416597],[0.883562552194494],[0.0691908119591119],[0.4596084546582143],[0.572768359864574]
16,1694902927,"[[2357347, 2395998, 2394607, 2399551, 2398061]]","[[2646016, 2646016, 2646016, 2646016, 2643968]]",[19000865.2848396],[28724832.447499078],[56368482.1246685],[70248605.32497424],[70288286.12671876],[114820500.18071684],[258442677.13514787],[3769408186.8221326],[11406804770.492737],[19510109922.98826],[257171237.32536495],[92459471.4653848],[58158958.85328836],[44887148.1608591],[0.8024142524097744],[0.06856319727819996],[0.6121579858656904],[0.5846612251554971]
17,1694902944,"[[2255939, 2306448, 2303506, 2309260, 2306931]]","[[2648064, 2650112, 2646016, 2650112, 2648064]]",[15609807.564051189],[28320588.19462038],[47572555.84044454],[54516842.15863613],[54369189.504055806],[112266205.06657675],[264605279.3836981],[3716716455.1975265],[11116080583.245695],[19614113777.1288],[264057862.26995233],[90098759.81670865],[42997391.1217862],[36392853.00390675],[0.8726212663238139],[0.07119329186752169],[0.48428812100501195],[0.5667388651639053]
18,1694902964,"[[2128832, 2179352, 2176734, 2179732, 2178332]]","[[2648064, 2648064, 2648064, 2648064, 2648064]]",[14643973.058541268],[26996121.13358979],[45339789.46441552],[50311172.012224786],[50088502.35518571],[106986109.14915921],[264229226.5612513],[3717430848.1141725],[11081970732.640976],[19613697644.307377],[263902200.2442132],[85402973.14388819],[38949136.06145858],[34375574.47984724],[0.9011873039530603],[0.07107845104779636],[0.4681776237450855],[0.5650118062188735]
19,1694902989,"[[2009571, 2049436, 2053136, 2058376, 2055887]]","[[2648064, 2646016, 2646016, 2648064, 2646016]]",[14034804.20145508],[25549915.33147052],[43711377.636993885],[47494379.2615235],[47247625.47074931],[102957200.23001444],[264594126.17958003],[3697825106.9414077],[10982030229.162754],[19609881176.358795],[264110756.38689092],[82163285.6227379],[36543906.24092873],[33013115.72548847],[0.9203484352601208],[0.07155398606680848],[0.4589055002000289],[0.560025332657417]
20,1694903006,"[[2038069, 2038294, 2037631, 2038523, 2037204, 2038181]]","[[2207744, 2207744, 2205696, 2207744, 2205696, 2207744]]",[20406468.939379357],[28965370.566727426],[59334296.62504771],[72151327.77637649],[72148724.30540547],[117271812.94273722],[262370851.93542138],[6743909822.278571],[21360391620.25462],[22806562762.869736],[261889779.08220512],[93738446.70870069],[59148042.89107343],[46730673.09696799],[0.8223590397247648],[0.03890485769377828],[0.6152264768059401],[0.9365896931663215]
21,1694903024,"[[2038565, 2038604, 2037996, 2038617, 2037716, 2038711]]","[[2207744, 2207744, 2207744, 2205696, 2205696, 2205696]]",[21429355.510402698],[28968426.416197456],[61557261.55665928],[72827202.68863635],[72881522.08861168],[118764718.14403619],[277059529.3736067],[5809773500.508394],[18078658147.425407],[22793072482.22535],[276566927.89725244],[94403782.24341619],[59373860.3328778],[48724320.94833698],[0.8452509403641343],[0.04768852509471533],[0.613663074586023],[0.7931645968977473]
22,1694903045,"[[2040558, 2040415, 2039553, 2040520, 2039237, 2040315]]","[[2207744, 2205696, 2211840, 2211840, 2209792, 2211840]]",[22560387.923394542],[29217432.148457024],[63427569.88775477],[73058315.96931008],[72884431.3008696],[119636582.8339604],[294147548.27632564],[4769337976.249015],[14441511715.46865],[22811693325.465958],[293695007.5550743],[95569711.80235797],[59901420.28655769],[50825460.19391824],[0.8681772779213671],[0.06167471245299889],[0.6092152548524681],[0.6330749545605538]
23,1694903072,"[[1957553, 1981590, 1975750, 1984100, 1981456, 1972818]]","[[2207744, 2205696, 2207744, 2207744, 2205696, 2205696]]",[22021868.636451963],[28995013.326979175],[61979126.095260024],[71050079.28100795],[70991863.083181],[118521114.06244174],[304722349.77466685],[4248500566.265888],[12611751779.902788],[22946659204.206486],[304141876.8495569],[94501298.22458647],[58392893.65221714],[50410495.982171215],[0.8723301468831347],[0.07172468145449604],[0.5989807271452038],[0.5496116740859103]
24,1694903090,"[[1746228, 1746358, 1745814, 1746330, 1745877, 1746304, 1746463]]","[[1892352, 1892352, 1892352, 1894400, 1892352, 1892352, 1892352]]",[20992543.04571096],[28874824.860924475],[60453142.15926045],[71854657.31878443],[72087536.06933361],[116888161.93493682],[262132514.1222791],[9791137217.248959],[31622951218.731945],[26124561720.57235],[261199199.73866853],[93437424.2580385],[58947584.301346466],[47704072.392159946],[0.8413253143920656],[0.026772427789131848],[0.6167222999832911],[1.2104682006523297]
25,1694903109,"[[1751186, 1751077, 1750592, 1751060, 1750549, 1751064, 1751157]]","[[1900544, 1902592, 1900544, 1900544, 1900544, 1896448, 1896448]]",[22158018.823649697],[28989063.376459412],[62721191.3343044],[73173459.97921185],[73017005.13381954],[119621825.85709405],[279630285.5052165],[8928339198.011694],[28575349356.092846],[26202275872.567432],[279219131.33835685],[95379708.61125481],[59272093.31054169],[49980392.04776379],[0.857157654593935],[0.03131940658879639],[0.6103986844428302],[1.0905674566234878]
26,1694903131,"[[1748341, 1748933, 1748528, 1748533, 1748199, 1748827, 1747888]]","[[1892352, 1892352, 1892352, 1892352, 1892352, 1892352, 1894400]]",[22794654.204999838],[28898717.212833054],[63866670.320311464],[72933436.5365775],[73090604.50074391],[119637185.30064538],[293554238.3354774],[8015360160.199652],[25389271117.19922],[26140990988.21907],[292100895.619128],[94788719.0128961],[59301857.932638034],[51108958.9038937],[0.875684368558187],[0.036623961053319075],[0.6109355073597642],[0.97124363527922]
27,1694903162,"[[1730852, 1731054, 1730114, 1731258, 1730663, 1730607, 1730943]]","[[1892352, 1892352, 1892352, 1894400, 1892352, 1892352, 1892352]]",[23142460.75731031],[28611390.562368315],[64470777.01463606],[71928832.43635236],[71894477.1791273],[118022856.88803625],[303846233.3120647],[7261549779.405267],[22714717991.69549],[25928950406.86396],[303942787.67602026],[93928716.59299468],[58847164.17525976],[51855013.64988684],[0.8963134091142699],[0.04184316606543324],[0.609157235088207],[0.8760369253389605]
