,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[4761564, 4908383]]","[[6610944, 6615040]]",[6876272.100987395],[23099908.352359846],[5659229.2716675475],[16987198.11249437],[16800704.29950461],[62923480.4768748],[156403959.91797042],[2977062002.941113],[9876907988.146723],[9800271364.9783],[154768688.97700515],[57833314.616072334],[15099506.843472932],[4610453.056188088],[0.3331467163796182],[0.052536346157203005],[0.267002145656566],[1.007819847054673]
1,"[[4543844, 4703444]]","[[6606848, 6608896]]",[6236280.100091341],[22078315.113436107],[5088674.489392721],[15887804.526315264],[15797670.903560149],[60661527.314556666],[150372502.3376004],[3110946803.465866],[10381798404.065092],[9795451868.121084],[148976094.52922153],[55658884.32461792],[14256958.428322503],[3865797.3572651483],[0.3202880851765425],[0.048336571416159324],[0.26042323038855064],[1.0598590594735349]
2,"[[4302903, 4442583]]","[[6602752, 6602752]]",[5959576.07180671],[21062448.66384581],[4604165.115527218],[15056974.35977535],[14787059.936145563],[59129384.39467594],[145223907.96911833],[3178692715.330209],[10690646968.84815],[9819411474.241964],[143696364.43603736],[53710532.385536216],[13565788.235955145],[3698722.520065775],[0.305782888747372],[0.04568667718925205],[0.25007972072641776],[1.0887258362572532]
3,"[[4120451, 4118019, 4110147]]","[[4407296, 4407296, 4388864]]",[11150856.59518563],[29900384.523594514],[9306161.007620316],[22721981.148016345],[22496380.911515124],[79265855.9959915],[194987212.02026263],[4734748763.107996],[15722032014.97501],[13152166734.547558],[193938771.8484895],[73891928.62418649],[20492556.83447306],[8017562.102106548],[0.4095664434803369],[0.0411821665258261],[0.2838092218754665],[1.195394822183712]
4,"[[4148995, 4149763, 4149507]]","[[4395008, 4395008, 4392960]]",[10754942.105577214],[29761899.14196612],[8891837.868649043],[21871845.98872903],[21937925.96961163],[79666343.12433454],[195887650.03416893],[4599727924.920551],[15340382403.524483],[13107391391.672726],[194225148.13915086],[73913822.77129874],[20132340.629513722],[7397258.459079187],[0.4065426335404507],[0.04258679061708903],[0.27537257402882553],[1.1703612065227869]
5,"[[3985208, 4168003, 4162499]]","[[4399104, 4397056, 4390912]]",[10403089.19038353],[29220629.64165079],[8822799.172672976],[21869575.3067158],[21877429.328547165],[79459354.89207299],[193291342.80843544],[4312859954.32659],[14494162851.7225],[13050236969.76398],[192776218.72571024],[73631797.12209754],[19703507.36364904],[7282674.719171813],[0.4034280066684072],[0.044817440133786114],[0.27532855455801963],[1.110643652318647]
6,"[[3114503, 3112707, 3109824, 3109880]]","[[3295232, 3297280, 3293184, 3297280]]",[12607852.520303002],[29823630.137642734],[10430921.012074094],[22125324.86132671],[22163363.16075847],[78830382.54117468],[192821182.86265695],[7677656613.088096],[25634242201.92758],[16306558762.09088],[192242673.56539762],[73095841.42249508],[20296513.611227106],[8864204.184989473],[0.47144713478564587],[0.025114588028586068],[0.2811525511649281],[1.5720203493530156]
7,"[[3099143, 3098435, 3093243, 3095619]]","[[3297280, 3295232, 3293184, 3297280]]",[12605512.789186373],[29759226.6468463],[10765737.48964428],[22793749.80599499],[22473729.040428665],[79185591.07389593],[192650744.77895856],[7488235967.47763],[25069662405.206184],[16343980030.488682],[192223811.4026233],[73288819.3563741],[20216387.017747305],[8921201.483991262],[0.47231094406470936],[0.02572711992726531],[0.28381083901307497],[1.533877449583289]
8,"[[3111239, 3109763, 3106562, 3108035]]","[[3303424, 3301376, 3297280, 3299328]]",[12799259.877472691],[29867778.27554059],[10459723.702709777],[22357064.475769192],[22302885.32272688],[79303934.68401851],[194259775.63818622],[7304216088.786143],[24535680711.251675],[16408201967.032795],[193690371.24601895],[73717840.57797125],[20443890.466049213],[9149077.592521358],[0.46784870679449575],[0.02659556799482221],[0.2812330234507444],[1.495330247674214]
9,"[[2487838, 2486507, 2484286, 2485512, 2484922]]","[[2633728, 2633728, 2633728, 2633728, 2633728]]",[15814979.608767703],[30687235.06300461],[14781744.969379518],[25002334.806286912],[24703684.017788436],[80508470.15923125],[194096544.55927953],[10359270372.738264],[34663436614.42704],[19689398946.159157],[193936225.1965886],[74507371.42670473],[22834410.54843684],[13009221.20679373],[0.5912145839140832],[0.018736507261174422],[0.3068457762137201],[1.7605126854920523]
10,"[[2479105, 2477694, 2474976, 2476085, 2474920]]","[[2633728, 2635776, 2633728, 2635776, 2633728]]",[15633825.672275063],[30413142.189333785],[14320346.643438518],[24860802.918591265],[24646910.00899857],[81449803.1465399],[194880668.63256028],[10114431668.57648],[33911774305.361885],[19572162073.61841],[194690234.7946918],[75259714.19879659],[22639564.906765603],[12834632.588240087],[0.5760210838858127],[0.019267584676854913],[0.3026024503049472],[1.7326534584072366]
11,"[[2477547, 2476224, 2473674, 2474298, 2473036]]","[[2635776, 2635776, 2631680, 2635776, 2633728]]",[15588788.74513249],[30315732.785807688],[14444949.763696807],[24859083.211377446],[24639587.699500687],[81012526.086661],[193835714.8258982],[9901457250.037773],[33290509236.575058],[19556222738.476387],[193942643.24569643],[74621243.21161644],[22500670.74010831],[12770242.715245873],[0.5810733099395105],[0.019576483534800772],[0.3041454067626918],[1.7022975081520626]
