# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626025147
#
# Overhead  Command       Shared Object                Symbol                                     
# ........  ............  ...........................  ...........................................
#
    24.66%  rte-worker-2  nflr                         [.] write_variable
    21.03%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    19.42%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    16.08%  rte-worker-2  nflr                         [.] read_variable
     3.26%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.59%  rte-worker-2  nflr                         [.] handlerInitialUEMessage
     1.20%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.05%  rte-worker-2  nflr                         [.] DeRegistered
     0.90%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.87%  rte-worker-2  nflr                         [.] HandleNAS
     0.60%  rte-worker-2  nflr                         [.] Authentication
     0.51%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.47%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.36%  rte-worker-2  nflr                         [.] SendDownlinkNasTransport
     0.35%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.35%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.33%  rte-worker-2  nflr                         [.] NewAmfUe
     0.32%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.30%  rte-worker-2  nflr                         [.] handleInitialUEMessageMain
     0.30%  rte-worker-2  nflr                         [.] TmsiAllocate
     0.29%  rte-worker-2  nflr                         [.] Decode
     0.28%  rte-worker-2  nflr                         [.] AuthenticationProcedure
     0.28%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.24%  rte-worker-2  nflr                         [.] send_packet
     0.23%  rte-worker-2  nflr                         [.] BuildAuthenticationRequest
     0.23%  rte-worker-2  nflr                         [.] UpdateLocation
