# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627536727
#
# Overhead  Command       Shared Object            Symbol                                   
# ........  ............  .......................  .........................................
#
     0.13%  rte-worker-2  nflr                     [.] SearchUdmSdmInstance
     0.13%  rte-worker-2  nflr                     [.] send_packet
     0.12%  rte-worker-2  nflr                     [.] AddAmfUeToUePool
     0.12%  rte-worker-2  nflr                     [.] NasSendToRan
     0.12%  rte-worker-2  nflr                     [.] GetNgapIEMobilityRestrictionList
     0.12%  rte-worker-2  nflr                     [.] HandleAMFStatusChangeSubscribeRequest
     0.12%  rte-worker-2  nflr                     [.] getSubscribedNssai
     0.12%  rte-worker-2  nflr                     [.] dispatchMain
     0.12%  rte-worker-2  nflr                     [.] StopT3560
     0.12%  rte-worker-2  nflr                     [.] GetBearerType
     0.11%  rte-worker-2  nflr                     [.] SendSearchNFInstances
     0.10%  rte-worker-2  nflr                     [.] GetNgapIERedirectionVoiceFallback
     0.10%  rte-worker-2  nflr                     [.] communicateWithUDM
     0.09%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.09%  rte-worker-2  nflr                     [.] DerivateNH
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] ktime_get_update_offsets_now
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_advance
     0.08%  rte-worker-2  nflr                     [.] SDMGetUeContextInSmfData
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_run_queues
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] __update_load_avg_se
     0.06%  rte-worker-2  nflr                     [.] InAllowedNssai
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] update_cfs_group
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] update_curr
     0.04%  rte-worker-2  nflr                     [.] HTTPAMFStatusChangeSubscribe
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_load_avg
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_process_times
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] scheduler_tick
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] decay_load
