# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5625861863
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    20.37%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    20.36%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    14.97%  rte-worker-2  nflr                         [.] write_variable
     9.56%  rte-worker-2  nflr                         [.] read_variable
     7.28%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     3.74%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     2.91%  rte-worker-2  nflr                         [.] UpdateLocation
     2.31%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     2.06%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.98%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     1.71%  rte-worker-2  nflr                         [.] HandleNAS
     1.17%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     1.16%  rte-worker-2  nflr                         [.] Dispatch
     0.83%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.77%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.72%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.62%  rte-worker-2  nflr                         [.] Registered
     0.60%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.59%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.54%  rte-worker-2  nflr                         [.] Stop
     0.53%  rte-worker-2  nflr                         [.] HandleRegistrationComplete
     0.51%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.50%  rte-worker-2  nflr                         [.] Decode
     0.48%  rte-worker-2  nflr                         [.] ranUeFind
     0.48%  rte-worker-2  nflr                         [.] send_packet
     0.45%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.42%  rte-worker-2  nflr                         [.] ContextSetup
     0.27%  rte-worker-2  nflr                         [.] ClearRegistrationRequestData
     0.27%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.23%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.23%  rte-worker-2  nflr                         [.] StopT3550
     0.22%  rte-worker-2  nflr                         [.] GetBearerType
     0.16%  rte-worker-2  nflr                         [.] dispatchMain
     0.11%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.06%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.05%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] arch_scale_freq_tick
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mp_enqueue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_program_event
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __next_base
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_rq_clock
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] second_overflow
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] rcu_stall_kick_kthreads
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] change_pte_range
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] ksoftirqd_running
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] pvclock_gtod_notify
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] perf_pmu_enable.part.0
     0.00%  perf          [kernel.kallsyms]            [k] _copy_from_user
     0.00%  perf          [kernel.kallsyms]            [k] native_set_fixmap
     0.00%  perf          [kernel.kallsyms]            [k] intel_pmu_handle_irq
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
