,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,l2_rqsts.all_demand_miss,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694320933,[[745788]],[[29433856]],[3292623.590171617],[6007134.163157506],[1002868.5332868369],[2649674.857920039],[2684528.722139796],[17227311.668745812],[59318722.49738832],[1831203472.7732003],[6753942256.111057],[6559272237.208258],[58444040.808555625],[12324463.978988182],[0.37848739451529384],[0.03239329947728595],[0.15582981104417643],[1.0296786002871645]
1,1694320947,[[969637]],[[29429760]],[210160.7889953839],[3268349.268285026],[1162826.4200004449],[3183318.5081383125],[2759978.287286333],[15593457.596140731],[41896732.36254498],[2225383465.422238],[8295094683.826605],[6542962364.655742],[41811149.94691174],[9677442.808082195],[0.3652874875786451],[0.018826747395912558],[0.176995914489767],[1.2677888426556847]
2,1694320962,[[609893]],[[29386752]],[1151751.74543402],[3825907.2396445265],[847363.779398161],[2371418.180473687],[2314548.744178811],[14886647.450166635],[40193593.49208353],[1957344681.9375517],[7184392368.352591],[6575263470.051664],[40162540.37746656],[9687195.967491588],[0.35732364134481814],[0.020534754998949075],[0.15547817276702572],[1.0926394662472956]
3,1694320976,[[1271895]],[[29435904]],[1317927.3152274808],[4799926.016660759],[1351338.366716544],[3341331.64421586],[3154391.6950345533],[18240392.163024038],[46409539.97658226],[2274137171.514591],[8475064935.465497],[6564181473.226043],[46290808.04220713],[11563117.367628608],[0.40443108036157677],[0.020407537662151302],[0.17293442305637322],[1.291107652954684]
4,1694320990,[[1014276]],[[29417472]],[148250.32394369715],[3277826.226600894],[1075967.0286254156],[2984001.1108720866],[2874172.0872568293],[16256859.667816577],[39543958.21194557],[2108672195.9148138],[7729144201.500217],[6560095593.66583],[39530441.36161837],[9734833.709875884],[0.3605786287093438],[0.01875301352602606],[0.1767974963176177],[1.1782060323881827]
