,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[5694621]],[[23068672]],[455736.9713824585],[9383116.83000455],[1572511.9881805333],[9283994.391613545],[9257160.691471152],[41773275.784788474],[102017984.62050298],[1803403555.3675587],[6355207550.586018],[6527544753.484158],[102133618.07166028],[38764351.573418476],[9213439.900756055],[1562244.6650438367],[0.1693788171178799],[0.05656969252215448],[0.2216048542413353],[0.9735984647510608]
1,[[1160268]],[[23089152]],[197031.23182388837],[3419424.408649766],[548790.4372110505],[2996110.9550779997],[2903416.552065414],[16108380.91297673],[37486070.76110876],[2405907162.593023],[12829633899.852966],[6592443621.660583],[37513419.01237755],[14843391.464273535],[2820449.3641286036],[536346.3068976776],[0.18316759473841432],[0.015580846735876239],[0.18024260586776006],[1.9461120391987952]
