# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627332728
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    36.47%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    13.93%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    10.74%  rte-worker-2  nflr                         [.] write_variable
     7.95%  rte-worker-2  nflr                         [.] read_variable
     5.28%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     2.22%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     2.16%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     1.79%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.74%  rte-worker-2  nflr                         [.] UpdateLocation
     1.68%  rte-worker-2  nflr                         [.] HandleNAS
     1.19%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.04%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.83%  rte-worker-2  nflr                         [.] Dispatch
     0.66%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.63%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.54%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.54%  rte-worker-2  nflr                         [.] Decode
     0.44%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.44%  rte-worker-2  nflr                         [.] ranUeFind
     0.42%  rte-worker-2  nflr                         [.] transport5GSMMessage
     0.39%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.38%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.36%  rte-worker-2  nflr                         [.] Dnn
     0.32%  rte-worker-2  nflr                         [.] CreatePDUSession
     0.32%  rte-worker-2  nflr                         [.] buildCreateSmContextRequest
     0.32%  rte-worker-2  nflr                         [.] Registered
     0.32%  rte-worker-2  nflr                         [.] HandleULNASTransport
     0.31%  rte-worker-2  nflr                         [.] SendCreateSmContextRequest
     0.30%  rte-worker-2  nflr                         [.] SetNsInstance
     0.30%  rte-worker-2  nflr                         [.] NSSelectionGetForPduSession
     0.30%  rte-worker-2  nflr                         [.] SearchNssfNSSelectionInstance
     0.29%  rte-worker-2  nflr                         [.] Snssai
     0.29%  rte-worker-2  nflr                         [.] SetDnn
     0.29%  rte-worker-2  nflr                         [.] ServingAMF
     0.29%  rte-worker-2  nflr                         [.] SetUserLocation
     0.28%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.28%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.26%  rte-worker-2  nflr                         [.] SmfUri
     0.26%  rte-worker-2  nflr                         [.] send_packet
     0.25%  rte-worker-2  nflr                         [.] SetSmfUri
     0.23%  rte-worker-2  nflr                         [.] AccessType
     0.23%  rte-worker-2  nflr                         [.] SetSmContextRef
     0.23%  rte-worker-2  nflr                         [.] SetSnssai
     0.23%  rte-worker-2  nflr                         [.] SetAccessType
     0.22%  rte-worker-2  nflr                         [.] GetNsiInformationFromSnssai
     0.22%  rte-worker-2  nflr                         [.] SetSmfID
     0.21%  rte-worker-2  nflr                         [.] NewSmContext
     0.21%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.18%  rte-worker-2  nflr                         [.] StoreSmContext
     0.18%  rte-worker-2  nflr                         [.] PduSessionID
     0.15%  rte-worker-2  nflr                         [.] GetIPv4Uri
     0.14%  rte-worker-2  nflr                         [.] dispatchMain
     0.12%  rte-worker-2  nflr                         [.] SmContextFindByPDUSessionID
     0.11%  rte-worker-2  nflr                         [.] SelectSmf
     0.08%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.06%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] __update_load_avg_se
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] sysvec_apic_timer_interrupt
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __irqentry_text_end
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __cgroup_account_cputime_field
     0.02%  rte-worker-2  nflr                         [.] cuckoo_hash_second_hash
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] intel_tfa_pmu_enable_all
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_update
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] __softirqentry_text_start
     0.01%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] irqentry_exit_to_user_mode
     0.01%  rte-worker-2  nflr                         [.] cuckoo_hash_second_test
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] note_gp_changes
     0.00%  perf          [kernel.kallsyms]            [k] alloc_cpumask_var_node
     0.00%  perf          [kernel.kallsyms]            [k] flush_tlb_one_kernel
     0.00%  perf          [kernel.kallsyms]            [k] perf_event_nmi_handler
     0.00%  perf          [kernel.kallsyms]            [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
