,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
31,31,[[2194125]],[[9521152]],[10599847.653989837],[15958528.0161877],[15878838.602234414],[27036957.841901314],[51974779.52467937],[1032415410.303731],[3447304259.6202784],[5543079225.270923],[0.6642121155057515],[0.05034289396105457],[0.5873012302303375],[0.6219114177376364]
32,32,[[1566800]],[[9525248]],[10958567.164087262],[15475281.768193906],[15402491.64189883],[24397817.6199134],[47335409.19761421],[1015627457.4733236],[3388568014.8852744],[5513874530.309384],[0.7081336112800367],[0.046607059359516693],[0.6313061226151383],[0.6145529783564265]
33,33,[[1171430]],[[9521152]],[11592138.141716272],[15136403.002276165],[15059818.446134089],[22742090.972384244],[44143572.14190096],[1004859191.2456955],[3352060282.128541],[5549417516.706192],[0.7658449725455303],[0.04393010734884897],[0.6622002552193309],[0.6040382205947493]
34,34,[[956410]],[[9523200]],[11547832.20378616],[14836130.43611215],[14762027.964636866],[22388338.1522056],[43322961.89035068],[993920707.4463285],[3314429781.192024],[5493397171.044887],[0.778358767706568],[0.04358794576446644],[0.6593623816237819],[0.6033479244249864]
35,35,[[794320]],[[9523200]],[11983574.248706155],[14737214.707367703],[14663615.26572736],[21395585.20396777],[41539240.46290977],[987388375.981433],[3292532787.733431],[5537244342.206445],[0.8131505502674873],[0.042069809077528456],[0.685357055015631],[0.5946157663003623]
36,36,[[3927412]],[[8077312]],[8280440.395811023],[16870903.30985486],[16797345.389427163],[33974887.64493307],[67472545.94003738],[1086821070.441823],[3632643381.628979],[5505642992.563373],[0.49081191704620464],[0.062082478684930095],[0.4944047369626042],[0.6598036571814941]
37,37,[[2145182]],[[8073216]],[10277054.82635308],[15841022.837852703],[15766455.472504312],[26901070.4363826],[51524523.71053793],[1028689875.2711896],[3434095341.1064396],[5539184113.415615],[0.6487620737340067],[0.050087519036730796],[0.5860902639465537],[0.6199641085749866]
38,38,[[1553387]],[[8071168]],[10703512.115282433],[15491874.547085108],[15423973.156642713],[24602848.628159698],[47646149.87966495],[1014737642.9114541],[3385685207.0722055],[5518261950.6668825],[0.690911360194068],[0.04695415629103901],[0.6269181829208543],[0.6135419516761151]
39,39,[[1166807]],[[8073216]],[11547565.853049396],[14884702.546941513],[14810833.77742111],[23093306.984833907],[44289783.77311371],[991276822.5469196],[3307069190.9328856],[5526491117.240252],[0.7758009148407318],[0.04467953125275192],[0.6413474599869063],[0.5984030591519937]
40,40,[[948624]],[[8073216]],[11840009.361775327],[14900896.541487904],[14823651.36920307],[22473748.86571065],[43101826.38942838],[990799139.1039463],[3303585691.9521112],[5539788343.336818],[0.7945836902370079],[0.04350208300383525],[0.6595985145949671],[0.5963378900433298]
41,41,[[789530]],[[8077312]],[11984386.968343358],[14629134.72250707],[14553720.488737602],[21024191.738564894],[40965582.4152689],[981479278.128935],[3272820802.9315257],[5524332984.014311],[0.8192136579277829],[0.041738611632600696],[0.6922368607417883],[0.5924372792882043]
