,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8116016]],[[31270912]],[708700.1037450078],[34956424.79444663],[34799315.36424322],[76573428.91255759],[148837600.94825128],[1734047627.4015107],[5873197521.959512],[6585349448.300316],[148808960.10699785],[0.02027381541196958],[0.08583247576151415],[0.4544567986367963],[0.8918581417840156]
1,[[8075299]],[[31252480]],[784064.3023625403],[34615717.14082908],[34459505.26789492],[76261186.51519272],[148055950.85042912],[1723480384.193947],[5837955362.589982],[6566058974.155365],[148029088.45307198],[0.022650528925132106],[0.08590521378035484],[0.45186164604231427],[0.8891110155374375]
2,[[7885800]],[[31170560]],[1215518.4295424414],[34027484.666796304],[33875248.60562547],[74095008.18020846],[144590568.9415691],[1711963641.6780245],[5800167463.361068],[6615135448.328275],[144564771.6560101],[0.0357216656313281],[0.08445890170882658],[0.4571866504587809],[0.8768025248563641]
3,[[7542670]],[[23111680]],[1827772.926175708],[32950096.04710525],[32793683.67830898],[72164826.15995757],[140505162.71713725],[1661975408.809605],[5631426619.468255],[6607411224.638748],[140480133.86560684],[0.055470943804313506],[0.08454105997740033],[0.45442752963361754],[0.8522894107860142]
4,[[6923376]],[[13015040]],[3025104.7056550193],[30457381.448085774],[30310231.27718367],[66173326.62986113],[129190701.24769545],[1561162086.999616],[5291030391.451343],[6550165236.140451],[129156551.05772966],[0.09932254717337642],[0.08275290716032309],[0.4580430336640502],[0.807770521918768]
5,[[7890043]],[[31246336]],[1059853.1661020978],[35260303.50879641],[35104096.57091324],[74245582.15557751],[145363829.86195895],[1715211181.821484],[5810175431.157776],[6614785466.000683],[145338531.5930245],[0.030057970596812804],[0.08474981471820194],[0.47281057743415017],[0.8783618850560582]
6,[[7801312]],[[31252480]],[1264748.1365750714],[34831242.868992776],[34678746.40538787],[74333977.28499636],[144826882.95328474],[1697336366.1542542],[5749954480.839936],[6607396636.334617],[144799178.72651374],[0.03631073807305816],[0.0853259765366524],[0.46652617917146566],[0.8702299555047845]
7,[[7545313]],[[31137792]],[1809888.347965054],[33749077.585160546],[33595299.081877775],[72819069.4854985],[141492324.00285986],[1669135636.4768686],[5656301281.172384],[6616917495.89758],[141466585.07986075],[0.05362778711205017],[0.08476981792894618],[0.46135304006552963],[0.8548242115273814]
8,[[7168052]],[[23103488]],[2512069.586923264],[32023660.540839583],[31873964.637257982],[67580225.42511357],[132424926.7231223],[1594719224.7659252],[5404913718.91534],[6531679666.263964],[132398519.74731277],[0.07844417360468947],[0.08303965028236227],[0.47164632015881464],[0.8274921605282706]
9,[[6613388]],[[13017088]],[3639925.048372749],[30439160.136104193],[30286447.216755234],[65889592.54947936],[127995154.51689488],[1542725606.2976496],[5230174275.338677],[6648160620.183492],[127973141.74502477],[0.11958033769977107],[0.08296689572947934],[0.459654492384542],[0.7867099750057367]
