,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8125183]],[[31246336]],[666680.144882259],[34989495.18566966],[34824937.809749484],[76651152.32012749],[148936236.25912526],[1742380411.3385217],[5902174133.380798],[6595195756.643834],[148908452.41381526],[0.019053722877239603],[0.08547859886964082],[0.4543302580019395],[0.8949202345411956]
1,[[8074412]],[[31236096]],[788898.6959256359],[34961982.224639535],[34806024.383223735],[77001218.12753381],[149621698.03502968],[1742731845.302453],[5903261701.511028],[6636753566.346101],[149594170.01780316],[0.022564472770930526],[0.08585468753459467],[0.45201913982160663],[0.8894803223439709]
2,[[7875083]],[[31150080]],[1212088.775305736],[33845878.54817548],[33688396.69560146],[74679017.2767259],[145028809.17024803],[1703910305.6056008],[5772693243.003898],[6584136473.669522],[145003285.862318],[0.0358120051036783],[0.08511528376413109],[0.4511092663521246],[0.8767578354563808]
3,[[7553229]],[[23113728]],[1778783.5271423843],[32949637.431365687],[32796930.81152296],[71557192.18961373],[140198885.30614418],[1664334240.1249783],[5639886574.824545],[6600342467.586475],[140172329.2574797],[0.05398491958667534],[0.08423721745676298],[0.4583317177205189],[0.8544839305719939]
4,[[6984472]],[[13012992]],[2904746.252901342],[30949891.771142907],[30796412.496432375],[68354943.88442014],[132584017.4408052],[1585706976.5155118],[5374328837.908335],[6608394344.929458],[132559653.7745169],[0.0938531958166546],[0.08361192793144542],[0.4505367241395933],[0.8132578894950471]
5,[[7876487]],[[31242240]],[1098797.793812422],[34902621.168746114],[34753108.66562159],[74228324.08855708],[144407576.91258615],[1695403049.2406898],[5742920454.30171],[6550145006.281504],[144379705.2936623],[0.031481813027737615],[0.0851759568187996],[0.4681920155459778],[0.8767623386649187]
6,[[7783799]],[[31209472]],[1279842.2628455535],[34632929.001196414],[34472987.81714767],[73891245.61784768],[143762637.50684384],[1688572164.21587],[5720466487.279265],[6579991503.377752],[143735552.44750172],[0.03695449099327812],[0.08513858072130637],[0.4665368343556665],[0.8693729291812519]
7,[[7533944]],[[31180800]],[1772830.349174013],[33870979.09435245],[33714843.930590756],[73432880.64767875],[142137510.96352616],[1674440459.79941],[5674161157.255739],[6632490304.757926],[142111889.7728608],[0.05234068800419205],[0.08488657218695823],[0.4591246269140675],[0.8555099060130229]
8,[[7125629]],[[23103488]],[2583967.6659465805],[32373933.02467469],[32215740.091541894],[69301847.81079696],[134836965.15627083],[1611904156.3701587],[5463965961.373689],[6611779328.456914],[134812880.86074802],[0.07981630356673494],[0.08365073358946461],[0.46486119936505943],[0.8263987180964936]
9,[[6960384]],[[13023232]],[2981058.0912073143],[31186421.277976032],[31039874.52089682],[66258632.55171197],[130333709.9471335],[1570375942.3905444],[5320629977.871666],[6610682629.0203705],[130311686.80096366],[0.0955883352128174],[0.08299522835833165],[0.46846536557589763],[0.8048533376136564]
10,[[7021300]],[[31236096]],[2792938.9445351986],[31924898.743416984],[31769664.404965486],[66908406.00708573],[131094908.16641605],[1587248440.7189188],[5379651661.409901],[6573701469.151592],[131068747.00395013],[0.08748466101591353],[0.0825925575375199],[0.4748232143148204],[0.818359593397265]
11,[[6921559]],[[31256576]],[2975024.604084332],[31468184.26745107],[31320404.179078773],[67282536.04867989],[130854795.44359356],[1572776077.390378],[5330759547.818162],[6558339706.951253],[130831524.15935865],[0.09454071384606487],[0.08319988924342861],[0.4655057020504995],[0.8128215045292689]
