,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[2479144, 2543104, 2536104, 2544949]]","[[3610624, 3608576, 3604480, 3608576]]",[10360067.247977838],[25195014.33071018],[37027105.34522435],[45291285.57876243],[45316357.686986774],[98373562.31007867],[223383724.54589942],[3205002460.8091097],[9670912239.7518],[16362001808.550589],[222526536.4383106],[79660847.83605307],[35753654.24618603],[27930854.33474805],[0.8175326637799559],[0.06969845648402583],[0.4606558573547151],[0.5910592330272141]
1,"[[2317476, 2375620, 2368923, 2375552]]","[[3606528, 3604480, 3606528, 3604480]]",[10241946.946881048],[23692378.22546124],[36653565.24991242],[43259260.297583014],[43195606.34895503],[93541993.77107666],[221844050.64848113],[3178607938.912139],[9555859787.098158],[16358455547.052332],[221304924.85908452],[75193848.16167353],[33453705.900163498],[27223073.457921375],[0.847299861296064],[0.06979283224354056],[0.4617776958514132],[0.5841541556054813]
2,"[[2171921, 2226916, 2221232, 2227496]]","[[3606528, 3606528, 3604480, 3608576]]",[9921387.18757224],[22166853.441837296],[35187098.63531492],[40453441.55952783],[40596056.94865658],[87853086.4785225],[218438121.92247787],[3143880124.2630053],[9418265993.720093],[16278948521.15738],[217450670.09117267],[70374309.22808659],[31417516.44327455],[26356982.67267194],[0.8698171843682716],[0.069480423326791],[0.4620902756624393],[0.5785549343975986]
3,"[[2048224, 2098252, 2092311, 2100768]]","[[3608576, 3608576, 3604480, 3606528]]",[9682064.244385753],[20923849.66400375],[33999180.84191053],[38084603.95968119],[38178803.84309076],[83011585.20344754],[215907131.77319115],[3118817624.18891],[9318034383.719017],[16211669589.865156],[215274805.54715997],[66334102.38411806],[29520973.717592306],[25438464.0136645],[0.8927276985183895],[0.06922723858511627],[0.45992139229146006],[0.5747732725532634]
4,"[[2417165, 2474974, 2468688, 2479677, 2474274]]","[[2885632, 2885632, 2883584, 2887680, 2885632]]",[15666645.834294405],[30326906.22879613],[49281861.000673115],[59073803.6610093],[58846480.86393934],[118670709.80563793],[268193540.05193654],[3756468635.824902],[11276621003.674925],[19609909157.211662],[267634007.14841056],[95926886.94554287],[45999611.783393025],[37310774.40151363],[0.8342422181492404],[0.07139512293386753],[0.4958804153132621],[0.5750470801914898]
5,"[[2259893, 2319821, 2315720, 2321423, 2317628]]","[[2893824, 2893824, 2883584, 2885632, 2883584]]",[14778800.089590156],[28538837.511148266],[46631380.30423983],[53271203.71812692],[53181945.12698171],[111233526.54850098],[264037905.66141075],[3733899539.540343],[11166627522.150505],[19611663768.63348],[263708374.7912036],[89430538.02345733],[41828464.20810903],[35472577.36010615],[0.8753581118793508],[0.07071371440644458],[0.47811075291039046],[0.5693870573087325]
6,"[[2135447, 2186760, 2185569, 2189047, 2188430]]","[[2887680, 2887680, 2887680, 2891776, 2889728]]",[14116511.034131782],[26877689.368097372],[44748105.67501751],[49856659.90464836],[49834520.921474524],[106447374.23362093],[263820600.6979093],[3708145048.2378454],[11049597532.19274],[19512792388.180527],[263368866.33065647],[85089411.14696093],[38566119.11628767],[33884800.189386815],[0.8975351690345675],[0.07114624624063182],[0.4681611104103168],[0.5662745399210933]
7,"[[2013322, 2054426, 2060159, 2064576, 2062348]]","[[2895872, 2895872, 2893824, 2895872, 2895872]]",[13691951.320223365],[25450160.4352749],[43337641.92632157],[47338591.76231422],[47328293.11593234],[103263461.05719571],[264190004.43337113],[3690382229.389944],[10962115555.780903],[19514892567.751366],[263831963.54340965],[82364275.72654414],[36282795.29670708],[32579323.61454271],[0.9154822801641141],[0.07158879162417935],[0.45832565199144426],[0.5617307662710863]
8,"[[2312827, 2313487, 2312117, 2311200, 2309215, 2309781]]","[[2410496, 2410496, 2408448, 2408448, 2406400, 2406400]]",[23861222.698442005],[33175920.0837442],[67430158.27163696],[81162499.67116833],[81127145.24768525],[132014502.55668697],[298316456.4609793],[4784093731.653787],[14543173325.736078],[22981100731.111614],[297987702.25463504],[106427913.5265802],[67618797.40685253],[54501381.80461903],[0.8308043560120961],[0.06235589710276348],[0.6145320678904145],[0.6328318863355251]
9,"[[2181324, 2225718, 2221214, 2225368, 2225407, 2213440]]","[[2406400, 2406400, 2406400, 2406400, 2406400, 2406400]]",[23176397.528343942],[31914173.27246732],[67964540.39536649],[78887460.8990753],[78782146.98810567],[128328339.44989556],[302582885.7490281],[4327769740.230448],[12966780524.393518],[22979646746.00058],[301891283.7268301],[102754655.25336747],[64874299.45184986],[54336074.115201294],[0.8615379379787232],[0.06991658611969406],[0.6139107489882648],[0.5642724045203298]
10,"[[2079696, 2129762, 2125848, 2130016, 2130147, 2118304]]","[[2406400, 2408448, 2406400, 2406400, 2404352, 2406400]]",[20674334.193372883],[31143600.512500133],[58671073.514763966],[67558897.27682926],[67471552.1040441],[123538039.33206478],[305353403.6749769],[4237316845.615654],[12595063194.547934],[22755206737.10885],[305061238.20263386],[98722521.99818125],[53750981.98302774],[45569379.06689012],[0.8684433269292932],[0.07206291500030866],[0.5461601339056673],[0.5535024726454405]
