# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5625224699
#
# Overhead  Command       Shared Object            Symbol                              
# ........  ............  .......................  ....................................
#
    25.67%  rte-worker-2  nflr                     [.] write_variable
    18.53%  rte-worker-2  nflr                     [.] read_variable
    18.28%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
    16.30%  rte-worker-2  libc-2.31.so             [.] __memset_avx2_unaligned_erms
     3.62%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     1.78%  rte-worker-2  nflr                     [.] handleUplinkNASTransportMain
     1.73%  rte-worker-2  nflr                     [.] 0x00000000000048d4
     1.58%  rte-worker-2  nflr                     [.] HandleNAS
     1.22%  rte-worker-2  nflr                     [.] cuckoo_hash_first_test
     1.09%  rte-worker-2  nflr                     [.] cuckoo_hash_first_hash
     0.86%  rte-worker-2  nflr                     [.] Registered
     0.83%  rte-worker-2  nflr                     [.] send_packet
     0.69%  rte-worker-2  nflr                     [.] 0x00000000000048d0
     0.59%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.59%  rte-worker-2  nflr                     [.] Decode
     0.54%  rte-worker-2  libc-2.31.so             [.] __memset_chk_avx2_unaligned_erms
     0.54%  rte-worker-2  libc-2.31.so             [.] 0x000000000018bb5d
     0.50%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.50%  rte-worker-2  nflr                     [.] HandleRegistrationComplete
     0.42%  rte-worker-2  nflr                     [.] RanUeFindByAmfUeNgapID
     0.35%  rte-worker-2  nflr                     [.] UpdateLocation
     0.35%  rte-worker-2  nflr                     [.] ranUeFind
     0.33%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.33%  rte-worker-2  nflr                     [.] Stop
     0.30%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     0.30%  rte-worker-2  nflr                     [.] GetBearerType
     0.27%  rte-worker-2  nflr                     [.] ContextSetup
     0.27%  rte-worker-2  nflr                     [.] handlerUplinkNASTransport
     0.24%  rte-worker-2  nflr                     [.] Dispatch
     0.23%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.20%  rte-worker-2  nflr                     [.] StopT3550
     0.15%  rte-worker-2  nflr                     [.] ClearRegistrationRequestData
     0.11%  rte-worker-2  nflr                     [.] dispatchMain
     0.11%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.08%  rte-worker-2  nflr                     [.] cuckoo_hash_second_test
     0.06%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] error_entry
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_run_queues
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_fast_timekeeper
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_advance
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] task_tick_fair
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] perf_event_task_tick
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] timerqueue_del
     0.02%  rte-worker-2  nflr                     [.] cuckoo_hash_second_hash
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] perf_swevent_start
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_rq_clock
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] decay_load
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] scheduler_tick
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] wake_q_add
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] enqueue_task_fair
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_cfs_group
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] x86_pmu_disable
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __acct_update_integrals
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] native_write_msr
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] native_irq_return_iret
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] __softirqentry_text_start
     0.00%  perf          [kernel.kallsyms]        [k] __kmalloc_node
     0.00%  perf          [kernel.kallsyms]        [k] ghes_copy_tofrom_phys
     0.00%  perf          [kernel.kallsyms]        [k] sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
