,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[1324456, 1359688, 1352444, 1359334]]","[[2224128, 2224128, 2224128, 2224128]]",[6795908.1186184045],[14010332.130814571],[38336457.40525337],[44150400.985259496],[44099840.75330908],[73748584.8573303],[126461341.13499458],[1564675803.716561],[5130771836.170063],[16026023263.51792],[126181315.0823492],[68631577.70381159],[42429245.637296505],[36425543.710640945],[0.8683150447048663],[0.08082271153846186],[0.5979754165943936],[0.3201525264130805]
1,"[[1358716, 1396876, 1388771, 1398167]]","[[3311616, 3311616, 3311616, 3317760]]",[6084385.488041818],[14528505.71744076],[38753563.8669036],[45895773.872395426],[45909260.377237536],[76599024.6442139],[132053639.78195113],[1611244770.5889716],[5273092676.610797],[16248148135.748652],[132004180.64863324],[71101114.97682406],[43893197.14945917],[36382563.44787551],[0.8443819680358937],[0.08195752885744384],[0.5993452343613543],[0.32453499516102446]
2,"[[1446220, 1476311, 1468988, 1489744]]","[[6502400, 6502400, 6502400, 6502400]]",[5341566.063382019],[15461255.349428788],[37929974.62647739],[48464017.18657337],[48506619.182024926],[81593571.81431127],[140368364.71838018],[1678552916.6717567],[5483908050.83525],[16273466284.757988],[140372068.15789694],[75664686.1260123],[46414252.989312306],[35802590.47731285],[0.7826419852992631],[0.08362462888373116],[0.594490694590686],[0.33698463221517677]
3,"[[1374588, 1405912, 1399988, 1411291]]","[[3608576, 3606528, 3606528, 3608576]]",[6050980.727345557],[14752534.786513314],[38701282.63411272],[46766031.95472671],[46595318.22449272],[79628214.76473475],[135941598.01985168],[1631972274.5958862],[5340812490.922512],[16304704152.852106],[135772816.19365305],[74025188.93577583],[44486145.82004399],[36598611.12157895],[0.8275511309486057],[0.08329896293949843],[0.5851609051158657],[0.327562673989903]
