,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[7928112]],[[30472192]],[271248.2626154253],[12222626.795450738],[688550.7880895863],[34322805.14199446],[34200379.40918379],[77373438.72283292],[146630900.8441806],[1705684236.5167062],[5806682196.499069],[6565687615.423773],[140743628.02887142],[0.020061028964300304],[0.08596602917760766],[0.44201705357437154],[0.8843981828892243]
1,[[7694313]],[[30447616]],[350878.5664794944],[11965321.819521256],[1124535.1230247086],[34138467.45312809],[34065932.92586616],[73289079.32118979],[141191079.0512735],[1667682789.0980256],[5679697957.617003],[6552324515.999694],[135622443.12573528],[0.032940410244504635],[0.08466303062804731],[0.4648159485886297],[0.8668218345639199]
2,[[6873503]],[[30500864]],[449867.97491632175],[10908730.879292618],[2630035.193998835],[31090567.438445155],[31110438.106567927],[67329132.66111448],[129612516.06509842],[1555557388.4505103],[5298637260.391291],[6529790330.889091],[124517024.78018571],[0.0845927048197472],[0.08332223357841229],[0.4620650359949693],[0.8114559567596151]
3,[[5856856]],[[30515200]],[483386.29632052436],[9606367.609096568],[4894143.918343653],[27324133.74456848],[27298351.30164586],[59119112.22083768],[113806216.57330051],[1440596349.8609977],[4899615585.196252],[6567578265.196035],[109655591.58660762],[0.17911433036066574],[0.0789993786838913],[0.46175171236796797],[0.7460307875067255]
4,[[5257652]],[[30504960]],[498906.4007877438],[8803005.111867378],[6356168.207807162],[24732296.36196819],[24553998.401274018],[52579043.78047755],[102616878.25062253],[1354920308.876197],[4616486882.2831745],[6552197557.411581],[98924647.78525369],[0.25699870787499085],[0.07573646773051575],[0.4669921062807697],[0.7045707706204907]
5,[[4949833]],[[30488576]],[484781.2821287965],[8401677.30829839],[6937093.550344291],[23747386.200962733],[23612889.323114663],[49846788.38683846],[97391608.83052869],[1323589469.1199021],[4510100218.473682],[6570662656.029569],[93937529.59753568],[0.2921202986989388],[0.07358143223615064],[0.4737093419111713],[0.6863995999452185]
6,[[4806564]],[[30543872]],[483092.5311792385],[8240914.249727389],[7175951.136354156],[22374764.246646553],[22583938.537987325],[49119932.80122149],[96277608.59097797],[1298827547.3047874],[4422810908.478391],[6558613919.524274],[93018758.36053944],[0.32071627916390943],[0.07412655266726116],[0.4597713646999476],[0.6743514655302651]
