,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8106900]],[[31256576]],[746465.4123029131],[34600197.78841988],[34444809.47200408],[76898930.4252041],[149233481.73579347],[1716153817.1618488],[5813658876.048167],[6532933556.409537],[149205758.17187607],[0.021574021537898343],[0.08695810378034395],[0.44792312820926544],[0.8899001996345606]
1,[[8072880]],[[31270912]],[765792.4219115189],[34758168.73703965],[34606892.02592843],[76326571.72475554],[148122740.3755669],[1733442413.1728122],[5871671027.919043],[6590062135.885825],[148096203.4811849],[0.022032012897603],[0.08545004971030444],[0.45340556039547797],[0.8909887201131499]
2,[[7897800]],[[31162368]],[1138714.1284053426],[34124768.8847622],[33971690.38127801],[74827473.2956277],[145887514.5887157],[1712261437.6364903],[5800736506.693292],[6622848820.788191],[145860730.6648974],[0.03336913818378459],[0.08520165868483884],[0.4540002339389834],[0.8758672685515024]
3,[[7535104]],[[23099392]],[1794042.0212060804],[32921903.478356685],[32771387.66102624],[72707076.98979852],[141042800.6022428],[1657524818.4456778],[5617084608.956414],[6582316001.9588995],[141015081.19872302],[0.05449387282194994],[0.08509242156295665],[0.4507317446639255],[0.8533599127244526]
4,[[7044815]],[[13015040]],[2814361.409852355],[31032175.2879226],[30887014.928800944],[69708148.11913678],[134141811.09026653],[1587086062.4259887],[5379866547.545349],[6602004197.052947],[134116880.27563728],[0.09069172185772215],[0.08452081728020469],[0.4430904530129329],[0.8148838423863551]
5,[[7889380]],[[31225856]],[1059938.5942915499],[35262398.77640446],[35116190.01099405],[75865005.10032338],[146925200.3836491],[1714022377.2885907],[5805896645.672745],[6609594443.374636],[146898659.60230413],[0.030058607215366157],[0.08571953454660834],[0.462877316946814],[0.8784043704061893]
6,[[7823223]],[[31266816]],[1155963.676406395],[34857381.079490446],[34713151.69939483],[73921355.48208432],[144500558.81573606],[1703588806.7052693],[5770890767.138922],[6599123019.006982],[144474514.7719402],[0.033162665714050056],[0.08482126569920313],[0.46959571389093313],[0.8744935880900292]
7,[[7579200]],[[31162368]],[1669795.3064111094],[33814304.19735251],[33666818.523779795],[72189005.46696176],[141359742.9700719],[1675556690.4672337],[5677601835.304937],[6614168940.182718],[141333977.3525076],[0.049381329766999785],[0.08436583720163676],[0.466370443892427],[0.8583998816256562]
8,[[7167432]],[[23103488]],[2464325.076017023],[32524917.85700962],[32373178.32606564],[69604773.04135343],[135728677.10333452],[1619333122.3107939],[5487719998.350818],[6611832055.790999],[135703516.394991],[0.07576729591911707],[0.08381763778761546],[0.4650999767908468],[0.8299847836492423]
9,[[6627468]],[[13015040]],[3158148.3977035983],[30832342.977704424],[30687815.484499954],[66570373.38472818],[129473116.12237518],[1560931024.4587626],[5289894537.26925],[6625454170.805286],[129450003.91587599],[0.10242972452620056],[0.08294608415978451],[0.46098307586689913],[0.7984199121893999]
