,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8123020]],[[31268864]],[714258.2632750468],[34957100.20861409],[34805387.45814156],[76206802.16715984],[148670803.60369074],[1736276713.4146376],[5881573377.792669],[6588842757.983144],[148644318.45325735],[0.020432423141866902],[0.08562621525419659],[0.45672284452765566],[0.8926565094707206]
1,[[8060928]],[[31252480]],[815409.7337070104],[34893850.62798592],[34749120.21912918],[75651210.11574824],[147842185.72845867],[1731009088.8295975],[5864072327.5849695],[6614777893.865717],[147815103.74366423],[0.023368293238838687],[0.08540809328067742],[0.4593333030094583],[0.886510843096195]
2,[[7885266]],[[31162368]],[1241610.0755141382],[33969268.14171127],[33811719.643107116],[74985585.04530048],[145613467.01637897],[1710762406.0355287],[5796152869.04683],[6615485982.612376],[145587349.44420362],[0.03655098103186834],[0.08511612512798865],[0.4509095931262081],[0.8761492178021363]
3,[[7548248]],[[23111680]],[1823866.6499820347],[32988544.218202483],[32834920.464960024],[72010891.64045468],[139948394.74450842],[1654408100.2138631],[5605696758.990535],[6600088273.313315],[139921228.71084648],[0.055287879268575243],[0.08459121708024608],[0.45597158592206405],[0.8493366341260182]
4,[[7017399]],[[13021184]],[2875849.259171861],[30651195.25815809],[30505205.153690033],[66175299.24388306],[129796463.3785361],[1570224615.8900204],[5321043075.599998],[6551901259.669059],[129770653.83299127],[0.09382502819058673],[0.0826610805008722],[0.46097570395965826],[0.8121372506564252]
5,[[7893427]],[[31281152]],[1067708.5439007212],[35152233.52995249],[35005416.72385295],[78103787.8210331],[149572396.0535864],[1707027300.3031795],[5781837104.262129],[6595374962.928015],[149545343.5171194],[0.030373846458175948],[0.08762156060832849],[0.4481910250507223],[0.8766502491156748]
6,[[7795712]],[[31250432]],[1273398.9853648883],[34468803.592774354],[34310046.240878984],[73024504.95986238],[142894456.60741708],[1680826398.4442596],[5694400754.988996],[6544994745.348234],[142867247.88823196],[0.036943521463907995],[0.08501440525903056],[0.46984291450845656],[0.870039010961195]
7,[[7554080]],[[31176704]],[1809009.6543914522],[33588672.03263243],[33435119.802622467],[74759366.45976119],[144120326.6745508],[1657720437.0286827],[5616548893.386726],[6595005412.686164],[144095324.81249288],[0.0538577307442802],[0.08693886101378695],[0.4472365321690993],[0.851636737489665]
8,[[7142647]],[[23105536]],[2584031.245248451],[32368973.220309075],[32217420.091351315],[69659127.33349584],[135143444.46929973],[1609037981.6941643],[5453898090.398364],[6608374327.788315],[135119799.749382],[0.0798304977937072],[0.0839902140327393],[0.4625010580036287],[0.8253010225925973]
9,[[6560080]],[[13015040]],[3221103.392515473],[30697355.8593401],[30547701.447282508],[65430299.0208265],[127611058.78450388],[1553783101.3694317],[5265649701.864351],[6600588111.470347],[127586714.11692545],[0.10493097214219534],[0.08212926158872076],[0.4668739392060421],[0.7977546262451718]
