,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[5207371]],[[13019136]],[2969266.444503801],[12923227.311607428],[1871504.0152565758],[8886493.369635409],[9060476.112857372],[38595376.96346285],[94919016.79737015],[1938187926.185535],[6469495563.549178],[6540056795.276992],[91601316.98717637],[34364355.91516693],[8083683.912556302],[1302582.8042691965],[0.2106009578144049],[0.04897307196840103],[0.23475547658038598],[0.9892109145323064]
1,[[4865236]],[[13021184]],[2802343.5047514327],[12328795.45243387],[1772025.2560925405],[8680779.417299518],[8683138.233510165],[36033009.52040712],[89753450.72965132],[1992601707.6535547],[6680861369.205841],[6570568101.755026],[86681329.59449357],[32182400.20896765],[7647626.398397629],[1224605.2789633644],[0.2041320451664921],[0.04504334729058476],[0.2409773246553972],[1.0167859560608397]
2,[[4609135]],[[13021184]],[2668230.8205673583],[11747432.950312864],[1753855.069275097],[8660273.147242637],[8482500.346426852],[35894178.00409034],[87204810.00334457],[2026863599.4739103],[6840200790.533551],[6584832952.275251],[84582775.02515273],[31903168.52660717],[7222129.565484401],[1172043.201208457],[0.20251729240589952],[0.043024508420783376],[0.23631967126981496],[1.038781217399002]
3,"[[4802160, 4980169]]","[[6600704, 6598656]]",[6655599.599627588],[23333577.346695624],[5285413.350212483],[17136777.647089973],[17054152.461409267],[64012615.55436954],[158534303.1479446],[3031156417.366036],[10055894884.5065],[9843336565.011929],[156854354.57545143],[58543759.108495675],[15225736.563680561],[4226155.847824294],[0.30842515781314395],[0.052301590983452155],[0.2664186162948491],[1.021594133055463]
4,"[[4559132, 4698684]]","[[6600704, 6602752]]",[6169118.371904157],[21985208.17321805],[4786215.787910642],[15757936.403117245],[15587617.062265612],[61861017.542673856],[151645351.1417669],[3102573263.548576],[10357207825.271198],[9761842580.297127],[149952780.7901926],[56341402.0741014],[14263990.946587013],[3794490.040942323],[0.30373366572058447],[0.04887728290687394],[0.2519780256041333],[1.0609890233402997]
5,"[[4324712, 4439572]]","[[6602752, 6602752]]",[5877648.168485902],[21028730.13279871],[4639349.236935974],[15437643.045871023],[15345936.361901762],[58615981.77886451],[143967895.2904184],[3177110399.8989797],[10694501840.18407],[9785289384.234104],[142577197.83634925],[53659081.53768366],[13596554.927167078],[3564022.0480048107],[0.3005218622525944],[0.0453140990300482],[0.26180464603998377],[1.0929162562545032]
6,"[[4150531, 4151491, 4142915]]","[[4397056, 4399104, 4388864]]",[10714555.129685659],[29443407.301230494],[9110167.029771134],[22111806.544187795],[22080271.24707303],[77672274.84190768],[192364961.55448326],[4418667529.143894],[14693935980.47154],[12935477974.364906],[191022840.74818477],[72087979.2674713],[19912905.336740956],[7351919.943086063],[0.41200464609553983],[0.04353460863161015],[0.28427481095429086],[1.1359407058317819]
7,"[[4124483, 4127427, 4124035]]","[[4395008, 4395008, 4395008]]",[10530449.834440237],[29433633.212538447],[8456357.20927723],[21954655.517305568],[21853622.892787583],[77695382.69514239],[192133080.38189402],[4618692962.973463],[15410709837.899822],[13014382108.554049],[191315081.4454747],[72156916.21409377],[19703999.47186701],[7142314.508208023],[0.38517375973453916],[0.04159901554880602],[0.2812731224780221],[1.1841291971726207]
8,"[[4077219, 4153411, 4148163]]","[[4395008, 4403200, 4403200]]",[10487218.320005136],[29613977.69611309],[8424208.823466083],[21619497.783711422],[21668930.3780503],[78361424.38397285],[193807752.32620198],[4394857765.999995],[14753549101.365568],[13109275574.288147],[192505249.8698566],[72604675.68354546],[19872181.59995093],[7228442.65203499],[0.3896579332112449],[0.04409875419076354],[0.27652547855526494],[1.1254282525193393]
9,"[[3101832, 3101636, 3096064, 3099267]]","[[3297280, 3297280, 3293184, 3297280]]",[12513782.0770786],[29779332.16711184],[10207397.500604639],[22216281.11967287],[22208040.987332016],[78621356.03521141],[191728217.31601238],[7739399138.360509],[25837269419.11815],[16324024868.58816],[191658248.35074732],[72938543.64052008],[20225140.07942122],[8750908.076490097],[0.4594557228376907],[0.024773010654755755],[0.28246830259943506],[1.5827756712645082]
10,"[[3081095, 3080323, 3074883, 3077699]]","[[3299328, 3299328, 3297280, 3301376]]",[12688806.6711185],[29705113.130834572],[10700682.913387774],[22378759.155237008],[22448797.83841817],[79636610.53253391],[193494417.45144716],[7539122873.617934],[25238774224.895763],[16381764965.028252],[192126356.51084706],[73326266.35887496],[20417009.890629828],[9101781.65137859],[0.4781624771578827],[0.02566537522933242],[0.2818904231144691],[1.5406626989689713]
11,"[[3110408, 3110723, 3104835, 3107331]]","[[3295232, 3297280, 3295232, 3297280]]",[12364389.617166847],[29355992.49482164],[10416308.893360253],[22311586.41066369],[22020138.798248537],[80594736.93120295],[193819598.0606102],[7172059652.685432],[24102156860.31577],[16083143645.50927],[193312797.1263698],[74206223.95894901],[19880166.15527959],[8683662.608989492],[0.46685648889501824],[0.027024259061765945],[0.27322055554378577],[1.498597375709292]
