# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 533473197
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] select_task_rq_fair
     0.11%  swapper       [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] update_blocked_averages
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_hung_up_p
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] fput
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __acct_update_integrals
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] apparmor_file_permission
     0.10%  swapper       [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     0.10%  rte-worker-2  libpthread-2.31.so       [.] _pthread_cleanup_push_defer
     0.10%  rte-worker-2  nflr                     [.] interval_tree_rtc
     0.10%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_write_unlock
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] aa_file_perm
     0.10%  swapper       [kernel.kallsyms]        [k] iterate_groups.isra.0
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] aa_label_is_subset
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] wait_woken
     0.10%  swapper       [kernel.kallsyms]        [k] read_tsc
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_write_lock
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] do_output_char
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] rcu_all_qs
     0.10%  swapper       [kernel.kallsyms]        [k] tick_nohz_next_event
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] sched_clock_cpu
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] radix_tree_load_root
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] remove_wait_queue
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] tty_ldisc_ref_wait
