,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8127883]],[[31258624]],[798509.190708202],[34968184.0659109],[34815043.16046943],[76089745.43322465],[148775930.30732983],[1731581864.6313057],[5865577040.011425],[6600766176.323363],[148749851.1777444],[0.022835306208726952],[0.08591908551722313],[0.457552367434619],[0.8886206363514243]
1,[[8071628]],[[31264768]],[802596.7697206419],[34864646.1718135],[34710142.054450996],[76376184.64032844],[148492579.93986577],[1737084855.1374383],[5883967712.402942],[6618865503.2404175],[148464033.30805898],[0.02302036182341943],[0.0854837801968615],[0.4544628959656518],[0.8889692213147873]
2,[[7860759]],[[31197184]],[1362688.4582293672],[33676753.84320221],[33518837.723344088],[75128525.68516116],[145881544.1795586],[1691566391.4091585],[5731613832.374491],[6592409768.724857],[145854378.8399095],[0.04046377108001552],[0.08624050756768233],[0.44615327424113804],[0.8694262088448931]
3,[[7529812]],[[23107584]],[1888694.3648021151],[32849897.38931623],[32690618.651926506],[71881580.96101151],[140394284.07769793],[1651934867.191291],[5597405337.686589],[6593480877.919137],[140368922.26046377],[0.05749468080275876],[0.08498778424382063],[0.45478435803544526],[0.8489302450897677]
4,[[6962512]],[[13015040]],[2595731.412123281],[31025251.906799767],[30877504.257300433],[68089164.87286195],[132552570.669629],[1585717498.7566798],[5372507978.254947],[6553753398.727335],[132528608.46334934],[0.08366511962323109],[0.0835915418563269],[0.45348631188171856],[0.8197604718081439]
5,[[7884063]],[[31266816]],[1096604.7666155328],[35119633.81473207],[34964012.174755],[74193813.0602088],[144863956.5556984],[1702097390.9556406],[5765643684.791707],[6582649321.992614],[144835781.5351356],[0.03122483487158475],[0.08510908795551628],[0.47125239602366115],[0.8758849822864947]
6,[[7789556]],[[31256576]],[1257373.042411354],[34845848.460050255],[34693633.3467234],[75709571.64104012],[146482601.78491756],[1695516443.4044967],[5743552106.825461],[6600439712.106474],[146454406.53973815],[0.036083869326726116],[0.08639409093007035],[0.4582463299517193],[0.8701771938452348]
7,[[7569291]],[[31156224]],[1730999.4548209994],[33848451.71026033],[33696542.93185358],[72319484.4193513],[141037414.349824],[1671615207.2563138],[5663543977.767206],[6615067701.836952],[141012469.47851393],[0.051139693763194764],[0.0843719378344937],[0.46594003265373163],[0.8561581276325387]
8,[[7184696]],[[23111680]],[2474021.0897070034],[32482310.16310416],[32327439.26184343],[68950841.31029147],[134529312.22085473],[1614901074.6769462],[5474191900.48426],[6603053478.483957],[134505830.7413824],[0.07616518274975348],[0.0833049864975579],[0.46884764054384787],[0.8290394615645486]
9,[[6679599]],[[13017088]],[3237285.146233787],[30786985.56109418],[30635498.280063413],[66245407.401041664],[128752214.34828962],[1554404882.4152465],[5267899068.061811],[6603959335.884162],[128730293.22473319],[0.1051510918407282],[0.08283055193974521],[0.4624546739459208],[0.7976879929343972]
10,[[7035607]],[[31270912]],[2762128.649664908],[32160967.21830622],[32003291.052262418],[66881812.594791904],[131516637.4732527],[1596580818.3362226],[5410901348.470914],[6594316009.869292],[131493187.93132433],[0.08588450188440501],[0.0823739305663866],[0.47850513929932753],[0.820540195582493]
11,[[6964839]],[[31266816]],[2852232.7232590467],[31738985.555969745],[31587479.590086117],[66767607.41292107],[130683071.36953534],[1582544774.0634549],[5363767603.734688],[6570623339.449586],[130657782.88975078],[0.08986527682900608],[0.08257780349176735],[0.47309587409257997],[0.8163255336112456]
12,[[6771136]],[[31182848]],[3293418.277235189],[30639179.015162647],[30487715.54581372],[67365924.46733813],[129445985.67397581],[1551215478.9897048],[5258596136.109773],[6547723874.000018],[129421873.86139786],[0.10749042184209145],[0.08344810081335897],[0.45256879923907917],[0.8031181884426787]
13,[[6395656]],[[23109632]],[4138833.3412859365],[29603933.994815867],[29449708.977199063],[62579151.84200817],[122856326.45250249],[1508714948.1776073],[5116157397.110262],[6609834973.956327],[122835171.07339767],[0.13980686965491526],[0.0814311057240481],[0.4705993627326544],[0.7740219562619394]
14,[[6065212]],[[13017088]],[4727639.826147525],[27943119.98937306],[27799446.337157942],[58451483.27999437],[115551478.9591232],[1448110077.6419764],[4909422911.120491],[6562892689.178738],[115530340.59114257],[0.1691879728514738],[0.07979467910842865],[0.47559864655603346],[0.7480577762935878]
15,[[5967224]],[[31270912]],[5048973.867166181],[27834640.176424403],[27683341.040663887],[58196497.021882124],[115016154.19736697],[1462091563.4273553],[4958780725.3012905],[6616747349.833614],[114996218.62232251],[0.1813917419145443],[0.07866549337563536],[0.4756874117398309],[0.7494287545112305]
16,[[5938475]],[[31275008]],[5016760.100730137],[27386755.779300537],[27239998.64945409],[57922568.521696165],[113853851.10652153],[1443588464.4245043],[4895681017.356038],[6550524200.172345],[113832232.66908088],[0.1831819782218201],[0.07886863459518575],[0.4702829889052788],[0.7473724037577377]
17,[[5798275]],[[31006720]],[5393783.198494806],[26731658.185233023],[26580473.14566365],[57692275.34946136],[112870568.71931514],[1431364224.436297],[4855987983.453008],[6576077249.705455],[112849229.10988343],[0.2017751072948559],[0.07885523949277556],[0.46072845948017915],[0.7384323205252051]
18,[[5522239]],[[23123968]],[5941916.373483567],[26074262.652493555],[25926411.972107086],[55119210.00995225],[107966499.95174421],[1398390296.9540727],[4744672305.677348],[6598111355.977912],[107945909.7904893],[0.22788434912522154],[0.07720770101659977],[0.4703698033303788],[0.7190955183529387]
19,[[5213552]],[[13019136]],[6434909.966165515],[24928248.301153917],[24785404.24028396],[52608186.24354953],[103168918.66376135],[1353343276.9799614],[4592118325.099054],[6596181221.70242],[103148903.7920663],[0.2581372701533804],[0.07623263100991408],[0.4711320805765848],[0.6961783145057173]
20,[[5359084]],[[31270912]],[6288871.689970218],[25198816.16834856],[25050701.107012235],[53524987.191898465],[105560543.30287567],[1382661360.8800592],[4691796301.225301],[6593437247.360289],[105541754.9873363],[0.24957012456281466],[0.07634591252024772],[0.4680188155337645],[0.7115857973932613]
21,[[5333156]],[[31193088]],[6414017.791645064],[25073702.673938572],[24927566.788415525],[52895861.68818896],[104826491.3053478],[1380289673.7919676],[4683605221.111706],[6609275316.224654],[104807661.66279985],[0.25580656654717965],[0.0759452840195245],[0.4712574101800021],[0.7086412650437252]
22,[[5229856]],[[31168512]],[6746022.67443101],[24513558.187493898],[24367049.002587125],[52444824.9563349],[103477062.71492906],[1361154319.3689096],[4619811433.043663],[6612402432.738027],[103459305.6880255],[0.275195572296503],[0.07602155115145616],[0.4646225632915148],[0.6986585405284713]
23,[[5020780]],[[23107584]],[7159802.469772004],[23876571.729313765],[23727139.995928608],[51820658.06095243],[101157667.54768151],[1327830770.5441227],[4508116675.703794],[6591229253.767794],[101138461.7946392],[0.299867273700008],[0.07618265052422968],[0.45787029504759086],[0.6839568921270316]
24,[[4789912]],[[13031424]],[7637962.024900054],[23125023.422178775],[22981313.93369876],[49315528.51260789],[97116756.14498785],[1300646961.417774],[4414859528.130153],[6633953157.840291],[97099346.75441913],[0.3302899151909454],[0.074668037542736],[0.4660056300080696],[0.6654945283887755]
25,[[5049532]],[[31254528]],[6971169.01352101],[23950109.43546137],[23801520.210091904],[50174586.529456094],[100041819.63473451],[1349163825.4377706],[4579330927.538322],[6614243758.64447],[100024316.54577519],[0.29107044509781044],[0.07415097985025902],[0.4743740179327377],[0.6923438407532799]
26,[[5071096]],[[31272960]],[6971944.462408687],[23773888.172157302],[23624187.86956458],[50662396.645981446],[100310630.91521583],[1343543256.3473816],[4560410594.851451],[6597610225.39829],[100292482.62715924],[0.2932605895982069],[0.07466125890723081],[0.4663061646026266],[0.6912215846422095]
27,[[4948452]],[[31170560]],[7333797.663132321],[23365021.945707742],[23215428.791236203],[50179571.936404854],[99314659.78387241],[1326281887.8581798],[4503304994.7804785],[6611113067.529721],[99296839.41079539],[0.31387933981716515],[0.07488201467054355],[0.4626470074447488],[0.6811719825059902]
28,[[4798095]],[[23103488]],[7764089.53383124],[22987393.24643903],[22836815.686883777],[48154002.57972037],[96085979.72313401],[1306858462.4042134],[4438127980.064888],[6641101357.023729],[96068908.821407],[0.33775423992600695],[0.07352439647241192],[0.47424543056575114],[0.6682819221500146]
29,[[4608591]],[[13021184]],[8119095.1771654],[22099527.15462939],[21954615.390734155],[47531940.56894481],[94043013.41336198],[1265582059.6201696],[4296782895.822593],[6601254599.0079565],[94025615.64054665],[0.3673877327943018],[0.07430811198571072],[0.4618918379502959],[0.6509039806566949]
