,hotspot,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694222023.1877959,[[371492]],[[26583040]],[1274157.0745632872],[3489093.450749571],[3332000.734694305],[13662349.25612506],[32888819.555963963],[3400725640.972552],[7462654413.102431],[6508653243.95097],[32877240.911800366],[0.3651828455009013],[0.009671118175401618],[0.24388197609576648],[1.1465742809448474]
1,1694222037.1329603,[[531502]],[[26621952]],[2016213.5411610142],[5074047.234751217],[4952938.612768688],[17120059.19334674],[39414923.269736886],[3215878923.25704],[7324342596.048712],[6571782997.109196],[39409714.67759812],[0.3973580551935619],[0.012256345531136314],[0.28930616166873524],[1.1145137627445327]
2,1694222051.0507896,[[380811]],[[26613760]],[1632580.7364541285],[4180950.399621103],[4068539.5213783323],[13568682.5485036],[32833809.77473612],[3090653782.506321],[7031499372.863487],[6540560661.231006],[32820993.68905826],[0.39048077121462155],[0.010623580667812627],[0.2998477933900093],[1.075060646488994]
3,1694222064.9767365,[[672532]],[[26613760]],[2471687.7453453224],[5895362.823815575],[5775012.923621711],[16260791.868196812],[39678800.33741084],[3207866766.6875896],[7303782984.86507],[6557325582.806839],[39672986.84556248],[0.41925964850889463],[0.012369217060215616],[0.3551495505527378],[1.113835647266841]
4,1694222078.8961906,[[662404]],[[26578944]],[1971774.8040886691],[4904741.437691564],[4786101.824101121],[17136080.989750497],[40012712.314135574],[3115712677.599288],[7263067026.05194],[6523524117.676278],[40002335.44466982],[0.40201401626110855],[0.012842234331108503],[0.2792996734179655],[1.1133655513546399]
