,hotspot,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694226981,[[227328]],[[29437952]],[740905.2396944996],[2252714.959780606],[2149375.3756210413],[12056365.778130794],[31584254.11030393],[2580382956.493515],[5990718863.075562],[6539986165.829003],[31578712.290204413],[0.32889435766283415],[0.012240142119533996],[0.1782772201155196],[0.9160139962339175]
1,1694226996,[[323152]],[[29452288]],[1641451.682051293],[3179087.258479341],[2979694.8560041725],[13954862.847946832],[33549137.580058463],[2502548381.136148],[5998722944.037935],[6536554447.210287],[33542558.19871277],[0.5163279735946763],[0.013405989603616485],[0.21352376504671794],[0.9177194181558618]
2,1694227010,[[231271]],[[29423616]],[1976437.085723556],[3504735.8911020393],[3395572.6528111533],[13673822.527875558],[31614173.969273016],[2628167546.2354875],[6186658081.996382],[6590161237.078218],[31614182.948810402],[0.563933245509715],[0.01202897966476919],[0.24832651190908125],[0.9387718842428912]
3,1694227024,[[426156]],[[29444096]],[2079896.8393665531],[3630080.321575343],[3523585.345356292],[13869494.381833382],[34752547.36403379],[2492488561.987531],[5979361542.799504],[6511815017.470899],[34743995.467527345],[0.5729616579018124],[0.013942911471706742],[0.2540529054881463],[0.9182327088157686]
4,1694227039,[[429252]],[[29448192]],[1322941.6769010054],[2866899.8130676886],[2764018.654570404],[13582540.18603796],[33910205.18824256],[2499901781.4295835],[6142539731.682058],[6542699555.2943535],[33903169.227590695],[0.461453752541638],[0.013564614994134215],[0.20349791840937456],[0.9388387285354581]
