,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694831525,[[8824]],[[21084160]],[91524.17896098003],[2028055.5634740782],[361161.2560920686],[1473991.4864756768],[1482492.0267333367],[9183251.429133972],[21006483.620705448],[765548155.8468497],[2642454419.1537995],[3591405112.1263638],[21072734.07675205],[8400951.386862466],[1423769.6802566994],[185003.69162783155],[0.2450226201479681],[0.027439793904889064],[0.16143432837198746],[0.7357717485648064]
1,1694831538,[[8568]],[[21430272]],[82200.6929332239],[2001377.313185303],[555363.7363645845],[1528178.8526117199],[1482284.2222873701],[10635143.270481681],[22873064.869421195],[757435216.711476],[2611403259.776178],[3567587250.7466507],[23040988.01619032],[9825564.765071567],[1450736.0287280336],[175351.7676420242],[0.36341540482348994],[0.030198047786486878],[0.13937604643291612],[0.7319802085371968]
2,1694831552,[[8824]],[[21594112]],[92155.67748624945],[2033395.084888653],[414044.06831282395],[1745323.4149142737],[1747889.4749830698],[11383886.51137663],[22771041.456962194],[774071694.7086586],[2656379053.3701663],[3599888578.375254],[23360472.538367506],[10146959.257985167],[1442409.6016220693],[210811.0134045732],[0.23723056986155247],[0.02941722531984928],[0.1535406623420125],[0.7379059089015126]
3,1694831567,[[8824]],[[21682176]],[99976.34994517641],[1978370.0972333443],[493084.36361949635],[1960094.078049905],[1855213.992200885],[9068787.09881793],[20860547.40890239],[763784794.8721343],[2630021358.7431006],[3574871567.4289756],[21233636.407132026],[8177520.876368672],[1326937.466519075],[200502.43711985796],[0.25156158020234687],[0.027312074747959166],[0.20457134697127277],[0.7356967401865558]
