# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 552285095
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     8.07%  rte-worker-2  [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     7.27%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     7.22%  rte-worker-2  [kernel.kallsyms]        [k] syscall_return_via_sysret
     5.77%  rte-worker-2  [kernel.kallsyms]        [k] __queue_work
     5.24%  rte-worker-2  [kernel.kallsyms]        [k] queue_work_on
     4.80%  rte-worker-2  [kernel.kallsyms]        [k] try_to_wake_up
     4.79%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     4.36%  rte-worker-2  [kernel.kallsyms]        [k] n_tty_write
     4.33%  rte-worker-2  [kernel.kallsyms]        [k] insert_work
     3.68%  rte-worker-2  [kernel.kallsyms]        [k] __entry_text_start
     3.20%  rte-worker-2  [kernel.kallsyms]        [k] send_call_function_single_ipi
     3.12%  rte-worker-2  [kernel.kallsyms]        [k] available_idle_cpu
     2.42%  rte-worker-2  [kernel.kallsyms]        [k] ttwu_queue_wakelist
     1.82%  rte-worker-2  libc-2.31.so             [.] __vfprintf_internal
     1.55%  rte-worker-2  [kernel.kallsyms]        [k] llist_add_batch
     1.49%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     1.28%  rte-worker-2  [kernel.kallsyms]        [k] tty_buffer_space_avail
     1.23%  rte-worker-2  [kernel.kallsyms]        [k] __fget_light
     1.18%  rte-worker-2  [kernel.kallsyms]        [k] mutex_unlock
     1.16%  rte-worker-2  [kernel.kallsyms]        [k] vfs_write
     1.12%  rte-worker-2  [kernel.kallsyms]        [k] pty_write
     0.96%  rte-worker-2  libc-2.31.so             [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.96%  rte-worker-2  [kernel.kallsyms]        [k] file_tty_write.isra.0
     0.79%  rte-worker-2  [kernel.kallsyms]        [k] __lock_text_start
     0.78%  rte-worker-2  [kernel.kallsyms]        [k] __check_heap_object
     0.76%  rte-worker-2  [kernel.kallsyms]        [k] __virt_addr_valid
     0.70%  rte-worker-2  nflr                     [.] cuckoo_hash_rtc
     0.70%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_safe_stack
     0.69%  swapper       [kernel.kallsyms]        [k] acpi_processor_ffh_cstate_enter
     0.60%  rte-worker-2  libc-2.31.so             [.] __libc_disable_asynccancel
     0.58%  rte-worker-2  [kernel.kallsyms]        [k] common_file_perm
     0.58%  rte-worker-2  [kernel.kallsyms]        [k] new_sync_write
     0.58%  rte-worker-2  [kernel.kallsyms]        [k] pty_write_room
     0.57%  rte-worker-2  [kernel.kallsyms]        [k] process_echoes
     0.56%  rte-worker-2  [kernel.kallsyms]        [k] tty_paranoia_check
     0.49%  rte-worker-2  [kernel.kallsyms]        [k] mutex_lock
     0.48%  rte-worker-2  [kernel.kallsyms]        [k] __tty_buffer_request_room
     0.48%  rte-worker-2  [kernel.kallsyms]        [k] native_sched_clock
     0.48%  rte-worker-2  [kernel.kallsyms]        [k] fput_many
