,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[3184037, 3313488]]","[[4427776, 4427776]]",[2358536.0395407192],[10303947.059721693],[21739789.194190554],[31098960.88595544],[30943241.748673104],[63982550.62264466],[115393644.96400274],[1579173156.3511825],[5365037309.994982],[9800227133.90641],[114487364.9570679],[59312099.25231542],[29306515.65502243],[19786829.849228196],[0.6990519481957492],[0.07307219255843346],[0.4836200096362162],[0.5474400987537578]
1,"[[1920155, 1937300]]","[[4435968, 4435968]]",[2555934.4074603682],[7076137.893832069],[24529334.63486356],[30542366.323369477],[30528571.936557036],[56676077.70293505],[94229180.36827528],[1529874048.526328],[5198591564.575548],[9851079627.183746],[93387663.99689333],[52218445.56311419],[29102372.10706549],[22546032.151284177],[0.8031248913446156],[0.0615927699793606],[0.5386500473192779],[0.5277179518710008]
2,"[[1377196, 1394935]]","[[4435968, 4435968]]",[2365306.9076430546],[5639115.378415438],[25999330.87774956],[30959872.57188645],[30930239.042366266],[51374754.7185635],[85792603.74863845],[1526034711.2166307],[5183730780.779397],[9888749960.86284],[85532036.03135988],[47136468.6893742],[28993335.630262777],[23623591.55220411],[0.8397751256043159],[0.056219300333109935],[0.6020513229076321],[0.5242048591879951]
3,"[[1050224, 1090364]]","[[4438016, 4435968]]",[2220605.4716370483],[4789264.7352685835],[26396836.985261157],[30161166.823356565],[30093914.01993619],[46265790.993287824],[76354615.29937056],[1495072503.4558675],[5077592210.472234],[9796178801.779055],[75972729.26432027],[42554111.68320363],[28325535.006954115],[23931366.536434773],[0.8751928312275923],[0.05107084447267707],[0.6504571385000674],[0.5183237579891975]
4,"[[862927, 883584]]","[[4440064, 4440064]]",[2083176.844213083],[4330020.87591183],[26973747.646614544],[30122959.906876113],[30019118.413476612],[45451878.041384935],[75378270.01700494],[1488897382.805671],[5058521795.581506],[9819831402.344414],[75001275.37348162],[41660639.16750889],[28217398.25229685],[24414734.920865625],[0.8954547537825888],[0.05062690746017868],[0.6604593628924099],[0.5151332633240343]
5,"[[728663, 743264]]","[[4438016, 4438016]]",[1923641.3353247433],[3969654.727333599],[27347776.157974094],[30107609.51580952],[29998493.613590173],[44713704.39322859],[73230315.66370082],[1493943035.5102162],[5070751989.67148],[9894133632.999811],[72933701.41875717],[40990186.04186691],[28238469.304549403],[24775515.91529068],[0.9083343579175146],[0.049018144549729074],[0.6709015506693988],[0.5125008593737858]
