,hotspot,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694234364,[[503529]],[[29419520]],[741305.6652229803],[2333514.064500297],[2203454.813604671],[13517741.446194189],[43251102.18032177],[1437553712.755829],[5364030468.226573],[6561744375.328439],[43193280.171876505],[0.31767782183122384],[0.030086599058207184],[0.1630046574255965],[0.8174701971620288]
1,1694234379,[[563456]],[[29427712]],[802366.0662406285],[2067270.1429807332],[2025233.3766977037],[11921230.559963189],[38587094.27480031],[1543110064.1048656],[5814756455.046217],[6590591408.293727],[38519679.53733855],[0.38812830967689665],[0.02500605444316384],[0.1698845908994782],[0.8822814364927578]
2,1694234393,[[430116]],[[29444096]],[564175.1054424426],[2186251.848942208],[2055731.0700477483],[12320797.145346435],[36928479.84356035],[1548756357.932127],[5779140363.188344],[6571904553.597323],[37200950.11773094],[0.25805586200666314],[0.023843956897692177],[0.166850492366413],[0.8793707084539083]
3,1694234407,[[679835]],[[29411328]],[854970.1898454326],[2491820.6272460893],[2349460.0392343993],[12673998.431803899],[39285783.369109645],[1502996030.462884],[5662646341.95387],[6597189668.1558895],[39235487.48361388],[0.34311064789215134],[0.026138314787837888],[0.18537638708702278],[0.8583422073321636]
4,1694234422,[[654976]],[[29450240]],[797870.2326962161],[2340258.7181232064],[2174220.017324717],[12499672.654807305],[37054133.61807982],[1576597682.2936828],[5866079365.21751],[6584197025.030592],[37091569.14933814],[0.3409324902915332],[0.02350259297868073],[0.17394215651627676],[0.8909331453656272]
