,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8113499]],[[31264768]],[700770.1620301277],[34797001.287376],[34641218.89725612],[75813395.36187452],[147793590.2252533],[1729066257.1759508],[5856684706.20446],[6555464078.592508],[147765862.86382395],[0.02013880898077157],[0.08547595536717119],[0.45692741674351517],[0.8934050489773899]
1,[[8068496]],[[31291392]],[800938.1028353984],[34863976.299502075],[34700787.76145889],[76664463.49454038],[149474318.7494559],[1736882621.6756568],[5883288626.896501],[6609569670.699643],[149447939.6765901],[0.022973228754943748],[0.0860589638494112],[0.4526319780993457],[0.8901167428459433]
2,[[7879472]],[[31184896]],[1199948.994273166],[34123677.08471877],[33958478.461560674],[74931833.39501381],[145808146.65562573],[1717537294.8949156],[5819143364.621946],[6632893082.384517],[145782048.19466978],[0.03516470371273458],[0.08489372957956452],[0.45319161326994],[0.8773160206782606]
3,[[7556510]],[[23126016]],[1809254.566627759],[33117710.584128086],[32958270.59690055],[72634054.2461371],[141140348.20632774],[1669304603.8840418],[5655862364.162069],[6627117230.658998],[141114673.16906443],[0.0546310277708284],[0.08455038575819566],[0.4537578266692083],[0.8534423290411075]
4,[[6944731]],[[13023232]],[2780664.398668846],[30679912.10049193],[30527756.30129886],[68541126.2826043],[132441331.87330164],[1570229198.0603623],[5320113538.184637],[6546992510.500737],[132415996.42884763],[0.09063469248415025],[0.08434522300113946],[0.44539326907802484],[0.8126041888167268]
5,[[7879872]],[[31262720]],[1109697.2824837586],[35114845.22982975],[34952103.0425639],[74148211.16295445],[145214509.08229712],[1706204073.494387],[5779913082.073457],[6599402622.256954],[145186022.10421702],[0.03160194143589961],[0.08510969545682241],[0.47138160846187066],[0.8758236787342372]
6,[[7775900]],[[31236096]],[1341277.3630259186],[34598651.459027775],[34438013.784927614],[75149876.07568912],[145670421.6015799],[1689437102.7806487],[5724326207.829762],[6591495272.064908],[145643628.6189425],[0.03876675264682725],[0.08622423490156608],[0.4582577588051175],[0.8684412218407783]
7,[[7550280]],[[31158272]],[1793413.6564844393],[33284316.975942343],[33127885.414447963],[71785379.70644099],[139642747.5132851],[1645882714.8428645],[5577447347.739199],[6531982470.00857],[139611763.52275768],[0.05388164214938541],[0.08484368069119497],[0.46148513179036016],[0.8538674703044451]
8,[[7139556]],[[23115776]],[2534253.08646205],[32319038.059139337],[32164956.583899084],[68750366.32366379],[134121551.14255486],[1610294014.9667273],[5457343153.22326],[6598154359.011063],[134097725.75566891],[0.07841362981858309],[0.08329010099769026],[0.46785142107421684],[0.8271014675141991]
9,[[6594967]],[[13025280]],[3611555.3227716144],[30127184.14780319],[29974630.3548068],[63965702.72443653],[125548982.49871403],[1530646624.1835973],[5188499981.269659],[6590220951.093336],[125524642.75006469],[0.11987696244871134],[0.08202349289188694],[0.46860472218896965],[0.7873028870767789]
10,[[7001444]],[[31232000]],[2835934.4705067407],[32139126.48347784],[31981902.741499137],[70122946.29996422],[135233565.682741],[1597489446.4577792],[5413840928.972162],[6624115206.964687],[135209223.83965775],[0.08823931390806919],[0.08465380850095972],[0.4560832712973935],[0.8172926888831846]
11,[[6928159]],[[31252480]],[2959995.768861804],[31709037.816014487],[31551516.918938603],[66638559.322562404],[130663176.45521504],[1583266575.280626],[5366060372.083392],[6618758904.279227],[130640223.80488053],[0.09334864671821967],[0.08252759105462429],[0.47347237454840846],[0.8107351317199472]
12,[[6718892]],[[31105024]],[3463924.6909625945],[30589966.386035718],[30433370.062146466],[65022832.4285034],[127599157.61724661],[1551623927.6872213],[5260009631.427652],[6589675667.681305],[127576294.24769059],[0.11323728333823445],[0.08223587902993994],[0.46804128527636546],[0.7982198057523643]
13,[[6353280]],[[23101440]],[4110041.918626641],[29428021.959177732],[29266451.916189846],[63542820.82045881],[123750501.67699283],[1504104511.322196],[5100415788.947287],[6587265344.223824],[123728399.14973065],[0.13966422630539188],[0.08227520145405913],[0.4605784184319208],[0.7742842473196695]
14,[[6057084]],[[13015040]],[4281717.469415524],[28511316.871196892],[28368157.734052632],[60130164.121615686],[117651038.17669149],[1473081373.5020304],[4993196523.664129],[6569104577.257397],[117630094.26462093],[0.15017606828750382],[0.07986730420532966],[0.47177915025604933],[0.7601030650282006]
15,[[5948128]],[[31299584]],[5040192.950646482],[27705255.69400296],[27550687.644477755],[59280923.2345166],[116462509.73518741],[1456180034.2522647],[4938974686.37074],[6605620300.151066],[116441761.49588408],[0.18192190703143285],[0.07997809817176202],[0.46474795163844945],[0.7476927921905818]
16,[[5905351]],[[31176704]],[5110400.244847125],[27257892.94201788],[27105775.82243103],[58056927.408722505],[114253029.59682105],[1435605383.6920724],[4869427254.171558],[6550682713.305325],[114231953.11341962],[0.18748331926161005],[0.07958526130835934],[0.466882713782036],[0.7433465284894797]
17,[[5773864]],[[31158272]],[5455657.900106506],[26751866.40919904],[26594800.40170125],[57321297.07206338],[113057421.63313718],[1432479417.945019],[4859950606.182286],[6603547804.91628],[113037144.62510328],[0.20393559898424488],[0.07892429044134197],[0.4639601990908669],[0.7359605396608317]
18,[[5490235]],[[23107584]],[5962569.358607545],[25739791.39798985],[25584696.784921106],[57077074.40891976],[110481287.24992596],[1382699618.7440202],[4692293219.688865],[6556445975.474411],[110460986.52919278],[0.23164792854821625],[0.0799025947156057],[0.44824821611604604],[0.715676333983571]
19,[[5359556]],[[13019136]],[6002337.949057227],[25324862.79041982],[25183702.59872109],[54632661.56669941],[106246677.00702564],[1373824809.9136677],[4659851797.8251915],[6602109316.059145],[106227961.60351099],[0.2370136414451912],[0.07733640871844662],[0.46096422682931254],[0.7058125781847394]
20,[[5322918]],[[31262720]],[6335426.910559009],[24666266.285424888],[24516943.833898038],[52855132.7277173],[104293926.86457473],[1356313421.269713],[4603373833.98712],[6511932812.405229],[104274889.09134926],[0.2568458005459288],[0.07689515213005853],[0.4638517125706],[0.7069135948727381]
21,[[5315256]],[[31283200]],[6487637.589083138],[24892946.917620655],[24741456.91638401],[52670662.52622642],[104441519.83760865],[1373521418.492654],[4661379147.175726],[6602851994.426382],[104423280.64032595],[0.2606215170326345],[0.07603923639736618],[0.4697388589722873],[0.7059645061119805]
22,[[5227535]],[[31217664]],[6760596.280064869],[24435873.488134395],[24281549.068258896],[54844588.19563173],[106053056.71713933],[1362901895.5700793],[4626519906.315858],[6617538312.784041],[106034810.6436676],[0.27666685552892917],[0.07781415306695945],[0.4427337293817602],[0.6991300522398413]
23,[[5026397]],[[23113728]],[7171814.0251322165],[23784180.04402723],[23628707.814709403],[50266917.66669906],[99441009.96909302],[1327185287.0220988],[4505982435.083768],[6599933224.421991],[99423147.44220233],[0.30153715670905495],[0.0749262449949366],[0.47006478438527777],[0.6827315189205407]
24,[[4776336]],[[13029376]],[7581889.135086758],[22832372.44224675],[22687157.721698534],[50044751.0177286],[97565068.35308465],[1286576223.034791],[4367292409.5732],[6589048521.71379],[97547487.3279487],[0.33206751310074045],[0.07583310386612542],[0.4533374082261194],[0.6628107829500824]
25,[[5066124]],[[31279104]],[6932132.374890092],[23820554.545043755],[23665578.253485877],[52185910.68551167],[101914694.18385474],[1344273777.452963],[4563532100.967263],[6602175823.4537735],[101895488.15300615],[0.2910147352691431],[0.07581394199100994],[0.4534859685807137],[0.6912163842646587]
26,[[5035900]],[[31293440]],[7005689.4179604],[23726809.525179204],[23575003.28032283],[52290667.054238446],[102105827.68370919],[1341449625.0106218],[4553137240.009398],[6605684215.216949],[102086340.9706885],[0.29526470512294833],[0.07611603580186674],[0.450845334519632],[0.6892756437736951]
27,[[4968672]],[[31137792]],[7234096.789221556],[23310141.921726972],[23159090.333942782],[50030343.01768448],[98964503.29541428],[1324781093.0691683],[4497040995.886938],[6594944604.087211],[98947268.30760184],[0.31034117310451814],[0.07470253297934652],[0.46290089048073524],[0.6818921561676047]
28,[[4785188]],[[23117824]],[7695849.559632018],[22757440.180524457],[22601982.891010817],[50187416.98520231],[98336361.4850555],[1296221326.2632194],[4401493303.141327],[6596720687.132968],[98319536.5269847],[0.3381685065888049],[0.07586386637268354],[0.4503515870855633],[0.6672244455834738]
29,[[4570492]],[[13019136]],[8182815.503165083],[22066853.34209489],[21916494.98104993],[46668578.65871075],[92613228.19692911],[1268822273.5162435],[4308656913.418674],[6627908805.496075],[92597505.06929938],[0.3708193178388277],[0.07299148992732707],[0.4696199372457037],[0.6500778812535558]
30,[[4928326]],[[31262720]],[7187939.294291151],[23157612.822949976],[23002748.56829046],[48952611.58665419],[97468984.01065534],[1324852727.0770624],[4498651127.398012],[6588057062.105796],[97451058.55231933],[0.3103920662827414],[0.07356967458994096],[0.46989829189341215],[0.6828494478704576]
31,[[4886977]],[[31246336]],[7267121.218633026],[22908018.420045327],[22752208.156467076],[49702753.70768137],[98299221.81783529],[1312554135.7503242],[4456222864.48584],[6544794631.572627],[98280886.70872651],[0.31723045989320653],[0.07489155619599822],[0.45776554535148034],[0.6808804730080689]
32,[[4835724]],[[31133696]],[7602532.588614001],[22644650.733553007],[22488477.887479357],[49393188.06017944],[97546400.30902463],[1306181023.4304109],[4435038353.284924],[6592960153.463241],[97527526.04874931],[0.3357319429682872],[0.07468061360502654],[0.4552951281476294],[0.6726930316657876]
33,[[4657619]],[[23150592]],[8001250.49219345],[22193205.081564546],[22038589.2770636],[46850724.726756334],[93518886.18112183],[1269480756.8079574],[4311218907.591316],[6589513025.867599],[93499957.61125448],[0.3605270380184938],[0.07366703723518436],[0.4704001785585489],[0.6542545542693856]
34,[[4493372]],[[13031424]],[8317137.4957926255],[21446839.4867153],[21288770.76264893],[46538046.485458374],[91386196.20724222],[1245484804.9434361],[4229884930.657679],[6572305872.609352],[91369116.57652976],[0.38780247788698496],[0.07337399528643189],[0.4574487407695761],[0.6435922205456212]
