,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8137947]],[[31242240]],[603655.7173397669],[35259557.57307954],[35107770.04322099],[76512113.49516152],[149096833.76177847],[1756197578.445247],[5947686935.317628],[6633286686.522556],[149070263.637032],[0.017120342933646292],[0.08489752838275359],[0.4588524409986549],[0.8966425267585791]
1,[[8085200]],[[31240192]],[704530.9123809544],[34833185.92625693],[34684458.9156716],[76750830.50502475],[148631111.3977329],[1739097579.8311327],[5889915076.694753],[6596308366.850536],[148603867.03262243],[0.020225853410953305],[0.08546450361466496],[0.4519098840683016],[0.8929108145238126]
2,[[7906972]],[[31186944]],[1111454.937802941],[33982584.07828535],[33832682.60158455],[74614519.76699306],[144883077.63312122],[1710070964.940479],[5793214278.240776],[6585809700.294788],[144855590.24326417],[0.03270660451372659],[0.0847234299648869],[0.4534329605985213],[0.8796510287841244]
3,[[7586579]],[[23111680]],[1753325.4187816188],[33195924.69519517],[33052349.30824916],[72992148.20455031],[141473042.79119903],[1668954904.0796797],[5654667475.802724],[6609322922.357966],[141447327.6476439],[0.05281748994434241],[0.0847674448514906],[0.45282061319286787],[0.855559267148857]
4,[[7169724]],[[13012992]],[2221711.053778166],[31769416.44535481],[31625979.6065606],[69003989.44784209],[134846326.73273864],[1617247005.0019257],[5479382584.096025],[6583069142.961209],[134822719.21075442],[0.06993238473862541],[0.08338016785047506],[0.45832103128567175],[0.8323446807413113]
5,[[7907068]],[[31244288]],[1000688.2260999262],[35315221.93237412],[35170420.93774759],[75438770.97044796],[146908886.7977387],[1718006310.9716573],[5819675069.203433],[6612499046.999959],[146882279.5688306],[0.028335889493096365],[0.08551126143107766],[0.4662114783328733],[0.8801022167018346]
6,[[7840787]],[[31264768]],[1136760.5224745688],[35070599.04239395],[34930327.088285536],[74106342.50875549],[144793463.2950886],[1708849103.6775875],[5787869582.649801],[6624040136.231065],[144767829.69984737],[0.03241349031707251],[0.08473156756993981],[0.47135408260309974],[0.8737672875791138]
7,[[7587828]],[[31180800]],[1690918.8470108416],[33790419.85846908],[33637294.14259056],[72898659.55571963],[141446070.967085],[1669884960.1770961],[5657973381.5498495],[6594014579.447256],[141420610.45418388],[0.05004136835509126],[0.08470408102369174],[0.4614254136851461],[0.8580468413256268]
8,[[7219360]],[[23115776]],[2366812.650171379],[32441731.590801936],[32293702.127172653],[68726587.23269114],[134323918.04554933],[1611458070.3298187],[5461205745.563924],[6567855354.143894],[134298442.57956025],[0.07295580519636724],[0.0833555154296116],[0.4698865959666265],[0.8315051795588425]
9,[[6699787]],[[13015040]],[3171425.826285507],[30858781.418801617],[30715218.32736011],[65286500.114068165],[127502913.34801522],[1558959677.238932],[5282744419.043205],[6592109236.447161],[127479762.3868119],[0.10277223145153823],[0.0817871784688076],[0.47046814079012766],[0.8013739198730812]
