,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L2_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[7938096]],[[30529536]],[240276.93764749478],[12202698.931883039],[669260.2749072041],[34326980.497276895],[34158430.14783895],[75891415.56362903],[145116093.2059654],[1697945123.4862337],[5780640866.783546],[6524225357.389294],[138965613.336549],[31050140.156744886],[0.019496625255469104],[0.08546571452675217],[0.45009609972553183],[0.8860271603335148]
1,[[7704425]],[[30509056]],[309110.89213370933],[11988855.212238995],[1055015.7582823688],[34122020.29607817],[34189691.26678414],[74368747.88848406],[142456920.13711703],[1673501448.1598225],[5702748015.348952],[6563964105.819075],[136294798.63096142],[31423293.343098722],[0.030918912453833443],[0.08512506534951748],[0.45973197394759935],[0.868796343705378]
2,[[6886025]],[[30519296]],[411872.7008564007],[10948328.187295731],[2716975.4299099348],[31604644.70592848],[31634790.28742691],[68989403.06866956],[131270645.42236844],[1569235825.9493754],[5343589908.84612],[6564876271.0231695],[126095061.38434973],[28770191.712423686],[0.08596759923076362],[0.08365259271527957],[0.45854564440771844],[0.8139665834118294]
3,[[5845533]],[[30519296]],[481199.92691067443],[9524268.425459411],[4931829.769481381],[27072356.841778133],[27038540.71358776],[58108221.94759129],[112109836.11820751],[1419914575.1922796],[4833638973.328543],[6512538657.206637],[107820535.23563007],[24584738.298080046],[0.18217216174805176],[0.07895533863579506],[0.46531350998786786],[0.7422050336668237]
4,[[5249673]],[[30504960]],[468633.11251876585],[8774768.362161946],[6198125.164876291],[24826474.613156278],[24656758.011074487],[54809024.043507166],[104816767.99349867],[1358512585.645139],[4638982133.976923],[6565724759.794309],[101465318.48922509],[22445499.955614984],[0.24965788584383714],[0.0771555369461098],[0.44986675901220313],[0.7065453249554514]
5,[[4957892]],[[30502912]],[475142.2636569938],[8458531.210354114],[6980150.629042822],[23658941.199067723],[23503124.67473318],[50560025.96986441],[98423897.82301427],[1324550364.184401],[4513025088.049742],[6589836500.395513],[95040786.78019132],[21397568.53866366],[0.2950322489206691],[0.0743074030889111],[0.4648558663467041],[0.684846291372916]
6,[[4803748]],[[30461952]],[503395.9267791759],[8223837.7548113465],[7135881.866275052],[22659043.628266215],[22683947.82869401],[50820660.28797209],[97867962.77099876],[1301145619.3849802],[4442929355.712576],[6584443538.164588],[94514878.62745854],[20825822.669412665],[0.3149242299605856],[0.0752167638371319],[0.44635287499526444],[0.6747615542544452]
