,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8113410]],[[31291392]],[716223.0019462922],[35070979.06717014],[34923214.71212421],[77362590.54808217],[150453415.60363543],[1741222767.7709377],[5897668162.731036],[6611899039.6571865],[150426505.29773992],[0.02042209886911161],[0.08640675873785035],[0.45142250879536977],[0.8919779517741726]
1,[[8061475]],[[31229952]],[779869.1944874931],[34616826.651268885],[34459105.30834095],[75824355.02554464],[148010323.84909707],[1724558804.6478384],[5841580396.213062],[6568783912.363756],[147983394.9267258],[0.022528615991983393],[0.08582503736619254],[0.4544595901505782],[0.8892940419638478]
2,[[7879132]],[[31152128]],[1211528.5564424216],[33905729.78319482],[33753131.802846596],[74949420.55841878],[145741838.63472745],[1705508272.9477956],[5778094084.0393],[6595647029.268356],[145713980.98113683],[0.035732266026697025],[0.08545360989825494],[0.45034546700114864],[0.8760465892730245]
3,[[7550016]],[[23111680]],[1865414.7293970305],[33073034.216236174],[32914917.902150083],[71796158.13160975],[140262884.3752667],[1663605710.0576217],[5637269880.649896],[6622310261.274661],[140237607.16381598],[0.05640289056034851],[0.08431257690886891],[0.4584495711011953],[0.851254269014698]
4,[[7016551]],[[13015040]],[2950593.5220493223],[31016397.214194234],[30865780.437686615],[68395656.44635677],[132837979.07303976],[1588061108.9812496],[5381596550.57805],[6629262994.8582115],[132812964.99175422],[0.09513011784292674],[0.08364790140743142],[0.45128275743496776],[0.8117940945701088]
5,[[7896127]],[[31236096]],[1036326.2929039417],[34761724.13945695],[34604865.429700784],[73684046.4089605],[143936355.44040662],[1690365247.8185327],[5725801504.782279],[6518571939.174139],[143908779.72452918],[0.029812281138484727],[0.08515103799380686],[0.46963850543219604],[0.8783828050393045]
6,[[7808850]],[[31246336]],[1235910.5257920825],[34736274.43348454],[34578710.10901299],[73726967.21491656],[144306435.82976463],[1695441334.4651942],[5743549095.539498],[6581885627.307062],[144280735.25236708],[0.03557982385700836],[0.08511437871442736],[0.4690103420125082],[0.8726297326879312]
7,[[7537423]],[[31176704]],[1748492.509502421],[33691037.5295587],[33537465.687616363],[72121759.0230234],[140541736.9800586],[1666223855.0162847],[5646036197.821221],[6621784732.6948595],[140516649.94571957],[0.05189785289243134],[0.08434745220874601],[0.4650117543155071],[0.8526456877923093]
8,[[7180472]],[[23117824]],[2496877.3454487585],[32462948.783583276],[32312799.01161178],[68963692.01341438],[134884438.8090883],[1613497035.6187673],[5467899400.711042],[6602419630.818377],[134860644.7109573],[0.07691468085953564],[0.0835975746043815],[0.4685479861682361],[0.8281659916295401]
9,[[6587076]],[[13015040]],[3164024.029099923],[30939436.846638955],[30800746.81665509],[66457880.67028673],[129669584.32862307],[1559978815.573272],[5285783255.373557],[6611260106.38497],[129646771.47512545],[0.10226508144874785],[0.08312265720157948],[0.4634626699798761],[0.7995122216215175]
