,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8122980]],[[31264768]],[646923.4845028935],[35204774.38530825],[35058128.35055609],[75562200.52216196],[147850429.015166],[1749254756.074087],[5924272243.438294],[6619329545.924581],[147823641.53463373],[0.018376015634199584],[0.08452195342146267],[0.46396383520188433],[0.8949958152613474]
1,[[8063200]],[[31277056]],[827904.6526020225],[34846482.59501955],[34690069.325797535],[77076926.66798961],[149771871.4592939],[1736232123.6509528],[5881761731.276124],[6622441305.617398],[149744991.82332462],[0.023758629019284466],[0.08626258518034632],[0.45007073874683273],[0.8881561134089625]
2,[[7905936]],[[31162368]],[1117276.1367690088],[34251300.25285526],[34094885.86424417],[76791260.98756006],[148176450.23000556],[1723217962.9022439],[5838848861.039219],[6634164836.065062],[148150090.64236367],[0.03261996270275521],[0.08598822285977496],[0.4439943481298924],[0.8801181467933543]
3,[[7603680]],[[23103488]],[1682912.2383439709],[33384317.082867123],[33233136.585445512],[73233718.46021177],[142088583.81982604],[1680025236.5093358],[5692140440.473635],[6635173309.3082695],[142063197.39843613],[0.05041026402207412],[0.08457526752101052],[0.45379556417719297],[0.8578736643530193]
4,[[7134976]],[[13010944]],[1873638.24497455],[32252340.92929583],[32112395.480310768],[70177069.25075907],[136556528.1806938],[1640556792.6062865],[5556588176.882393],[6587159924.10614],[136533325.1546179],[0.05809309312096055],[0.08323791580768865],[0.45759100263314895],[0.8435483942856309]
5,[[7903392]],[[31236096]],[1006209.8751101544],[35314968.15507549],[35169755.549829185],[75996975.87606914],[147322032.5737821],[1717079461.7605157],[5816452516.881107],[6610939179.4583],[147295283.04058442],[0.02849244747132927],[0.08579802848654035],[0.46277835590697325],[0.8798224214426531]
6,[[7828924]],[[31217664]],[1201355.7686643286],[34831931.1103463],[34677080.13407258],[74590441.40294576],[145295246.9624059],[1701367601.2044625],[5764047989.110072],[6598851475.302494],[145267915.94861358],[0.03449007075888146],[0.08539909121317808],[0.4648997845011157],[0.8734926086279046]
7,[[7610235]],[[31191040]],[1657074.314694665],[33852083.56419773],[33699227.821014084],[71985957.76579309],[140422861.14135262],[1677569769.638908],[5683856146.938129],[6610545722.321436],[140397554.25250602],[0.04895043791181001],[0.08370612279904056],[0.4681361319197114],[0.8598164789551022]
8,[[7210112]],[[23117824]],[2366670.490839397],[32779421.285075378],[32635008.827157464],[69594090.85087174],[136032790.76497075],[1627965358.2670052],[5516831155.757363],[6623735330.505396],[136008770.31090313],[0.0721998863328607],[0.08356000333433372],[0.46893361818733603],[0.8328882240130849]
9,[[6667008]],[[13017088]],[3417998.280443003],[30450553.646657318],[30302250.805671826],[64600030.952520765],[126186150.97512813],[1540290346.7691925],[5221995592.740167],[6578528610.397443],[126163091.50027703],[0.11224749211803611],[0.08192361345366317],[0.4690748651179926],[0.7937938560435445]
