,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
22,[[5232560]],[[31203328]],[6730918.275441763],[24508409.045102615],[24362123.99337367],[52365543.25764564],[103328601.81030087],[1362552695.2112575],[4624151162.304569],[6615794073.881002],[103309936.22980915],[0.2746370954987291],[0.07583457298455547],[0.46523195364380515],[0.6989563324772469]
23,[[5050889]],[[23113728]],[7049318.423104916],[23943222.20142843],[23798464.38203954],[50502552.67401295],[99686117.73539265],[1332094427.5594554],[4521370133.417843],[6593148920.575004],[99668336.61706804],[0.2944181181547219],[0.07483412262149362],[0.47123290055564837],[0.6857679369729031]
24,[[4783094]],[[13019136]],[7535669.69124901],[23047627.524754886],[22906639.41830583],[48646642.74867547],[96088132.09621826],[1295964978.277084],[4398083321.000183],[6616703450.927471],[96071484.19219293],[0.3269607547742228],[0.07414408082536479],[0.4708781145833444],[0.6646940358772915]
25,[[5077492]],[[31270912]],[6921031.308226567],[23869676.12135335],[23723265.52132702],[51666133.12609187],[101955060.24111621],[1343957230.9007447],[4562357083.084534],[6596148574.895235],[101937513.71793193],[0.2899507841262725],[0.07586183391623562],[0.4591647194387488],[0.6916698481366449]
26,[[5048399]],[[31313920]],[7065331.380099557],[23502383.714531507],[23361984.371496603],[49714096.47760643],[99259838.4716442],[1322055625.7842247],[4488036499.217262],[6566076529.222927],[99242308.74356087],[0.3006219056721071],[0.07507992593939809],[0.46992676175901016],[0.6835187618119959]
27,[[4946806]],[[31172608]],[7288940.1674996745],[23385799.927803587],[23234240.94988371],[51194338.37123883],[100223295.39594367],[1331169265.6130936],[4519504248.304519],[6621485843.60823],[100204554.58329213],[0.3116823110606445],[0.07528967050616515],[0.4538439540208375],[0.682551372161768]
28,[[4714774]],[[23119872]],[7882172.172501067],[22470840.267884076],[22326872.79922886],[49129601.96752216],[97379907.07509202],[1282303689.4811091],[4354996307.015968],[6609356876.374535],[97363046.58609353],[0.35077336132225],[0.07594137634782701],[0.45444847719280046],[0.6589137776147499]
29,[[4625084]],[[13019136]],[7903926.595734102],[22006686.622510936],[21858829.9812487],[46557196.49117094],[92163624.1380637],[1261660694.9443715],[4283917032.4654074],[6540078093.803043],[92145848.91093953],[0.3591602284938737],[0.07304945339691932],[0.46950485915521106],[0.6550253637681439]
30,[[4956792]],[[31117312]],[7229498.62469457],[23344012.683252953],[23194157.929294106],[51562879.69874774],[100739371.8851628],[1332059670.1206536],[4522125135.943247],[6616918451.296273],[100720509.41525865],[0.30969391264429136],[0.07562677119114203],[0.4498227807446798],[0.6834185987372037]
31,[[4883476]],[[31258624]],[7449551.878599626],[22875871.245294724],[22723625.07705824],[48666451.45112395],[97390303.40116455],[1308105196.5632758],[4441584604.150426],[6582352202.244331],[97373228.54711033],[0.3256510669569319],[0.07445143070835096],[0.466925867810184],[0.6747716420637617]
32,[[4830191]],[[31131648]],[7551043.74912711],[22561546.68868585],[22410023.047969837],[49489584.48918967],[97232479.3457426],[1302519606.135214],[4422030932.310311],[6569231750.016153],[97215384.25321169],[0.33468644031013184],[0.07464953225099395],[0.4528230188084324],[0.6731427814674734]
33,[[4600040]],[[23111680]],[8155539.247018818],[21927529.31716039],[21778333.777894773],[47065299.830161735],[93749597.56055354],[1259522217.1704652],[4277945712.85399],[6587844513.170859],[93732547.24021216],[0.37193151718357653],[0.07443266683390735],[0.46272591179665995],[0.6493695630340447]
34,[[4479831]],[[13023232]],[8299046.936519509],[21437284.308955222],[21289932.905269377],[44675439.896865904],[89111517.6704463],[1241395725.7536886],[4215128931.620309],[6549850305.094668],[89082623.49776061],[0.3871314489705518],[0.07178332889485665],[0.4765466877196417],[0.643545842313626]
