# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5625525921
#
# Overhead  Command       Shared Object            Symbol                                     
# ........  ............  .......................  ...........................................
#
    32.99%  rte-worker-2  nflr                     [.] write_variable
    17.85%  rte-worker-2  libc-2.31.so             [.] __memset_avx2_unaligned_erms
    15.43%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
    13.51%  rte-worker-2  nflr                     [.] read_variable
     5.01%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     4.84%  rte-worker-2  nflr                     [.] cuckoo_hash_first_test
     1.53%  rte-worker-2  nflr                     [.] cuckoo_hash_first_hash
     1.05%  rte-worker-2  nflr                     [.] 0x00000000000048d4
     0.66%  rte-worker-2  nflr                     [.] AuthenticationProcedure
     0.57%  rte-worker-2  nflr                     [.] HandleNAS
     0.45%  rte-worker-2  libc-2.31.so             [.] __memset_chk_avx2_unaligned_erms
     0.33%  rte-worker-2  nflr                     [.] 0x00000000000048d0
     0.32%  rte-worker-2  nflr                     [.] SendDownlinkNasTransport
     0.29%  rte-worker-2  nflr                     [.] NewAmfUe
     0.29%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.27%  rte-worker-2  nflr                     [.] handleInitialUEMessageMain
     0.23%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.23%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.23%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.18%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     0.17%  rte-worker-2  nflr                     [.] Authentication
     0.15%  rte-worker-2  nflr                     [.] BuildAuthenticationRequest
     0.15%  rte-worker-2  nflr                     [.] Decode
     0.15%  rte-worker-2  nflr                     [.] DeRegistered
     0.14%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.14%  rte-worker-2  nflr                     [.] StopT3565
     0.12%  rte-worker-2  nflr                     [.] SetOnGoing
     0.12%  rte-worker-2  libc-2.31.so             [.] 0x000000000018bb5d
     0.12%  rte-worker-2  nflr                     [.] RanUeFindByRanUeNgapID
     0.12%  rte-worker-2  nflr                     [.] AttachRanUe
     0.12%  rte-worker-2  nflr                     [.] UpdateLocation
     0.11%  rte-worker-2  nflr                     [.] SecurityContextIsValid
     0.11%  rte-worker-2  nflr                     [.] StopT3513
     0.09%  rte-worker-2  nflr                     [.] GetNgapIEMobilityRestrictionList
     0.09%  rte-worker-2  nflr                     [.] SendUEAuthenticationAuthenticateRequest
     0.09%  rte-worker-2  nflr                     [.] AttachRanUeToAmfUeAndReleaseOldIfAny
     0.09%  rte-worker-2  nflr                     [.] SendToRan
     0.09%  rte-worker-2  nflr                     [.] BuildDownlinkNasTransport
     0.09%  rte-worker-2  nflr                     [.] PlmnIdStringToModels
     0.09%  rte-worker-2  nflr                     [.] send_packet
     0.08%  rte-worker-2  nflr                     [.] IdentityVerification
     0.08%  rte-worker-2  nflr                     [.] NewTimer
     0.08%  rte-worker-2  nflr                     [.] NewRanUe
     0.08%  rte-worker-2  nflr                     [.] TmsiAllocate
     0.08%  rte-worker-2  nflr                     [.] SendAuthenticationRequest
     0.08%  rte-worker-2  nflr                     [.] InTaiList
