# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 544846410
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     9.17%  rte-worker-2  [kernel.kallsyms]        [k] syscall_return_via_sysret
     7.66%  rte-worker-2  [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     6.00%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     5.52%  rte-worker-2  [kernel.kallsyms]        [k] queue_work_on
     5.17%  rte-worker-2  [kernel.kallsyms]        [k] try_to_wake_up
     4.88%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     4.26%  rte-worker-2  [kernel.kallsyms]        [k] ttwu_queue_wakelist
     3.98%  rte-worker-2  [kernel.kallsyms]        [k] __queue_work
     3.81%  rte-worker-2  [kernel.kallsyms]        [k] insert_work
     3.56%  rte-worker-2  [kernel.kallsyms]        [k] send_call_function_single_ipi
     3.18%  rte-worker-2  [kernel.kallsyms]        [k] n_tty_write
     3.17%  rte-worker-2  [kernel.kallsyms]        [k] __entry_text_start
     2.64%  rte-worker-2  [kernel.kallsyms]        [k] available_idle_cpu
     1.99%  rte-worker-2  libc-2.31.so             [.] __vfprintf_internal
     1.90%  rte-worker-2  libc-2.31.so             [.] _IO_file_xsputn@@GLIBC_2.2.5
     1.81%  rte-worker-2  [kernel.kallsyms]        [k] llist_add_batch
     1.51%  rte-worker-2  [kernel.kallsyms]        [k] __fget_light
     1.17%  rte-worker-2  nflr                     [.] cuckoo_hash_rtc
     1.15%  rte-worker-2  [kernel.kallsyms]        [k] tty_buffer_space_avail
     1.15%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock
     0.97%  rte-worker-2  [kernel.kallsyms]        [k] vfs_write
     0.90%  rte-worker-2  [kernel.kallsyms]        [k] mutex_unlock
     0.86%  rte-worker-2  [kernel.kallsyms]        [k] do_syscall_64
     0.80%  rte-worker-2  [kernel.kallsyms]        [k] memcpy_erms
     0.80%  swapper       [kernel.kallsyms]        [k] acpi_processor_ffh_cstate_enter
     0.79%  rte-worker-2  [kernel.kallsyms]        [k] tty_insert_flip_string_fixed_flag
     0.78%  rte-worker-2  libc-2.31.so             [.] __GI___libc_write
     0.76%  rte-worker-2  [kernel.kallsyms]        [k] pty_write_room
     0.69%  rte-worker-2  [kernel.kallsyms]        [k] pty_write
     0.67%  rte-worker-2  [kernel.kallsyms]        [k] mutex_lock
     0.60%  rte-worker-2  nflr                     [.] interval_tree_rtc
     0.59%  rte-worker-2  libc-2.31.so             [.] __printf_chk
     0.58%  rte-worker-2  [kernel.kallsyms]        [k] __check_heap_object
     0.57%  rte-worker-2  [kernel.kallsyms]        [k] __x64_sys_write
     0.50%  rte-worker-2  [kernel.kallsyms]        [k] ldsem_up_read
     0.49%  rte-worker-2  [kernel.kallsyms]        [k] common_file_perm
     0.41%  rte-worker-2  [kernel.kallsyms]        [k] __check_object_size
     0.40%  rte-worker-2  libc-2.31.so             [.] __libc_enable_asynccancel
     0.40%  rte-worker-2  [kernel.kallsyms]        [k] __virt_addr_valid
     0.40%  rte-worker-2  [kernel.kallsyms]        [k] _copy_from_iter
     0.39%  rte-worker-2  [kernel.kallsyms]        [k] mutex_trylock
     0.39%  rte-worker-2  nflr                     [.] rte_pktmbuf_free
     0.38%  rte-worker-2  [kernel.kallsyms]        [k] copy_user_generic_unrolled
     0.38%  rte-worker-2  libc-2.31.so             [.] _itoa_word
     0.37%  rte-worker-2  [kernel.kallsyms]        [k] __lock_text_start
     0.32%  rte-worker-2  [kernel.kallsyms]        [k] get_work_pool
     0.31%  rte-worker-2  [kernel.kallsyms]        [k] file_tty_write.isra.0
     0.30%  rte-worker-2  [kernel.kallsyms]        [k] tty_write
     0.30%  rte-worker-2  [kernel.kallsyms]        [k] __smp_call_single_queue
     0.29%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.29%  rte-worker-2  [kernel.kallsyms]        [k] process_echoes
     0.29%  rte-worker-2  [kernel.kallsyms]        [k] native_tss_update_io_bitmap
     0.29%  rte-worker-2  [kernel.kallsyms]        [k] llist_del_first
