,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[4676269]],[[31633408]],[15851848.908425327],[25449831.694222167],[25369978.995814182],[44768167.51433035],[82406747.28770916],[1238756132.903017],[4119219906.6260915],[5529012961.974459],[0.6228665516882042],[0.0665237855126412],[0.5666968385001065],[0.7450190359392976]
1,1,[[4619745]],[[31600640]],[15939901.780035459],[25198604.750796717],[25113782.849168215],[44700130.264972],[81779014.3900392],[1228649610.5000963],[4085910046.154199],[5519462864.17568],[0.6325708084901597],[0.06656007839106608],[0.5618279566591761],[0.7402731292340022]
2,2,[[4490593]],[[31543296]],[16105705.558475567],[24604434.547843818],[24516373.47687383],[42779579.7641242],[78737872.86025336],[1191014634.6225145],[3963291350.6674013],[5475394288.302748],[0.6545854783680437],[0.06610991214663697],[0.5730858884554482],[0.7238367032551979]
3,3,[[4371122]],[[23070720]],[16357405.204937251],[24256575.04922838],[24169127.58155804],[42354048.73464149],[77859373.67625102],[1172070363.2475882],[3899193603.5982513],[5531757812.348885],[0.6743493329845671],[0.06642892450630458],[0.5706450340316591],[0.7048742435711558]
4,4,[[4062281]],[[11927552]],[16105054.715961725],[22731446.966112215],[22650181.16918095],[40157079.99042844],[73763790.68569255],[1112821665.4159365],[3702318167.3482475],[5480717150.397914],[0.708492281198419],[0.06628536537174809],[0.5640395460670867],[0.6755171021878861]
5,5,[[3969125]],[[9525248]],[15968337.860325385],[21882579.35988221],[21799625.023925927],[37960612.02230756],[70705804.0528839],[1083200425.950535],[3604750686.02057],[5446304224.85926],[0.7297283193954947],[0.06527490421806086],[0.5742695879380283],[0.6618709747367669]
6,6,[[3793937]],[[8075264]],[15936143.868312875],[21281340.006484974],[21200260.173672166],[36997145.24432806],[68787832.10673057],[1063873525.2713251],[3540558483.8670597],[5457007741.995129],[0.7488317870705848],[0.06465790385110604],[0.5730242166974309],[0.6488095035343676]
