,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[2425035, 2496619, 2489952, 2493045, 2498916, 2483035, 2490971]]","[[3717120, 3719168, 3717120, 3717120, 3717120, 3717120, 3717120]]",[21522342.901992373],[41877914.18846047],[65798396.26400571],[77133131.6145628],[77083483.5303323],[160334574.22828925],[364952543.6522209],[4989472677.184822],[14863493374.124939],[25938260707.712288],[364403365.87214416],[129121914.04292381],[60337787.55074184],[50120724.93156367],[0.8530497191894504],[0.07314451190824753],[0.4807664466715612],[0.5730335407456807]
1,"[[2266194, 2329780, 2325313, 2330651, 2329056, 2314152, 2318968]]","[[3727360, 3727360, 3727360, 3727360, 3727360, 3717120, 3717120]]",[20797324.374126676],[39273458.30482153],[64370079.15644023],[73402965.98377411],[73156535.22398989],[153099160.79898912],[363223623.3127983],[4963210776.807538],[14728840661.37257],[26056201311.749554],[362870439.3918564],[122966112.00703235],[56741568.85603944],[48777136.87119927],[0.8769411193911344],[0.07318319524330838],[0.4778375978170151],[0.5652719859333785]
2,"[[2133266, 2194811, 2188600, 2194456, 2192688, 2179956, 2184852]]","[[3725312, 3723264, 3723264, 3721216, 3719168, 3717120, 3719168]]",[20241284.97625592],[37118490.43612791],[62236751.0435111],[69092442.62952517],[69262186.60929626],[147577196.59762615],[364324614.3279263],[4944595395.714034],[14620476516.78824],[26042247264.677],[364362600.1006009],[118146817.84596917],[53568264.861916795],[46976081.75831938],[0.900775087330833],[0.07368138041056345],[0.4693285155574664],[0.5614137815448462]
3,"[[2011478, 2066413, 2061640, 2068448, 2066787, 2055379, 2055284]]","[[3719168, 3731456, 3731456, 3731456, 3729408, 3729408, 3729408]]",[19618789.726710115],[35053056.91382252],[59846404.74557842],[65451582.54937558],[65307556.0716207],[139268961.0914493],[360831740.1327876],[4929588181.224054],[14522996429.0735],[26042723654.393105],[360761873.1249602],[111114091.02133535],[50549630.2292155],[45286005.022588246],[0.9143614625426558],[0.0731971367318538],[0.46893116427239867],[0.5576604283716553]
4,"[[2368528, 2427236, 2417391, 2424008, 2423244, 2414436, 2415095, 2421428]]","[[3262464, 3268608, 3262464, 3262464, 3262464, 3264512, 3262464, 3262464]]",[25676617.161947418],[44692282.2572629],[80034179.35147329],[92240253.41211608],[92102129.12799112],[172490581.73198426],[396663054.51737845],[5759322763.31512],[16888462381.024624],[29198127114.533035],[396638323.66018754],[138884767.75557816],[74570482.70158619],[62592973.25864889],[0.8676708529181092],[0.06887321145534402],[0.5339545394489964],[0.5784090984595578]
5,"[[2220048, 2273520, 2266688, 2271397, 2271276, 2261352, 2261632, 2265388]]","[[3256320, 3256320, 3254272, 3254272, 3256320, 3254272, 3256320, 3256320]]",[24610606.57247244],[42066350.327680334],[76829143.99412298],[85475479.70236012],[85616980.83186851],[165652762.93813536],[396620460.4197983],[5702156524.999991],[16672639133.79515],[29216413842.33607],[396508317.07602674],[132181180.88488255],[67696220.31033908],[59341332.67898492],[0.8988442564072746],[0.06955622117367234],[0.5168460779844826],[0.5706600140512675]
6,"[[2097271, 2148227, 2141300, 2146352, 2146457, 2137132, 2136735, 2141132]]","[[3254272, 3262464, 3262464, 3264512, 3262464, 3262464, 3262464, 3264512]]",[23938927.010941222],[40042913.908303685],[74743517.96678054],[81847581.60597485],[81692627.47427848],[157227535.05019075],[397654629.1038969],[5724443289.732498],[16688526741.342411],[29377075782.848118],[397001699.40332043],[124582571.004045],[64153818.87104443],[57586640.33902851],[0.9132037440837993],[0.06946607887917067],[0.5195821930821485],[0.5680799159420098]
7,"[[1974004, 2023808, 2016241, 2022060, 2020860, 2010943, 2005696, 2016312]]","[[3256320, 3254272, 3256320, 3256320, 3254272, 3256320, 3254272, 3256320]]",[23015282.12900538],[37863550.447022915],[71226750.51558803],[76934320.28505038],[76989817.28223854],[149904547.7322768],[396694454.31087935],[5701239411.354853],[16573059062.631311],[29418152364.74137],[396549416.4777242],[118696910.7293829],[60517938.920357265],[55259803.27215929],[0.9258124365261803],[0.06958038869948248],[0.5135922721953647],[0.5633616570187688]
8,"[[2289104, 2352328, 2346360, 2351831, 2354793, 2338760, 2335287, 2354368, 2359360]]","[[2895872, 2897920, 2895872, 2895872, 2895872, 2895872, 2895872, 2893824, 2895872]]",[32591234.663103],[48015986.26156286],[102656333.26264973],[120628508.64692663],[120599606.27533111],[187552581.59875852],[428319450.7630117],[6184419447.881492],[18134246774.085766],[32326881446.4668],[427780493.30680496],[150218351.26336423],[100510471.53275631],[83269306.29381733],[0.8510122061039441],[0.06925782676492535],[0.6430175753770024],[0.5609649295777576]
9,"[[2193828, 2245584, 2240456, 2245605, 2247585, 2233040, 2238675, 2244000, 2249758]]","[[2902016, 2902016, 2902016, 2902016, 2902016, 2902016, 2902016, 2902016, 2902016]]",[29749497.070144407],[46846575.0373907],[89698186.22949715],[99695383.64927526],[99584882.85708767],[184358777.28124285],[441657688.3858707],[6318022200.2599325],[18438891370.93965],[32671646482.94772],[441324730.33986723],[146878624.41127217],[79275264.60550612],[69961386.02105914],[0.8997225643371023],[0.0699044217299047],[0.5401689267290433],[0.5643698238643542]
