# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626841659
#
# Overhead  Command       Shared Object                Symbol                                     
# ........  ............  ...........................  ...........................................
#
    23.26%  rte-worker-2  nflr                         [.] write_variable
    22.38%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    18.31%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    15.90%  rte-worker-2  nflr                         [.] read_variable
     3.73%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.37%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.30%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     0.82%  rte-worker-2  nflr                         [.] HandleNAS
     0.73%  rte-worker-2  nflr                         [.] handlerInitialUEMessage
     0.66%  rte-worker-2  nflr                         [.] DeRegistered
     0.60%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.52%  rte-worker-2  nflr                         [.] NewAmfUe
     0.52%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.51%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.48%  rte-worker-2  nflr                         [.] Authentication
     0.43%  rte-worker-2  nflr                         [.] AuthenticationProcedure
     0.43%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.40%  rte-worker-2  nflr                         [.] handleInitialUEMessageMain
     0.33%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.33%  rte-worker-2  nflr                         [.] UpdateLocation
     0.33%  rte-worker-2  nflr                         [.] SendDownlinkNasTransport
     0.30%  rte-worker-2  nflr                         [.] send_packet
     0.28%  rte-worker-2  nflr                         [.] Decode
     0.28%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.28%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.28%  rte-worker-2  nflr                         [.] SecurityContextIsValid
     0.27%  rte-worker-2  nflr                         [.] SendToRan
     0.25%  rte-worker-2  nflr                         [.] RanUeFindByRanUeNgapID
     0.24%  rte-worker-2  nflr                         [.] IdentityVerification
     0.22%  rte-worker-2  nflr                         [.] SetOnGoing
     0.22%  rte-worker-2  nflr                         [.] HandleRegistrationRequest
     0.21%  rte-worker-2  nflr                         [.] GetNgapIEMobilityRestrictionList
     0.21%  rte-worker-2  nflr                         [.] SendToRanUe
     0.19%  rte-worker-2  nflr                         [.] SendAuthenticationRequest
     0.18%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.18%  rte-worker-2  nflr                         [.] TmsiAllocate
     0.18%  rte-worker-2  nflr                         [.] InTaiList
     0.16%  rte-worker-2  nflr                         [.] init
     0.15%  rte-worker-2  nflr                         [.] AllocateGutiToUe
     0.14%  rte-worker-2  nflr                         [.] AttachRanUe
     0.13%  rte-worker-2  nflr                         [.] SendUEAuthenticationAuthenticateRequest
     0.13%  rte-worker-2  nflr                         [.] BuildDownlinkNasTransport
     0.13%  rte-worker-2  nflr                         [.] BuildAuthenticationRequest
     0.12%  rte-worker-2  nflr                         [.] PlmnIdStringToModels
     0.12%  rte-worker-2  nflr                         [.] StopT3513
