,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,l2_rqsts.all_demand_miss,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694369182,[[7968484]],[[30527488]],[267711.1322302974],[12354820.896369409],[728270.460618801],[33829009.56643265],[33828019.02831063],[75646345.49064845],[142391519.90274188],[1700515367.496136],[5781021499.588624],[6564177702.985412],[136544087.0799891],[48355199.75355745],[0.021527986481207493],[0.0837343329113228],[0.44718642796157965],[0.880692412845465]
1,1694369196,[[7786048]],[[30527488]],[349804.8292170586],[12068729.178871179],[1069607.0158419907],[33877620.67518408],[33951207.09954434],[73825118.91537386],[138738003.082682],[1667866632.8261344],[5680816274.559031],[6542363790.933872],[132882815.26230219],[48092357.069558814],[0.031572672298839914],[0.08318291184205533],[0.4598869273541272],[0.8683125023452934]
2,1694369210,[[7070696]],[[30558208]],[406980.20445586037],[11175528.115243696],[2547704.9017692874],[31619599.026127912],[31446953.128352042],[67812405.09427954],[127836216.68083078],[1580616331.715788],[5383239748.795468],[6573157448.516206],[122923742.80592626],[44648164.10285939],[0.08057359929403493],[0.08087744895186691],[0.4637345200281772],[0.8189731937747293]
3,1694369298,[[5973405]],[[30527488]],[470897.09090532793],[9735981.543410042],[4836193.484255463],[27225670.006424155],[27174409.90447073],[58530946.48528302],[111457684.47854389],[1442564587.9273038],[4908546909.378672],[6582651718.033798],[107203302.0565861],[38990831.49423366],[0.1776335892969509],[0.07726356615941044],[0.4642742264778419],[0.7456792672064424]
4,1694369312,[[5351497]],[[30509056]],[450428.5463177812],[8834403.35260396],[6161559.946670904],[24854537.439938873],[24651819.874084186],[55041802.51871595],[103213882.85893966],[1355321062.8733976],[4621052749.232132],[6528944725.310963],[99734490.576898],[35276572.69215731],[0.24790483273166308],[0.07615456269831543],[0.44787450166992243],[0.7077794258722322]
5,1694369326,[[5001013]],[[30513152]],[547502.5676287891],[8397865.023543453],[6884624.472267974],[22758177.91390117],[22762509.662256498],[50254596.74557595],[96095362.36989598],[1308551653.2095008],[4457398859.662482],[6533605080.27283],[92597858.37283744],[33611452.970722266],[0.30251211227515284],[0.07343643037261975],[0.45294383273029337],[0.6822265510232446]
6,1694369341,[[4863584]],[[30433280]],[473672.31336340663],[8176278.1190967355],[7083757.269504133],[22088907.643773105],[22072483.362822667],[49341131.41928667],[94378401.63437448],[1286160455.259105],[4381166273.082197],[6481352029.451854],[91144315.21140237],[32535731.157707922],[0.3206929642580607],[0.07337995912443239],[0.44734449186535846],[0.6759648686221299]
