# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627418954
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    25.45%  rte-worker-2  nflr                         [.] write_variable
    19.59%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    18.38%  rte-worker-2  nflr                         [.] read_variable
    17.06%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
     3.92%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.37%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.02%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     0.96%  rte-worker-2  nflr                         [.] HandleNAS
     0.90%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.64%  rte-worker-2  nflr                         [.] Authentication
     0.63%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.52%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.47%  rte-worker-2  nflr                         [.] SecurityMode
     0.45%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.40%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.39%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.37%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.37%  rte-worker-2  nflr                         [.] send_packet
     0.36%  rte-worker-2  nflr                         [.] HandleAuthenticationResponse
     0.34%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.30%  rte-worker-2  nflr                         [.] UpdateLocation
     0.28%  rte-worker-2  nflr                         [.] Decode
     0.27%  rte-worker-2  nflr                         [.] SendDownlinkNasTransport
     0.27%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.25%  rte-worker-2  nflr                         [.] Encode
     0.25%  rte-worker-2  nflr                         [.] StopT3560
     0.23%  rte-worker-2  nflr                         [.] DerivateKamf
     0.23%  rte-worker-2  nflr                         [.] GetNgapIEMobilityRestrictionList
     0.22%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.22%  rte-worker-2  nflr                         [.] ranUeFind
     0.22%  rte-worker-2  nflr                         [.] SendSecurityModeCommand
     0.21%  rte-worker-2  nflr                         [.] DerivateAlgKey
     0.20%  rte-worker-2  nflr                         [.] NewTimer
     0.19%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.19%  rte-worker-2  nflr                         [.] SelectSecurityAlg
     0.19%  rte-worker-2  nflr                         [.] Dispatch
     0.19%  rte-worker-2  nflr                         [.] Stop
     0.18%  rte-worker-2  nflr                         [.] BuildDownlinkNasTransport
     0.18%  rte-worker-2  nflr                         [.] SendToRan
     0.16%  rte-worker-2  nflr                         [.] SendToRanUe
     0.16%  rte-worker-2  nflr                         [.] BuildSecurityModeCommand
     0.15%  rte-worker-2  nflr                         [.] GetBearerType
     0.15%  rte-worker-2  nflr                         [.] SecurityContextIsValid
     0.12%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.12%  rte-worker-2  nflr                         [.] SendAuth5gAkaConfirmRequest
     0.10%  rte-worker-2  nflr                         [.] handlerUplinkNASTransport
     0.09%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.09%  rte-worker-2  nflr                         [.] dispatchMain
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] task_tick_fair
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] decay_load
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] update_curr
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] update_load_avg
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] tick_do_update_jiffies64
     0.04%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] update_cfs_group
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] update_vsyscall
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock
     0.03%  rte-worker-2  librte_mempool_ring.so.23.0  [.] common_ring_mc_dequeue
     0.03%  rte-worker-2  [kernel.kallsyms]            [k] update_process_times
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] irq_enter_rcu
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] cpuacct_charge
     0.02%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] update_fast_timekeeper
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] tick_sched_timer
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_write_msr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_read_msr
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] cgroup_rstat_updated
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] pvclock_gtod_notify
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] native_queued_spin_lock_slowpath
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] invoke_rcu_core
     0.01%  rte-worker-2  [kernel.kallsyms]            [k] hrtimer_run_queues
