,hotspot,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,1694226698,[[387491]],[[26617856]],[674159.8020131303],[2493686.7379671233],[2383826.322796955],[12799320.155261865],[34498880.55258928],[2765912622.4269667],[6358369485.496151],[6581387372.165674],[34496004.77955368],[0.27034662844728913],[0.012472874331915096],[0.1862463235453136],[0.9661138489412245]
1,1694226712,[[570216]],[[26615808]],[1266658.2581720743],[3591158.7477961103],[3438778.9457444553],[14333844.249038357],[36507748.66629724],[2734317286.3000054],[6477706469.969278],[6524731790.298201],[36499713.9996791],[0.35271575196986793],[0.013351687036912389],[0.23990625864203594],[0.99279275810251]
2,1694226726,[[391972]],[[26601472]],[1465394.0886728333],[3914024.2182371165],[3797454.5674705002],[13898952.4084007],[33441650.62842304],[2781172701.240784],[6494574567.781095],[6570192219.122171],[33435617.516950864],[0.37439576429929433],[0.012024298459963842],[0.27321876180936283],[0.9884908007529831]
3,1694226740,[[753908]],[[26636288]],[1558097.6552374703],[4327072.972988907],[4216580.649898013],[16089015.49070611],[40511059.034066975],[2766854173.058637],[6567966886.170378],[6573909968.01167],[40495205.82889583],[0.36008120615567546],[0.01464155914992938],[0.26207822674630027],[0.9990959593498829]
4,1694226754,[[721816]],[[26595328]],[1050904.7190660539],[3437418.199658731],[3329588.1110557676],[13901564.31617851],[36549825.36614847],[2685347634.4052076],[6569614186.928572],[6593489531.600747],[36542817.021176316],[0.3057250116294806],[0.013610835669045172],[0.2395117581969408],[0.9963789516070742]
