# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5626284488
#
# Overhead  Command       Shared Object            Symbol                                   
# ........  ............  .......................  .........................................
#
    28.12%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
    19.59%  rte-worker-2  nflr                     [.] read_variable
    18.76%  rte-worker-2  nflr                     [.] write_variable
    13.80%  rte-worker-2  libc-2.31.so             [.] __memset_avx2_unaligned_erms
     2.52%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     1.65%  rte-worker-2  nflr                     [.] SendRegistrationAccept
     1.32%  rte-worker-2  nflr                     [.] 0x00000000000048d4
     0.88%  rte-worker-2  nflr                     [.] HandleInitialRegistration
     0.78%  rte-worker-2  nflr                     [.] handleUplinkNASTransportMain
     0.62%  rte-worker-2  nflr                     [.] HandleNAS
     0.59%  rte-worker-2  nflr                     [.] cuckoo_hash_first_test
     0.50%  rte-worker-2  nflr                     [.] 0x00000000000048d0
     0.41%  rte-worker-2  nflr                     [.] cuckoo_hash_first_hash
     0.39%  rte-worker-2  nflr                     [.] SecurityContextIsValid
     0.38%  rte-worker-2  libc-2.31.so             [.] __memset_chk_avx2_unaligned_erms
     0.36%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.35%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_burst_none_empw
     0.32%  rte-worker-2  nflr                     [.] negotiateDRXParameters
     0.32%  rte-worker-2  nflr                     [.] UpdateLocation
     0.29%  rte-worker-2  nflr                     [.] Decode
     0.27%  rte-worker-2  libc-2.31.so             [.] 0x000000000018bb5d
     0.24%  rte-worker-2  nflr                     [.] SecurityMode
     0.23%  rte-worker-2  nflr                     [.] NasSendToRan
     0.23%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.21%  rte-worker-2  nflr                     [.] ranUeFind
     0.21%  rte-worker-2  nflr                     [.] UpdateSecurityContext
     0.20%  rte-worker-2  nflr                     [.] Dispatch
     0.18%  rte-worker-2  nflr                     [.] includeConfiguredNssaiCheck
     0.18%  rte-worker-2  nflr                     [.] HandleSecurityModeComplete
     0.18%  rte-worker-2  nflr                     [.] StopT3560
     0.18%  rte-worker-2  nflr                     [.] SendToRanUe
     0.18%  rte-worker-2  nflr                     [.] HTTPAMFStatusChangeSubscribe
     0.17%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_tx_handle_completion
     0.17%  rte-worker-2  nflr                     [.] GetNgapIERedirectionVoiceFallback
     0.15%  rte-worker-2  nflr                     [.] SendN2Message
     0.15%  rte-worker-2  nflr                     [.] SDMGetSliceSelectionSubscriptionData
     0.15%  rte-worker-2  nflr                     [.] send_packet
     0.14%  rte-worker-2  nflr                     [.] AllocateRegistrationArea
     0.14%  rte-worker-2  nflr                     [.] ContextSetup
     0.14%  rte-worker-2  nflr                     [.] cuckoo_hash_get_key
     0.14%  rte-worker-2  nflr                     [.] SDMGetAmData
     0.13%  rte-worker-2  nflr                     [.] SDMGetUeContextInSmfData
     0.13%  rte-worker-2  nflr                     [.] GetBearerType
     0.13%  rte-worker-2  nflr                     [.] GetNgapIEMaskedIMEISV
     0.12%  rte-worker-2  nflr                     [.] Stop
     0.12%  rte-worker-2  nflr                     [.] BuildInitialContextSetupRequest
