,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[4254693]],[[28475392]],[4124288.925628797],[11466793.480541466],[3801993.94885813],[7739192.636719873],[7598394.911172506],[32145134.053571466],[86031744.45007472],[1421318642.5832987],[4682976643.729943],[6589650238.654479],[83169796.1783737],[29103200.242990118],[7166596.300230236],[3161685.268412174],[0.49126493257435455],[0.06052952650625117],[0.23637776400339172],[0.7106563283525874]
1,[[4705993]],[[28432384]],[4383963.627340895],[12167098.632997118],[4124363.5201584925],[8651848.53831852],[8350623.191744315],[34443092.82033057],[88807126.20619014],[1483587633.3457055],[4887601551.872488],[6524128352.428482],[85895738.67530751],[30664691.489399146],[7305463.744098422],[3134494.0246381643],[0.47670315793115575],[0.05985971048162297],[0.24244696129074772],[0.7491577859674039]
2,[[5204051]],[[28499968]],[4788476.34353585],[13212937.396010196],[5424663.577785621],[9528395.486921567],[9562061.453329816],[38069992.31511263],[94412560.14174661],[1569149841.17577],[5154529518.849263],[6558233836.742776],[91133157.22696647],[33334282.2901683],[8149393.840902663],[3528567.667231106],[0.5693155353628401],[0.060167969727481806],[0.251170564316977],[0.7859630576102362]
3,[[5519324]],[[28475392]],[4990489.6010170495],[13706781.077741984],[5859747.416486084],[10567154.901502142],[10449845.52495627],[38797096.22478425],[96142507.38534085],[1615687753.10964],[5296348049.272206],[6504845367.989108],[92567709.24628592],[33812553.03948179],[8456084.02810493],[3688721.9650479727],[0.554524606775009],[0.05950562365797463],[0.2693460733352701],[0.8142158267644579]
4,[[5721108]],[[28475392]],[5252077.5821335595],[14253435.982472705],[5429670.168534277],[10301087.937020117],[10219882.000174616],[40652835.57726191],[101317362.80438615],[1664191108.7907343],[5456150796.0177765],[6570262501.538492],[97901932.93928656],[36244390.63175196],[8882181.72329018],[3874145.5229134],[0.5270967689753518],[0.06088084611749144],[0.25139407510089745],[0.8304311729919717]
5,[[5722699]],[[28463104]],[5211021.966727763],[14214768.64341241],[5067965.555989656],[9803200.767617093],[9908547.583083045],[41687712.984335676],[105953339.42267078],[1644032350.3252692],[5367473893.520927],[6517923971.55757],[102019732.42671809],[37418034.17386064],[8840014.638838787],[3824181.701985085],[0.5169704952621865],[0.0644472351177932],[0.23768508449494988],[0.8234944005089825]
6,[[5375515]],[[28483584]],[4997702.713364314],[13716418.053447649],[4839121.721594869],[9503845.503243808],[9429999.160019832],[41988823.35611085],[113739908.2743087],[1589292632.6089106],[5173612037.279109],[6554492855.750962],[109643991.5778065],[37511268.290950336],[8332673.066175879],[3654961.5299820225],[0.5091751249473914],[0.07156637232225663],[0.224583553581466],[0.7893230111220187]
