# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5628133946
#
# Overhead  Command       Shared Object                Symbol                              
# ........  ............  ...........................  ....................................
#
    23.22%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    22.55%  rte-worker-2  nflr                         [.] write_variable
    18.06%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    17.33%  rte-worker-2  nflr                         [.] read_variable
     4.11%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.26%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     1.08%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     0.99%  rte-worker-2  nflr                         [.] HandleNAS
     0.85%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.57%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.49%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.39%  rte-worker-2  nflr                         [.] UpdateLocation
     0.39%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.37%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.34%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.34%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.30%  rte-worker-2  nflr                         [.] ranUeFind
     0.28%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.28%  rte-worker-2  nflr                         [.] Registered
     0.27%  rte-worker-2  nflr                         [.] Dnn
     0.26%  rte-worker-2  nflr                         [.] PduSessionID
     0.25%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.24%  rte-worker-2  nflr                         [.] Snssai
     0.24%  rte-worker-2  nflr                         [.] GetNsiInformationFromSnssai
     0.22%  rte-worker-2  nflr                         [.] CreatePDUSession
     0.22%  rte-worker-2  nflr                         [.] SmfUri
     0.21%  rte-worker-2  nflr                         [.] NewSmContext
     0.21%  rte-worker-2  nflr                         [.] Dispatch
     0.21%  rte-worker-2  nflr                         [.] SetSmfID
     0.19%  rte-worker-2  nflr                         [.] SetAccessType
     0.19%  rte-worker-2  nflr                         [.] send_packet
     0.18%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.18%  rte-worker-2  nflr                         [.] buildCreateSmContextRequest
     0.18%  rte-worker-2  nflr                         [.] AccessType
     0.16%  rte-worker-2  nflr                         [.] SmContextFindByPDUSessionID
