,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8127193]],[[31293440]],[706513.0621600605],[34921400.46661898],[34760885.67568782],[76384623.0939584],[148582234.077046],[1734146317.8510737],[5874581703.780986],[6576799678.221686],[148555480.0331282],[0.020231521437274812],[0.08568033305353767],[0.4550770072260423],[0.8932280122859734]
1,[[8053333]],[[31260672]],[810701.9888369706],[34341804.20917096],[34189899.57082916],[75359165.46991056],[146696500.04468873],[1708035117.61626],[5784952157.736349],[6517577877.8981905],[146669463.91153568],[0.023606854896123165],[0.08588611471257036],[0.4536926511544308],[0.8875923335498216]
2,[[7884492]],[[31170560]],[1152851.3650632424],[33769371.91205004],[33615229.873790264],[75595911.04754467],[146239315.88414335],[1697381715.654138],[5750380364.258221],[6550971261.0798855],[146212116.40211973],[0.034138963794344855],[0.0861558213661949],[0.44466994851941893],[0.8777905038939687]
3,[[7548989]],[[23103488]],[1798410.1771551666],[32832997.85631791],[32676369.295723766],[71099899.4578443],[138912353.79726437],[1655891150.4066164],[5610947282.754794],[6577207430.596561],[138885203.04455844],[0.05477447368727271],[0.0838897857284601],[0.4595839029997201],[0.8530896040549346]
4,[[6958052]],[[13012992]],[2975739.8506720993],[30843634.771368265],[30701111.893035036],[66340424.0859857],[130090176.36448815],[1578545185.6554973],[5350212959.025979],[6608779166.435499],[130066680.88513522],[0.09647824819383606],[0.08241143652182986],[0.46278136318879204],[0.8095614672976978]
5,[[7889970]],[[31215616]],[1095459.9477954041],[35398593.276320204],[35243497.306061186],[74208694.97581106],[145470603.85707206],[1719993903.4106634],[5826258483.789406],[6642015300.991806],[145444029.4616646],[0.030946426013154855],[0.08457623225792313],[0.4749240950477447],[0.8771823339400334]
6,[[7793600]],[[31258624]],[1271099.5496901982],[34816764.43417399],[34662249.884906024],[73426914.68124326],[143950409.53914025],[1696855619.5904741],[5747905029.879122],[6602325211.519935],[143925001.16725728],[0.03650826176261701],[0.08483362277686408],[0.47206463781543606],[0.8705879891905363]
7,[[7569800]],[[31152128]],[1795746.84128557],[33648261.49510162],[33492248.176997766],[71863299.33957142],[140431543.0224963],[1664014626.822483],[5638433029.242691],[6601144703.362434],[140406882.7160699],[0.05336819085131598],[0.08439321431366092],[0.4660549749982786],[0.854159889325049]
8,[[7155796]],[[23132160]],[2539115.897933966],[32294533.40835341],[32146524.641942598],[68171402.77837862],[133178475.18565945],[1605195258.7600381],[5439782038.956307],[6586540625.924107],[133155237.58447063],[0.07862370593275672],[0.08296714960928527],[0.4715543957111919],[0.8258936440087764]
9,[[6618704]],[[13019136]],[3621381.609964843],[30256459.71736357],[30101061.89129379],[65029053.37298008],[126489238.32712087],[1536858497.7415283],[5209820459.695615],[6612365200.28805],[126467081.0139675],[0.11968953551715786],[0.08230376349742126],[0.46288636124912347],[0.7878906112851515]
10,[[7045255]],[[31250432]],[2767374.910143944],[32170918.99277863],[32014308.185692035],[67013434.047808245],[131674856.50828367],[1598604490.1094437],[5417684396.087797],[6602961918.067274],[131650066.47186868],[0.08602100893558974],[0.08236862671345865],[0.4777297065966298],[0.8204930549824503]
11,[[6971587]],[[31260672]],[2920678.790306492],[31802294.84432371],[31653267.672784984],[66990614.390372224],[131242511.68495944],[1586142798.0771768],[5375061012.025835],[6590569157.291532],[131218018.6145262],[0.09183861745209228],[0.08274318796772899],[0.47250302092070584],[0.8155685622506655]
12,[[6727360]],[[31197184]],[3464258.957976896],[30590205.23823862],[30440995.669578634],[65020893.81664113],[128088781.25468501],[1550040882.698998],[5254598716.854975],[6578211739.719879],[128064068.55387224],[0.11324732642350742],[0.08263574379512578],[0.4681725193661936],[0.7987883219275536]
13,[[6379984]],[[23111680]],[4085535.372070479],[29608671.805661343],[29453221.984106597],[62441479.50333414],[122381600.85205576],[1509667794.8028986],[5118220604.847662],[6604949965.536655],[122359481.53943674],[0.13798441885155086],[0.08106525241735969],[0.4716932112816754],[0.7749067943820228]
14,[[6093808]],[[13031424]],[4442230.861812738],[28073894.30993603],[27920776.933598712],[59805858.71139127],[116993286.38177617],[1454492146.5625947],[4930980660.688606],[6524191443.678116],[116972377.86582524],[0.158233510918381],[0.08043583229945017],[0.46685688551581017],[0.7557995045449936]
15,[[5973492]],[[31275008]],[4961253.976459863],[27747223.39655274],[27588925.35148541],[58759567.07599139],[115807023.28973003],[1458224668.965849],[4946302671.870245],[6589662556.993129],[115784905.69786808],[0.17880181759289973],[0.0794164477904894],[0.46952227057435186],[0.7506154722021531]
16,[[5935268]],[[31240192]],[5096003.13214437],[27562922.547463454],[27408384.10790707],[60219304.55483635],[117354570.89822614],[1455841130.6458936],[4937437453.827603],[6609655836.1579],[117333799.48725967],[0.18488616812564176],[0.08060946241171316],[0.45514282023879404],[0.7470037133881492]
17,[[5793260]],[[31160320]],[5407081.623100761],[26812060.65130447],[26660011.83926289],[58122032.301897705],[113636280.63886575],[1431808839.105777],[4856904839.533313],[6594752742.927424],[113615809.51876085],[0.20166602237033557],[0.07936553926419133],[0.4586902897817706],[0.7364802031042217]
18,[[5515372]],[[23115776]],[5990264.331664812],[25799908.59913815],[25647158.218239587],[54695908.33174852],[107984823.8349971],[1383735500.49803],[4695459647.179445],[6563447049.60898],[107963774.11293057],[0.23218161059163275],[0.0780386307904448],[0.46890451224762936],[0.7153953725366275]
19,[[5199656]],[[13021184]],[6508586.19324314],[24850392.881911304],[24706013.250438098],[53638314.975688346],[104744519.87509716],[1352568061.1461828],[4589181900.953874],[6609765975.252818],[104726291.1390546],[0.26191079650820187],[0.07744121932491542],[0.46060382884205325],[0.6943032352636874]
20,[[5398620]],[[31252480]],[6267858.400828447],[25279866.673245266],[25127926.352517612],[54040915.79415677],[106790887.40565558],[1389001870.4623015],[4713873317.823336],[6614604722.019412],[106769764.36391422],[0.2479387443709101],[0.07688318473618208],[0.4649796544571992],[0.7126462601962116]
21,[[5299447]],[[31238144]],[6410949.5552590275],[24615427.961096212],[24463161.86968421],[51918330.08843595],[103522408.46791483],[1353596062.1325727],[4594443540.952307],[6522328727.836663],[103502858.1785778],[0.26044436706082463],[0.07647954316948637],[0.4711854527681163],[0.7044176601132767]
