,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,"[[2059979, 2059731, 2056869, 2057604, 2056873, 2049391]]","[[2201600, 2205696, 2203648, 2201600, 2201600, 2201600]]",[9731329.396683026],[18036677.531704765],[39595902.61506218],[57296676.44618664],[57371167.480410546],[113892703.23078719],[193346613.68977818],[9437531788.073256],[31736911421.04548],[22696420336.395363],[193927798.79178938],[107151104.35477161],[55180683.7777837],[37904461.64854729],[0.6910680526513763],[0.020486989398448573],[0.5037299655989034],[1.398322332361506]
1,"[[1663321, 1707948, 1698008, 1701182, 1705789, 1674624]]","[[2203648, 2203648, 2201600, 2201600, 2201600, 2203648]]",[10014186.657351416],[15689688.856245946],[72996469.21351404],[78519941.94418116],[78447937.39221983],[128266873.86094852],[204604458.04629463],[2925088998.7802773],[9918572666.470558],[22901990951.11218],[204369449.20881584],[119551112.44558765],[75124924.46453995],[69876994.81239298],[0.929655160282802],[0.06994811376050847],[0.6115993555535127],[0.4330877908232204]
2,"[[1228884, 1261078, 1250959, 1253643, 1251385, 1238097]]","[[2211840, 2211840, 2209792, 2209792, 2205696, 2207744]]",[8349838.664641953],[12064903.856128419],[76011885.63595758],[80221625.40063733],[79910208.77387486],[120227890.80731004],[188410215.53801548],[2941261944.3668327],[9964532780.98503],[22885484349.693077],[188178393.07346377],[112343823.44228326],[76584442.86614555],[72751565.84384541],[0.9475236291504223],[0.06405761169924451],[0.6646561645329654],[0.43540842871078084]
3,"[[967526, 993354, 986409, 987416, 986295, 975812]]","[[2207744, 2209792, 2207744, 2207744, 2207744, 2207744]]",[7106652.161614338],[9993921.162973968],[77119490.85850674],[80279065.13134159],[80337933.74297944],[114114750.16152976],[178491442.29409668],[2935310283.94602],[9939214944.760054],[22777179980.114445],[178272132.53429237],[106131030.3546661],[76762195.54109643],[73648966.1971836],[0.9606426125208909],[0.06080837289001884],[0.7040100743265955],[0.43636723042261855]
4,"[[786471, 807449, 798989, 801312, 806912, 795935]]","[[2211840, 2211840, 2209792, 2211840, 2211840, 2213888]]",[6067783.186007216],[8560725.17137034],[79027057.71135007],[81341123.28568791],[81430844.63579437],[111464149.52797166],[173623640.07240623],[2949547337.9014115],[9972524747.495152],[22989596867.761158],[172942047.75563177],[103150166.63073365],[77086044.19700995],[74426403.25154845],[0.9715510988677851],[0.05886450366175123],[0.730556371538631],[0.4337842374904735]
5,"[[679672, 694914, 692818, 693116, 695146, 688624]]","[[2209792, 2209792, 2209792, 2209792, 2209792, 2209792]]",[5418346.831890205],[7589204.921468099],[78535955.34880425],[81042896.12163652],[80847494.83519964],[107400937.25979474],[164645020.7450761],[2927180658.6744065],[9907618487.02804],[22632380342.59349],[164616072.7190587],[99642941.28330366],[76829969.230952],[74585060.6157313],[0.96906649573493],[0.05624696250201267],[0.7527634013065981],[0.4377629898867591]
