# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5624705837
#
# Overhead  Command       Shared Object                Symbol                                     
# ........  ............  ...........................  ...........................................
#
    30.31%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    19.02%  rte-worker-2  nflr                         [.] write_variable
    16.24%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
     9.20%  rte-worker-2  nflr                         [.] read_variable
     4.56%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.68%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.40%  rte-worker-2  nflr                         [.] NewAmfUe
     1.17%  rte-worker-2  nflr                         [.] HandleNAS
     1.14%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.00%  rte-worker-2  nflr                         [.] handlerInitialUEMessage
     0.86%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.72%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.69%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.66%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.63%  rte-worker-2  nflr                         [.] Decode
     0.60%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.57%  rte-worker-2  nflr                         [.] UpdateLocation
     0.50%  rte-worker-2  nflr                         [.] DeRegistered
     0.44%  rte-worker-2  nflr                         [.] Authentication
     0.44%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.43%  rte-worker-2  nflr                         [.] dispatchMain
     0.40%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.32%  rte-worker-2  nflr                         [.] NewRanUe
     0.32%  rte-worker-2  nflr                         [.] AttachRanUe
     0.31%  rte-worker-2  nflr                         [.] handleInitialUEMessageMain
     0.31%  rte-worker-2  nflr                         [.] SendToRan
     0.30%  rte-worker-2  nflr                         [.] send_packet
     0.27%  rte-worker-2  nflr                         [.] TmsiAllocate
     0.27%  rte-worker-2  nflr                         [.] GetNgapIEMobilityRestrictionList
     0.27%  rte-worker-2  nflr                         [.] init
     0.26%  rte-worker-2  nflr                         [.] SendUEAuthenticationAuthenticateRequest
