,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8104007]],[[31275008]],[743961.6232487151],[35139001.41008478],[34986801.16482453],[77055793.73058383],[149780119.56750238],[1741323094.7678561],[5898817871.735789],[6624336027.469878],[149752379.67007896],[0.021171962588418934],[0.08601512264871802],[0.4540450428315826],[0.8904768488908924]
1,[[8073924]],[[31234048]],[795134.7893977151],[34602483.70252174],[34454792.44522974],[75256557.05931126],[147039772.528805],[1726334976.5047019],[5847629346.423489],[6572199901.013838],[147012586.38258922],[0.022979124742417485],[0.08517453132213967],[0.4578311019207961],[0.8897522039038137]
2,[[7876900]],[[31148032]],[1198379.270644538],[33721221.809776485],[33572147.64901437],[74116952.94901991],[144455311.2684189],[1696684066.324643],[5748162007.586393],[6560249376.864427],[144424000.20201445],[0.035537836600484714],[0.08513978184597325],[0.4529617896206068],[0.8762108995212948]
3,[[7558496]],[[23099392]],[1764488.017603882],[33106607.24349456],[32962793.900280114],[71906299.95268856],[140675958.8587316],[1669015245.3326385],[5654953391.2449255],[6620394046.918209],[140646591.66530454],[0.05329715620287861],[0.08428680280310714],[0.4584131560373472],[0.8541717231887888]
4,[[7357952]],[[13012992]],[1744473.2406253363],[32456449.054868054],[32316508.129873093],[71500243.01322551],[138715920.31441763],[1647826122.3555002],[5580876771.415186],[6589968589.543094],[138690899.11290252],[0.05374812376043606],[0.0841811635539124],[0.45197759850823804],[0.8468745632977484]
5,[[7911408]],[[31266816]],[1018336.178141101],[35205183.92649448],[35059019.932406865],[75069594.51763828],[146342256.536547],[1711698543.971176],[5798039277.541771],[6595562875.709751],[146315887.1031513],[0.028925745147853878],[0.08549534440628194],[0.4670202384557896],[0.8790817989007256]
6,[[7843792]],[[31252480]],[1126621.2425785915],[34871240.77652008],[34721340.91523913],[74536364.05525593],[145256432.13115034],[1705896916.8875475],[5779170906.141231],[6598366324.007485],[145228407.0297636],[0.032308034285295106],[0.08514959532031655],[0.4658308914759943],[0.8758487513968881]
7,[[7587044]],[[31148032]],[1675757.4251797295],[33814402.03714012],[33669207.75987477],[72293004.84561488],[141180607.5026211],[1674755437.590465],[5675044556.95347],[6599883620.893308],[141155471.35327652],[0.04955750580297583],[0.08429923816562918],[0.46573258134416945],[0.8598703981670122]
8,[[7175295]],[[23097344]],[2347981.789459799],[32406234.273765944],[32259917.91514053],[68293349.21686551],[133665767.2151206],[1614278500.4288452],[5471873061.4781],[6583244725.40554],[133639459.4454371],[0.07245463232858802],[0.0828021727227435],[0.4723727608189074],[0.8311817788516167]
9,[[6707048]],[[13017088]],[2966705.177741134],[31273329.433759984],[31130547.21313323],[68257425.84488906],[131767125.70842062],[1577084393.3916576],[5344512674.00318],[6616992079.831931],[131743904.48352475],[0.09486374592845671],[0.08355109356262408],[0.4560756112291071],[0.8076951898269353]
10,[[7077976]],[[31268864]],[2709409.2407778245],[32175568.227920532],[32022704.019724276],[67543238.85779123],[132555146.15833917],[1598501362.3321745],[5417963367.459932],[6587071742.04731],[132531069.56665038],[0.0842070362700454],[0.08292463758988884],[0.4741067286859964],[0.8225147045044919]
11,[[6985624]],[[31250432]],[2799078.514384374],[31798179.2036592],[31649617.240796875],[66494965.46479904],[130252045.41268383],[1588992964.9366665],[5386051296.400548],[6577313397.015282],[130227238.35758771],[0.08802637712231863],[0.08197144247134874],[0.47597012825807816],[0.8188831778708741]
12,[[6768884]],[[31115264]],[3276918.2496108525],[30979098.466462065],[30828858.945064507],[65645680.07636439],[128393058.168534],[1571911775.1236565],[5328995265.228248],[6615996446.297809],[128369425.83180332],[0.10577836063107002],[0.0816795574665339],[0.4696250980902608],[0.805471301032856]
13,[[6381315]],[[23103488]],[4084041.012940283],[29683172.941548523],[29531083.069794845],[62581346.16897903],[122626375.25871253],[1515160898.8299086],[5137732796.412999],[6619727743.753578],[122604335.4316499],[0.1375877511808623],[0.08093290643482909],[0.4718831549269728],[0.7761244865789232]
14,[[5967096]],[[13019136]],[4790841.19911444],[28013466.422803875],[27866765.27316093],[59857054.26373224],[117417860.11529778],[1454710407.9462423],[4933449327.935661],[6614854507.787673],[117395383.77247868],[0.17101922078499143],[0.0807156252364126],[0.4655552401623208],[0.7458137321278204]
15,[[5935568]],[[31256576]],[5096100.852863488],[27580495.956214935],[27429754.08575638],[59103854.10259704],[115675325.09600866],[1448253177.9121614],[4913249610.622799],[6592307188.26051],[115652725.78779043],[0.18477190768990295],[0.07987230883399071],[0.46409416952981936],[0.7453004646646695]
16,[[5932244]],[[31266816]],[4938025.837710946],[27274532.60343145],[27122502.478200078],[58306740.64205667],[114229860.26460098],[1440995016.752248],[4887743887.992847],[6514091388.384266],[114208257.58469906],[0.18104896276351537],[0.0792715165122883],[0.46516924423377237],[0.7503339447629683]
17,[[5781760]],[[31150080]],[5467644.554555289],[26759518.29982609],[26603378.14172539],[56783023.52834334],[111999453.70420626],[1432796299.1101499],[4861020615.328602],[6605861274.850622],[111978981.8660273],[0.2043252233950274],[0.07816844151102599],[0.46850936228230733],[0.7358647741870001]
18,[[5549712]],[[23103488]],[5904803.05924152],[26168399.754487216],[26016113.341310605],[56769990.88819941],[110508918.02694322],[1404864032.5867357],[4767141547.791729],[6618128207.65274],[110488708.04129647],[0.225646318255628],[0.0786616465818876],[0.45827228319528385],[0.7203156841657042]
19,[[5331172]],[[13027328]],[6132337.633225067],[25272005.817939676],[25130908.685164385],[54756834.86210639],[106170019.2395025],[1371350753.431059],[4652113261.998819],[6606266395.907055],[106150917.98330113],[0.24265338008397985],[0.07742003201870114],[0.4589547359421214],[0.7041970431106228]
20,[[5382608]],[[31258624]],[6289934.387968306],[25351013.03228777],[25199712.20663411],[54005395.18960155],[106299444.1691103],[1395714012.203592],[4736404972.449788],[6636379832.162355],[106280882.24700573],[0.248113729418121],[0.07616133623340342],[0.4666147172548824],[0.7137031170963746]
